buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
289.9,2018-08-01,10:12:00,289.1,Buy,INDUSTOWER,0.8,297.9,290.7,291.5,292.3,293.1,293.9,294.7,295.5,296.3,297.1,289.1,10:14:00,-2240.0,Stoploss Hit,,,,,,,,,,,,2800,Wed,Aug,11359.8,11356.5,Up,00:02:00
290.05,2018-08-06,10:16:00,290.05,Sell,INDUSTOWER,,286.75,,,,,,,,,,289.75,09:46:00,-840.0,Stoploss Hit,,289.45,289.15,288.85,288.55,288.25,287.95,287.65,287.35,287.05,0.3,2800,Mon,Aug,11401.5,11360.8,Up,00:30:00
287.2,2018-08-07,11:34:00,287.2,Sell,INDUSTOWER,,277.85,,,,,,,,,,286.35,11:20:00,-2380.0,Stoploss Hit,,285.5,284.65,283.8,282.95,282.1,281.25,280.4,279.55,278.7,0.85,2800,Tue,Aug,11423.15,11387.1,Up,00:14:00
283.8,2018-08-14,12:43:00,283.8,Sell,INDUSTOWER,,275.3,,,,,,,,,,283.8,10:54:00,0.0,Stoploss Hit,Breakeven,282.95,282.1,281.25,280.4,279.55,278.7,277.85,277.0,276.15,0.85,2800,Tue,Aug,11381.7,11355.75,Up,01:49:00
285.2,2018-08-17,11:44:00,284.15,Buy,INDUSTOWER,1.05,295.7,286.25,287.3,288.35,289.4,290.45,291.5,292.55,293.6,294.65,284.15,11:50:00,-2940.0,Stoploss Hit,,,,,,,,,,,,2800,Fri,Aug,11397.15,11435.1,Down,00:06:00
286.0,2018-08-20,10:37:00,284.95,Buy,INDUSTOWER,1.05,296.5,287.05,288.1,289.15,290.2,291.25,292.3,293.35,294.4,295.45,284.95,11:41:00,-2940.0,Stoploss Hit,,,,,,,,,,,,2800,Mon,Aug,11502.1,11470.75,Up,01:04:00
286.25,2018-08-23,09:51:00,286.25,Sell,INDUSTOWER,,270.75,,,,,,,,,,286.25,09:47:00,0.0,Stoploss Hit,Breakeven,284.7,283.15,281.6,280.05,278.5,276.95,275.4,273.85,272.3,1.55,2800,Thu,Aug,11605.85,11557.1,Up,00:04:00
285.55,2018-08-27,13:20:00,285.55,Buy,INDUSTOWER,0.85,294.05,286.4,287.25,288.1,288.95,289.8,290.65,291.5,292.35,293.2,286.45,15:00:00,2520.0,Market Exit,Breakeven,,,,,,,,,,,2800,Mon,Aug,11731.95,11691.95,Up,01:40:00
283.75,2018-08-29,14:06:00,283.75,Sell,INDUSTOWER,,274.4,,,,,,,,,,282.9,13:33:00,-2380.0,Stoploss Hit,,282.05,281.2,280.35,279.5,278.65,277.8,276.95,276.1,275.25,0.85,2800,Wed,Aug,11605.85,11557.1,Up,00:33:00
292.4,2018-09-03,11:44:00,291.8,Buy,INDUSTOWER,0.6,298.4,293.0,293.6,294.2,294.8,295.4,296.0,296.6,297.2,297.8,291.8,11:53:00,-1680.0,Stoploss Hit,,,,,,,,,,,,2800,Mon,Sep,11751.8,11680.5,Up,00:09:00
280.7,2018-09-05,09:55:00,280.7,Sell,INDUSTOWER,,276.3,,,,,,,,,,280.3,09:55:00,-1120.0,Stoploss Hit,,279.9,279.5,279.1,278.7,278.3,277.9,277.5,277.1,276.7,0.4,2800,Wed,Sep,11443.5,11369.9,Up,00:00:00
