buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
682.25,2018-08-02,10:10:00,680.47,Buy,INFY,1.78,700.05,684.03,685.81,687.59,689.37,691.15,692.93,694.71,696.49,698.27,680.47,10:39:00,-712.0,Stoploss Hit,,,,,,,,,,,,400,Thu,Aug,11359.8,11356.5,Up,00:29:00
711.55,2018-08-16,09:47:00,711.55,Buy,INFY,1.35,725.05,712.9,714.25,715.6,716.95,718.3,719.65,721.0,722.35,723.7,714.88,15:00:00,1332.0,Market Exit,Breakeven,,,,,,,,,,,400,Thu,Aug,11164.4,11143.1,Up,05:13:00
693.35,2018-08-23,11:43:00,693.35,Sell,INFY,,689.5,,,,,,,,,,693.0,11:42:00,-140.0,Stoploss Hit,,692.65,692.3,691.95,691.6,691.25,690.9,690.55,690.2,689.85,0.35,400,Thu,Aug,11620.7,11570.9,Up,00:01:00
712.5,2018-08-28,09:51:00,711.72,Buy,INFY,0.78,720.3,713.28,714.06,714.84,715.62,716.4,717.18,717.96,718.74,719.52,711.72,09:57:00,-312.0,Stoploss Hit,,,,,,,,,,,,400,Tue,Aug,11751.8,11680.5,Up,00:06:00
705.5,2018-08-30,10:38:00,705.5,Sell,INFY,,689.5,,,,,,,,,,705.5,09:47:00,0.0,Stoploss Hit,Breakeven,703.9,702.3,700.7,699.1,697.5,695.9,694.3,692.7,691.1,1.6,400,Thu,Aug,11675.85,11676.8,Down,00:51:00
738.65,2018-09-10,10:01:00,738.65,Sell,INFY,,717.2,,,,,,,,,,736.7,09:59:00,-780.0,Stoploss Hit,,734.75,732.8,730.85,728.9,726.95,725.0,723.05,721.1,719.15,1.95,400,Mon,Sep,11514.85,11520.3,Down,00:02:00
740.0,2018-09-12,10:19:00,740.0,Sell,INFY,,709.75,,,,,,,,,,737.25,09:50:00,-1100.0,Stoploss Hit,,734.5,731.75,729.0,726.25,723.5,720.75,718.0,715.25,712.5,2.75,400,Wed,Sep,11340.1,11287.5,Up,00:29:00
724.0,2018-09-25,09:47:00,724.0,Buy,INFY,2.3,747.0,726.3,728.6,730.9,733.2,735.5,737.8,740.1,742.4,744.7,724.0,10:47:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,400,Tue,Sep,10969.95,10967.4,Up,01:00:00
725.85,2018-09-28,09:46:00,724.2,Buy,INFY,1.65,742.35,727.5,729.15,730.8,732.45,734.1,735.75,737.4,739.05,740.7,724.2,09:59:00,-660.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Sep,10930.9,10930.45,Up,00:13:00
706.3,2018-10-04,14:17:00,706.3,Sell,INFY,,689.25,,,,,,,,,,704.75,14:16:00,-620.0,Stoploss Hit,,703.2,701.65,700.1,698.55,697.0,695.45,693.9,692.35,690.8,1.55,400,Thu,Oct,10754.7,10858.25,Down,00:01:00
710.95,2018-10-16,10:14:00,708.3,Buy,INFY,2.65,737.45,713.6,716.25,718.9,721.55,724.2,726.85,729.5,732.15,734.8,708.3,10:43:00,-1060.0,Stoploss Hit,,,,,,,,,,,,400,Tue,Oct,10331.55,10234.65,Up,00:29:00
687.0,2018-10-19,11:25:00,684.3,Buy,INFY,2.7,714.0,689.7,692.4,695.1,697.8,700.5,703.2,705.9,708.6,711.3,684.3,11:36:00,-1080.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Oct,10339.7,10453.05,Down,00:11:00
672.75,2018-11-02,09:46:00,669.6,Buy,INFY,3.15,704.25,675.9,679.05,682.2,685.35,688.5,691.65,694.8,697.95,701.1,669.6,10:44:00,-1260.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Nov,10552.0,10524.0,Up,00:58:00
644.45,2018-11-20,13:14:00,644.45,Sell,INFY,,637.7,,,,,,,,,,645.2,11:42:00,300.0,Stoploss Hit,1to1 Trail,644.45,643.7,642.95,642.2,641.45,640.7,639.95,639.2,638.45,0.75,400,Tue,Nov,10634.9,10582.5,Up,01:32:00
621.0,2018-11-22,13:21:00,621.0,Sell,INFY,,594.05,,,,,,,,,,618.55,13:21:00,-980.0,Stoploss Hit,,616.1,613.65,611.2,608.75,606.3,603.85,601.4,598.95,596.5,2.45,400,Thu,Nov,10740.1,10763.4,Down,00:00:00
672.25,2018-11-29,10:40:00,671.85,Buy,INFY,0.4,676.25,672.65,673.05,673.45,673.85,674.25,674.65,675.05,675.45,675.85,671.85,10:40:00,-160.0,Stoploss Hit,,,,,,,,,,,,400,Thu,Nov,10808.7,10728.85,Up,00:00:00
