buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
208.3,2018-08-01,09:49:00,207.7,Buy,INTELLECT,0.6,214.3,208.9,209.5,210.1,210.7,211.3,211.9,212.5,213.1,213.7,207.7,10:08:00,-600.0,Stoploss Hit,,,,,,,,,,,,1000,Wed,Aug,11359.8,11356.5,Up,00:19:00
251.15,2018-08-20,10:10:00,251.15,Sell,INTELLECT,,242.65,,,,,,,,,,251.15,09:53:00,0.0,Stoploss Hit,Breakeven,250.3,249.45,248.6,247.75,246.9,246.05,245.2,244.35,243.5,0.85,1000,Mon,Aug,11437.15,11385.05,Up,00:17:00
248.2,2018-08-21,09:59:00,248.2,Sell,INTELLECT,,245.7,,,,,,,,,,248.2,09:57:00,0.0,Stoploss Hit,Breakeven,247.95,247.7,247.45,247.2,246.95,246.7,246.45,246.2,245.95,0.25,1000,Tue,Aug,11566.6,11582.75,Down,00:02:00
243.1,2018-08-24,09:55:00,243.1,Sell,INTELLECT,,241.9,,,,,,,,,,244.9,09:54:00,1800.0,Stoploss Hit,1to6 Trail,244.6,244.3,244.0,243.7,243.4,243.1,242.8,242.5,242.2,0.3,1000,Fri,Aug,11620.7,11570.9,Up,00:01:00
275.75,2018-08-31,09:47:00,273.95,Buy,INTELLECT,1.8,293.75,277.55,279.35,281.15,282.95,284.75,286.55,288.35,290.15,291.95,273.95,10:05:00,-1800.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Aug,11675.85,11676.8,Down,00:18:00
254.75,2018-09-05,10:11:00,254.75,Sell,INTELLECT,,242.1,,,,,,,,,,253.6,09:55:00,-1150.0,Stoploss Hit,,252.45,251.3,250.15,249.0,247.85,246.7,245.55,244.4,243.25,1.15,1000,Wed,Sep,11751.8,11680.5,Up,00:16:00
258.25,2018-09-11,09:57:00,256.1,Buy,INTELLECT,2.15,279.75,260.4,262.55,264.7,266.85,269.0,271.15,273.3,275.45,277.6,256.1,13:56:00,-2150.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Sep,11476.85,11438.1,Up,03:59:00
253.3,2018-09-12,10:20:00,253.3,Buy,INTELLECT,1.6,269.3,254.9,256.5,258.1,259.7,261.3,262.9,264.5,266.1,267.7,253.3,11:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Wed,Sep,11443.5,11369.9,Up,01:36:00
268.95,2018-09-18,12:52:00,268.95,Sell,INTELLECT,,259.5,,,,,,,,,,273.0,10:39:00,4050.0,Stoploss Hit,1to3 Trail,271.65,270.3,268.95,267.6,266.25,264.9,263.55,262.2,260.85,1.35,1000,Tue,Sep,11381.55,11377.75,Up,02:13:00
247.9,2018-11-06,12:53:00,128.9,Buy,INTELLECT,-17.0,77.9,230.9,213.9,196.9,179.9,162.9,145.9,128.9,111.9,94.9,128.9,11:02:00,-119000.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1000,Tue,Nov,12090.6,11992.5,Up,1899-12-29 22:09:00
121.9,2020-02-27,10:12:00,121.9,Sell,INTELLECT,,121.3,,,,,,,,,,123.3,10:10:00,1400.0,Stoploss Hit,1to7 Trail,123.1,122.9,122.7,122.5,122.3,122.1,121.9,121.7,121.5,0.2,1000,Thu,Feb,12012.55,12080.85,Down,00:02:00
117.0,2020-02-28,11:55:00,117.0,Sell,INTELLECT,,112.5,,,,,,,,,,117.0,11:31:00,0.0,Stoploss Hit,Breakeven,116.55,116.1,115.65,115.2,114.75,114.3,113.85,113.4,112.95,0.45,1000,Fri,Feb,11382.0,11633.3,Down,00:24:00
120.65,2020-03-02,13:20:00,119.2,Buy,INTELLECT,1.45,135.15,122.1,123.55,125.0,126.45,127.9,129.35,130.8,132.25,133.7,119.2,13:31:00,-1450.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Mar,12131.8,12113.45,Up,00:11:00
107.55,2020-03-03,10:18:00,107.55,Sell,INTELLECT,,100.55,,,,,,,,,,113.05,11:57:00,5500.0,Stoploss Hit,Breakeven,111.8,110.55,109.3,108.05,106.8,105.55,104.3,103.05,101.8,1.25,1000,Tue,Mar,11738.55,11797.9,Down,1899-12-29 22:21:00
107.55,2020-03-04,14:49:00,107.55,Sell,INTELLECT,,99.05,,,,,,,,,,107.55,13:54:00,0.0,Stoploss Hit,Breakeven,106.7,105.85,105.0,104.15,103.3,102.45,101.6,100.75,99.9,0.85,1000,Wed,Mar,11351.35,11303.3,Up,00:55:00
74.5,2020-04-28,10:34:00,74.5,Sell,INTELLECT,,72.1,,,,,,,,,,75.1,09:46:00,600.0,Stoploss Hit,1to2 Trail,74.8,74.5,74.2,73.9,73.6,73.3,73.0,72.7,72.4,0.3,1000,Tue,Apr,8973.05,8748.75,Up,00:48:00
73.35,2020-04-30,10:14:00,73.35,Sell,INTELLECT,,72.45,,,,,,,,,,73.95,10:12:00,600.0,Stoploss Hit,1to4 Trail,73.8,73.65,73.5,73.35,73.2,73.05,72.9,72.75,72.6,0.15,1000,Thu,Apr,9323.45,8992.8,Up,00:02:00
