buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
112.37,2018-08-06,14:23:00,112.37,Sell,IOC,,110.77,,,,,,,,,,112.37,10:24:00,0.0,Stoploss Hit,Breakeven,112.21,112.05,111.89,111.73,111.57,111.41,111.25,111.09,110.93,0.16,9750,Mon,Aug,11401.5,11360.8,Up,03:59:00
110.06,2018-08-09,13:16:00,110.06,Sell,IOC,,109.37,,,,,,,,,,111.67,09:46:00,15697.5,Stoploss Hit,1to7 Trail,111.44,111.21,110.98,110.75,110.52,110.29,110.06,109.83,109.6,0.23,9750,Thu,Aug,11381.7,11355.75,Up,03:30:00
106.57,2018-08-16,10:14:00,106.57,Sell,IOC,,103.6,,,,,,,,,,106.3,10:10:00,-2632.5,Stoploss Hit,,106.03,105.76,105.49,105.22,104.95,104.68,104.41,104.14,103.87,0.27,9750,Thu,Aug,11397.15,11435.1,Down,00:04:00
105.5,2018-08-21,10:04:00,105.5,Sell,IOC,,103.8,,,,,,,,,,105.5,09:46:00,0.0,Stoploss Hit,Breakeven,105.33,105.16,104.99,104.82,104.65,104.48,104.31,104.14,103.97,0.17,9750,Tue,Aug,11566.6,11582.75,Down,00:18:00
102.6,2018-08-24,11:00:00,102.6,Buy,IOC,0.3,105.6,102.9,103.2,103.5,103.8,104.1,104.4,104.7,105.0,105.3,102.6,14:34:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,9750,Fri,Aug,11605.85,11557.1,Up,03:34:00
100.6,2018-09-05,11:06:00,100.6,Sell,IOC,,99.5,,,,,,,,,,100.5,10:59:00,-975.0,Stoploss Hit,,100.4,100.3,100.2,100.1,100.0,99.9,99.8,99.7,99.6,0.1,9750,Wed,Sep,11514.85,11520.3,Down,00:07:00
102.67,2018-09-06,11:04:00,102.27,Buy,IOC,0.4,106.67,103.07,103.47,103.87,104.27,104.67,105.07,105.47,105.87,106.27,102.27,11:38:00,-3900.0,Stoploss Hit,,,,,,,,,,,,9750,Thu,Sep,11514.15,11476.95,Up,00:34:00
98.5,2018-09-12,13:51:00,98.5,Sell,IOC,,92.23,,,,,,,,,,97.93,09:54:00,-5557.5,Stoploss Hit,,97.36,96.79,96.22,95.65,95.08,94.51,93.94,93.37,92.8,0.57,9750,Wed,Sep,11340.1,11287.5,Up,03:57:00
101.73,2018-09-25,09:57:00,101.73,Sell,IOC,,98.43,,,,,,,,,,101.43,09:51:00,-2925.0,Stoploss Hit,,101.13,100.83,100.53,100.23,99.93,99.63,99.33,99.03,98.73,0.3,9750,Tue,Sep,11079.8,11053.8,Up,00:06:00
103.0,2018-09-28,09:54:00,102.67,Buy,IOC,0.33,106.3,103.33,103.66,103.99,104.32,104.65,104.98,105.31,105.64,105.97,102.67,10:03:00,-3217.5,Stoploss Hit,,,,,,,,,,,,9750,Fri,Sep,11008.1,10977.55,Up,00:09:00
105.27,2018-10-04,10:13:00,104.67,Buy,IOC,0.6,111.27,105.87,106.47,107.07,107.67,108.27,108.87,109.47,110.07,110.67,104.67,10:19:00,-5850.0,Stoploss Hit,,,,,,,,,,,,9750,Thu,Oct,10754.7,10858.25,Down,00:06:00
83.93,2018-10-11,11:09:00,83.93,Buy,IOC,0.33,87.23,84.26,84.59,84.92,85.25,85.58,85.91,86.24,86.57,86.9,83.93,11:20:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,9750,Thu,Oct,10169.8,10460.1,Down,00:11:00
89.2,2018-10-16,11:17:00,89.2,Sell,IOC,,88.2,,,,,,,,,,89.2,11:16:00,0.0,Stoploss Hit,Breakeven,89.1,89.0,88.9,88.8,88.7,88.6,88.5,88.4,88.3,0.1,9750,Tue,Oct,10550.15,10512.5,Up,00:01:00
