buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
383.23,2018-08-01,09:53:00,383.23,Buy,IPCALAB,0.33,386.53,383.56,383.89,384.22,384.55,384.88,385.21,385.54,385.87,386.2,383.23,09:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Wed,Aug,11359.8,11356.5,Up,00:02:00
387.12,2018-08-07,09:51:00,387.12,Buy,IPCALAB,1.97,406.82,389.09,391.06,393.03,395.0,396.97,398.94,400.91,402.88,404.85,389.65,15:00:00,1644.5,Market Exit,Breakeven,,,,,,,,,,,650,Tue,Aug,11297.8,11244.7,Up,05:09:00
404.65,2018-08-09,09:50:00,404.65,Sell,IPCALAB,,392.35,,,,,,,,,,404.65,09:46:00,0.0,Stoploss Hit,Breakeven,403.42,402.19,400.96,399.73,398.5,397.27,396.04,394.81,393.58,1.23,650,Thu,Aug,11423.15,11387.1,Up,00:04:00
366.9,2018-08-14,10:20:00,366.9,Sell,IPCALAB,,357.0,,,,,,,,,,366.0,10:20:00,-585.0,Stoploss Hit,,365.1,364.2,363.3,362.4,361.5,360.6,359.7,358.8,357.9,0.9,650,Tue,Aug,11369.6,11429.5,Down,00:00:00
372.0,2018-08-16,10:28:00,370.65,Buy,IPCALAB,1.35,385.5,373.35,374.7,376.05,377.4,378.75,380.1,381.45,382.8,384.15,370.65,10:34:00,-877.5,Stoploss Hit,,,,,,,,,,,,650,Thu,Aug,11493.25,11450.0,Up,00:06:00
363.0,2018-08-20,09:51:00,363.0,Sell,IPCALAB,,356.05,,,,,,,,,,365.55,11:31:00,1657.5,Stoploss Hit,Breakeven,364.6,363.65,362.7,361.75,360.8,359.85,358.9,357.95,357.0,0.95,650,Mon,Aug,11502.1,11470.75,Up,1899-12-29 22:20:00
380.0,2018-08-23,10:39:00,380.0,Sell,IPCALAB,,373.0,,,,,,,,,,380.0,10:38:00,0.0,Stoploss Hit,Breakeven,379.3,378.6,377.9,377.2,376.5,375.8,375.1,374.4,373.7,0.7,650,Thu,Aug,11620.7,11570.9,Up,00:01:00
374.9,2018-08-24,09:47:00,373.45,Buy,IPCALAB,1.45,389.4,376.35,377.8,379.25,380.7,382.15,383.6,385.05,386.5,387.95,373.45,09:47:00,-942.5,Stoploss Hit,,,,,,,,,,,,650,Fri,Aug,11576.2,11551.75,Up,00:00:00
399.15,2018-09-07,10:11:00,399.15,Buy,IPCALAB,1.17,410.85,400.32,401.49,402.66,403.83,405.0,406.17,407.34,408.51,409.68,399.15,10:22:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Fri,Sep,11514.85,11520.3,Down,00:11:00
385.5,2018-09-11,13:39:00,385.5,Sell,IPCALAB,,378.0,,,,,,,,,,385.5,13:07:00,0.0,Stoploss Hit,Breakeven,384.75,384.0,383.25,382.5,381.75,381.0,380.25,379.5,378.75,0.75,650,Tue,Sep,11476.85,11438.1,Up,00:32:00
386.38,2018-09-17,10:42:00,386.38,Sell,IPCALAB,,376.7,,,,,,,,,,385.5,10:42:00,-572.0,Stoploss Hit,,384.62,383.74,382.86,381.98,381.1,380.22,379.34,378.46,377.58,0.88,650,Mon,Sep,10514.1,10599.25,Down,00:00:00
382.73,2018-09-19,10:03:00,382.73,Sell,IPCALAB,,374.92,,,,,,,,,,382.02,09:48:00,-461.5,Stoploss Hit,,381.31,380.6,379.89,379.18,378.47,377.76,377.05,376.34,375.63,0.71,650,Wed,Sep,10969.95,10967.4,Up,00:15:00
359.38,2018-09-24,13:32:00,357.25,Buy,IPCALAB,2.13,380.68,361.51,363.64,365.77,367.9,370.03,372.16,374.29,376.42,378.55,360.05,15:00:00,435.5,Market Exit,,,,,,,,,,,,650,Mon,Sep,11164.4,11143.1,Up,01:28:00
319.58,2018-10-12,10:59:00,319.58,Sell,IPCALAB,,264.25,,,,,,,,,,314.55,09:56:00,-3269.5,Stoploss Hit,,309.52,304.49,299.46,294.43,289.4,284.37,279.34,274.31,269.28,5.03,650,Fri,Oct,10390.3,10348.05,Up,01:03:00
327.5,2018-10-30,11:10:00,326.17,Buy,IPCALAB,1.33,340.8,328.83,330.16,331.49,332.82,334.15,335.48,336.81,338.14,339.47,326.17,11:10:00,-864.5,Stoploss Hit,,,,,,,,,,,,650,Tue,Oct,10152.6,10245.25,Down,00:00:00
342.35,2018-11-01,10:36:00,342.35,Buy,IPCALAB,2.35,365.85,344.7,347.05,349.4,351.75,354.1,356.45,358.8,361.15,363.5,349.0,15:00:00,4322.5,Market Exit,Breakeven,,,,,,,,,,,650,Thu,Nov,10441.7,10386.6,Up,04:24:00
352.45,2018-11-02,11:28:00,352.45,Buy,IPCALAB,1.5,367.45,353.95,355.45,356.95,358.45,359.95,361.45,362.95,364.45,365.95,352.45,11:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Fri,Nov,10078.1,10030.0,Up,00:10:00
