buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
297.7,2018-08-01,12:13:00,297.7,Sell,ITC,,291.1,,,,,,,,,,297.1,11:04:00,-960.0,Stoploss Hit,,296.5,295.9,295.3,294.7,294.1,293.5,292.9,292.3,291.7,0.6,1600,Wed,Aug,11359.8,11356.5,Up,01:09:00
300.25,2018-08-02,12:07:00,300.25,Sell,ITC,,297.5,,,,,,,,,,300.0,11:58:00,-400.0,Stoploss Hit,,299.75,299.5,299.25,299.0,298.75,298.5,298.25,298.0,297.75,0.25,1600,Thu,Aug,11328.9,11346.2,Down,00:09:00
308.25,2018-08-16,12:34:00,307.6,Buy,ITC,0.65,314.75,308.9,309.55,310.2,310.85,311.5,312.15,312.8,313.45,314.1,307.6,12:37:00,-1040.0,Stoploss Hit,,,,,,,,,,,,1600,Thu,Aug,11381.7,11355.75,Up,00:03:00
314.85,2018-08-21,09:49:00,314.85,Sell,ITC,,308.8,,,,,,,,,,314.3,09:46:00,-880.0,Stoploss Hit,,313.75,313.2,312.65,312.1,311.55,311.0,310.45,309.9,309.35,0.55,1600,Tue,Aug,11566.6,11582.75,Down,00:03:00
311.95,2018-08-29,12:31:00,311.95,Buy,ITC,0.85,320.45,312.8,313.65,314.5,315.35,316.2,317.05,317.9,318.75,319.6,313.55,15:00:00,2560.0,Market Exit,Breakeven,,,,,,,,,,,1600,Wed,Aug,11675.85,11676.8,Down,02:29:00
319.0,2018-08-31,10:38:00,319.0,Sell,ITC,,312.0,,,,,,,,,,319.0,10:15:00,0.0,Stoploss Hit,Breakeven,318.3,317.6,316.9,316.2,315.5,314.8,314.1,313.4,312.7,0.7,1600,Fri,Aug,11675.85,11676.8,Down,00:23:00
311.4,2018-09-05,11:08:00,311.4,Sell,ITC,,300.4,,,,,,,,,,310.4,09:48:00,-1600.0,Stoploss Hit,,309.4,308.4,307.4,306.4,305.4,304.4,303.4,302.4,301.4,1.0,1600,Wed,Sep,11514.85,11520.3,Down,01:20:00
298.2,2018-09-11,11:09:00,298.2,Sell,ITC,,293.2,,,,,,,,,,298.2,10:25:00,0.0,Stoploss Hit,Breakeven,297.7,297.2,296.7,296.2,295.7,295.2,294.7,294.2,293.7,0.5,1600,Tue,Sep,11476.85,11438.1,Up,00:44:00
306.2,2018-09-24,10:01:00,305.3,Buy,ITC,0.9,315.2,307.1,308.0,308.9,309.8,310.7,311.6,312.5,313.4,314.3,305.3,10:02:00,-1440.0,Stoploss Hit,,,,,,,,,,,,1600,Mon,Sep,10969.95,10967.4,Up,00:01:00
293.7,2018-09-27,10:27:00,293.1,Buy,ITC,0.6,299.7,294.3,294.9,295.5,296.1,296.7,297.3,297.9,298.5,299.1,293.1,10:27:00,-960.0,Stoploss Hit,,,,,,,,,,,,1600,Thu,Sep,10930.9,10930.45,Up,00:00:00
281.05,2018-10-05,10:53:00,281.05,Sell,ITC,,272.25,,,,,,,,,,280.25,10:25:00,-1280.0,Stoploss Hit,,279.45,278.65,277.85,277.05,276.25,275.45,274.65,273.85,273.05,0.8,1600,Fri,Oct,10441.7,10386.6,Up,00:28:00
273.25,2018-10-09,11:29:00,273.25,Sell,ITC,,263.9,,,,,,,,,,272.4,11:23:00,-1360.0,Stoploss Hit,,271.55,270.7,269.85,269.0,268.15,267.3,266.45,265.6,264.75,0.85,1600,Tue,Oct,10331.55,10234.65,Up,00:06:00
