buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
215.1,2018-08-10,10:03:00,215.1,Sell,JINDALSTEL,,201.6,,,,,,,,,,215.1,09:50:00,0.0,Stoploss Hit,Breakeven,213.75,212.4,211.05,209.7,208.35,207.0,205.65,204.3,202.95,1.35,1250,Fri,Aug,11369.6,11429.5,Down,00:13:00
200.2,2018-08-13,09:48:00,199.4,Buy,JINDALSTEL,0.8,208.2,201.0,201.8,202.6,203.4,204.2,205.0,205.8,206.6,207.4,199.4,09:48:00,-1000.0,Stoploss Hit,,,,,,,,,,,,1250,Mon,Aug,11369.6,11429.5,Down,00:00:00
200.0,2018-08-20,09:52:00,200.0,Sell,JINDALSTEL,,194.5,,,,,,,,,,199.5,09:49:00,-625.0,Stoploss Hit,,199.0,198.5,198.0,197.5,197.0,196.5,196.0,195.5,195.0,0.5,1250,Mon,Aug,11437.15,11385.05,Up,00:03:00
212.55,2018-09-07,10:01:00,210.8,Buy,JINDALSTEL,1.75,230.05,214.3,216.05,217.8,219.55,221.3,223.05,224.8,226.55,228.3,210.8,11:25:00,-2187.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Sep,11558.25,11536.9,Up,01:24:00
223.0,2018-09-10,10:18:00,223.0,Sell,JINDALSTEL,,212.55,,,,,,,,,,222.05,10:12:00,-1187.5,Stoploss Hit,,221.1,220.15,219.2,218.25,217.3,216.35,215.4,214.45,213.5,0.95,1250,Mon,Sep,11340.1,11287.5,Up,00:06:00
218.35,2018-09-11,10:46:00,218.35,Sell,JINDALSTEL,,210.1,,,,,,,,,,217.6,10:41:00,-937.5,Stoploss Hit,,216.85,216.1,215.35,214.6,213.85,213.1,212.35,211.6,210.85,0.75,1250,Tue,Sep,11558.25,11536.9,Up,00:05:00
237.7,2018-09-18,11:37:00,237.7,Sell,JINDALSTEL,,221.2,,,,,,,,,,237.7,10:11:00,0.0,Stoploss Hit,Breakeven,236.05,234.4,232.75,231.1,229.45,227.8,226.15,224.5,222.85,1.65,1250,Tue,Sep,11381.55,11377.75,Up,01:26:00
220.2,2018-09-24,09:47:00,220.2,Sell,JINDALSTEL,,210.1,,,,,,,,,,228.6,11:14:00,10500.0,Stoploss Hit,Breakeven,226.75,224.9,223.05,221.2,219.35,217.5,215.65,213.8,211.95,1.85,1250,Mon,Sep,11145.55,11067.45,Up,1899-12-29 22:33:00
227.2,2018-09-25,10:27:00,225.9,Buy,JINDALSTEL,1.3,240.2,228.5,229.8,231.1,232.4,233.7,235.0,236.3,237.6,238.9,225.9,10:31:00,-1625.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Sep,11164.4,11143.1,Up,00:04:00
196.4,2018-10-03,10:04:00,194.75,Buy,JINDALSTEL,1.65,212.9,198.05,199.7,201.35,203.0,204.65,206.3,207.95,209.6,211.25,194.75,10:26:00,-2062.5,Stoploss Hit,,,,,,,,,,,,1250,Wed,Oct,10930.9,10930.45,Up,00:22:00
173.65,2018-10-09,11:08:00,173.65,Sell,JINDALSTEL,,161.15,,,,,,,,,,173.65,10:30:00,0.0,Stoploss Hit,Breakeven,172.4,171.15,169.9,168.65,167.4,166.15,164.9,163.65,162.4,1.25,1250,Tue,Oct,11079.8,11053.8,Up,00:38:00
180.0,2018-10-10,10:20:00,180.0,Buy,JINDALSTEL,1.15,191.5,181.15,182.3,183.45,184.6,185.75,186.9,188.05,189.2,190.35,180.0,14:06:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1250,Wed,Oct,10310.15,10316.45,Down,03:46:00
168.75,2018-10-23,09:47:00,167.05,Buy,JINDALSTEL,1.7,185.75,170.45,172.15,173.85,175.55,177.25,178.95,180.65,182.35,184.05,167.05,12:54:00,-2125.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Oct,10152.6,10245.25,Down,03:07:00
178.45,2018-11-02,09:56:00,181.05,Buy,JINDALSTEL,0.65,184.95,179.1,179.75,180.4,181.05,181.7,182.35,183.0,183.65,184.3,181.05,11:52:00,3250.0,Stoploss Hit,1to4 trail,,,,,,,,,,,1250,Fri,Nov,10239.4,10250.85,Down,01:56:00
181.4,2018-11-16,10:01:00,180.35,Buy,JINDALSTEL,1.05,191.9,182.45,183.5,184.55,185.6,186.65,187.7,188.75,189.8,190.85,180.35,11:02:00,-1312.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Nov,10634.9,10582.5,Up,01:01:00
149.9,2018-12-12,09:56:00,149.2,Buy,JINDALSTEL,-0.1,148.9,149.8,149.7,149.6,149.5,149.4,149.3,149.2,149.1,149.0,149.2,13:31:00,-875.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1250,Wed,Dec,10804.85,10727.35,Up,03:35:00
148.3,2019-01-16,09:47:00,147.7,Buy,JINDALSTEL,0.6,154.3,148.9,149.5,150.1,150.7,151.3,151.9,152.5,153.1,153.7,147.7,09:51:00,-750.0,Stoploss Hit,,,,,,,,,,,,1250,Wed,Jan,10931.05,10922.75,Up,00:04:00
147.4,2019-01-17,10:15:00,147.4,Sell,JINDALSTEL,,143.0,,,,,,,,,,147.0,09:58:00,-500.0,Stoploss Hit,,146.6,146.2,145.8,145.4,145.0,144.6,144.2,143.8,143.4,0.4,1250,Thu,Jan,10920.85,10890.3,Up,00:17:00
143.0,2019-01-25,09:56:00,142.65,Buy,JINDALSTEL,0.35,146.5,143.35,143.7,144.05,144.4,144.75,145.1,145.45,145.8,146.15,142.65,09:56:00,-437.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Jan,10702.25,10652.2,Up,00:00:00
129.65,2019-01-30,12:30:00,129.65,Sell,JINDALSTEL,,123.15,,,,,,,,,,129.65,10:06:00,0.0,Stoploss Hit,Breakeven,129.0,128.35,127.7,127.05,126.4,125.75,125.1,124.45,123.8,0.65,1250,Wed,Jan,10931.05,10922.75,Up,02:24:00
127.55,2019-02-11,12:21:00,127.55,Sell,JINDALSTEL,,118.05,,,,,,,,,,127.55,09:46:00,0.0,Stoploss Hit,Breakeven,126.6,125.65,124.7,123.75,122.8,121.85,120.9,119.95,119.0,0.95,1250,Mon,Feb,10870.55,10831.4,Up,02:35:00
137.75,2019-02-14,11:31:00,137.75,Sell,JINDALSTEL,,129.75,,,,,,,,,,137.75,10:21:00,0.0,Stoploss Hit,Breakeven,136.95,136.15,135.35,134.55,133.75,132.95,132.15,131.35,130.55,0.8,1250,Thu,Feb,10780.25,10746.05,Up,01:10:00
142.65,2019-02-15,10:24:00,141.25,Buy,JINDALSTEL,1.4,156.65,144.05,145.45,146.85,148.25,149.65,151.05,152.45,153.85,155.25,141.25,10:40:00,-1750.0,Stoploss Hit,,,,,,,,,,,,1250,Fri,Feb,10655.45,10604.35,Up,00:16:00
154.35,2019-02-25,11:22:00,154.35,Sell,JINDALSTEL,,151.0,,,,,,,,,,160.0,10:25:00,7062.5,Stoploss Hit,Breakeven,159.1,158.2,157.3,156.4,155.5,154.6,153.7,152.8,151.9,0.9,1250,Mon,Feb,10813.25,10791.65,Up,00:57:00
157.5,2019-02-26,11:36:00,157.5,Buy,JINDALSTEL,0.65,164.0,158.15,158.8,159.45,160.1,160.75,161.4,162.05,162.7,163.35,158.65,15:00:00,1437.5,Market Exit,Breakeven,,,,,,,,,,,1250,Tue,Feb,10775.3,10880.1,Down,03:24:00
167.35,2019-03-05,12:04:00,166.5,Buy,JINDALSTEL,0.85,175.85,168.2,169.05,169.9,170.75,171.6,172.45,173.3,174.15,175.0,166.5,14:12:00,-1062.5,Stoploss Hit,,,,,,,,,,,,1250,Tue,Mar,11326.2,11301.2,Up,02:08:00
167.4,2019-03-13,10:53:00,167.4,Sell,JINDALSTEL,,159.9,,,,,,,,,,167.4,10:02:00,0.0,Stoploss Hit,Breakeven,166.65,165.9,165.15,164.4,163.65,162.9,162.15,161.4,160.65,0.75,1250,Wed,Mar,11077.95,11053.0,Up,00:51:00
165.95,2019-03-15,10:35:00,165.95,Sell,JINDALSTEL,,157.7,,,,,,,,,,165.2,09:46:00,-937.5,Stoploss Hit,,164.45,163.7,162.95,162.2,161.45,160.7,159.95,159.2,158.45,0.75,1250,Fri,Mar,11068.75,11035.4,Up,00:49:00
170.4,2019-03-19,10:11:00,169.7,Buy,JINDALSTEL,0.7,177.4,171.1,171.8,172.5,173.2,173.9,174.6,175.3,176.0,176.7,169.7,10:13:00,-875.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Mar,11038.85,11058.2,Down,00:02:00
168.5,2019-03-20,09:52:00,168.1,Buy,JINDALSTEL,0.4,172.5,168.9,169.3,169.7,170.1,170.5,170.9,171.3,171.7,172.1,168.1,09:55:00,-500.0,Stoploss Hit,,,,,,,,,,,,1250,Wed,Mar,11382.5,11341.7,Up,00:03:00
