buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
768.7,2018-08-02,10:10:00,768.7,Sell,JKCEMENT,,763.1,,,,,,,,,,770.1,10:08:00,350.0,Stoploss Hit,1to2 Trail,769.4,768.7,768.0,767.3,766.6,765.9,765.2,764.5,763.8,0.7,250,Thu,Aug,11328.9,11346.2,Down,00:02:00
765.15,2018-08-06,09:56:00,765.15,Sell,JKCEMENT,,741.5,,,,,,,,,,763.0,09:56:00,-537.5,Stoploss Hit,,760.85,758.7,756.55,754.4,752.25,750.1,747.95,745.8,743.65,2.15,250,Mon,Aug,11401.5,11360.8,Up,00:00:00
769.8,2018-08-07,09:50:00,773.8,Buy,JKCEMENT,0.8,777.8,770.6,771.4,772.2,773.0,773.8,774.6,775.4,776.2,777.0,773.8,09:56:00,1000.0,Stoploss Hit,1to5 trail,,,,,,,,,,,250,Tue,Aug,11401.5,11360.8,Up,00:06:00
782.0,2018-08-08,12:33:00,777.1,Buy,JKCEMENT,4.9,831.0,786.9,791.8,796.7,801.6,806.5,811.4,816.3,821.2,826.1,777.1,14:46:00,-1225.0,Stoploss Hit,,,,,,,,,,,,250,Wed,Aug,11412.5,11389.45,Up,02:13:00
782.95,2018-08-09,09:47:00,785.65,Buy,JKCEMENT,2.7,809.95,785.65,788.35,791.05,793.75,796.45,799.15,801.85,804.55,807.25,785.65,09:52:00,675.0,Stoploss Hit,1to1 trail,,,,,,,,,,,250,Thu,Aug,11493.25,11450.0,Up,00:05:00
759.0,2018-08-13,10:58:00,759.0,Sell,JKCEMENT,,752.0,,,,,,,,,,762.0,10:26:00,750.0,Stoploss Hit,1to3 Trail,761.0,760.0,759.0,758.0,757.0,756.0,755.0,754.0,753.0,1.0,250,Mon,Aug,11369.6,11429.5,Down,00:32:00
761.85,2018-08-14,10:00:00,761.85,Buy,JKCEMENT,1.75,779.35,763.6,765.35,767.1,768.85,770.6,772.35,774.1,775.85,777.6,761.85,10:07:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Tue,Aug,11381.7,11355.75,Up,00:07:00
788.7,2018-08-20,12:11:00,788.7,Sell,JKCEMENT,,759.0,,,,,,,,,,786.0,10:06:00,-675.0,Stoploss Hit,,783.3,780.6,777.9,775.2,772.5,769.8,767.1,764.4,761.7,2.7,250,Mon,Aug,11502.1,11470.75,Up,02:05:00
792.2,2018-08-21,10:36:00,790.05,Buy,JKCEMENT,2.15,813.7,794.35,796.5,798.65,800.8,802.95,805.1,807.25,809.4,811.55,790.05,11:05:00,-537.5,Stoploss Hit,,,,,,,,,,,,250,Tue,Aug,11620.7,11570.9,Up,00:29:00
796.5,2018-08-24,12:33:00,793.05,Buy,JKCEMENT,3.45,831.0,799.95,803.4,806.85,810.3,813.75,817.2,820.65,824.1,827.55,793.05,12:45:00,-862.5,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11502.1,11470.75,Up,00:12:00
799.85,2018-08-27,10:34:00,797.95,Buy,JKCEMENT,1.9,818.85,801.75,803.65,805.55,807.45,809.35,811.25,813.15,815.05,816.95,797.95,10:35:00,-475.0,Stoploss Hit,,,,,,,,,,,,250,Mon,Aug,11731.95,11691.95,Up,00:01:00
801.55,2018-08-31,11:37:00,801.55,Sell,JKCEMENT,,801.4,,,,,,,,,,801.9,11:36:00,87.5,Stoploss Hit,1to7 Trail,801.85,801.8,801.75,801.7,801.65,801.6,801.55,801.5,801.45,0.05,250,Fri,Aug,11694.75,11691.9,Up,00:01:00
801.3,2018-09-11,14:10:00,801.3,Sell,JKCEMENT,,788.1,,,,,,,,,,800.1,13:56:00,-300.0,Stoploss Hit,,798.9,797.7,796.5,795.3,794.1,792.9,791.7,790.5,789.3,1.2,250,Tue,Sep,10969.95,10967.4,Up,00:14:00
795.85,2018-09-12,10:21:00,795.85,Sell,JKCEMENT,,793.05,,,,,,,,,,800.05,09:59:00,1050.0,Stoploss Hit,1to6 Trail,799.35,798.65,797.95,797.25,796.55,795.85,795.15,794.45,793.75,0.7,250,Wed,Sep,11340.1,11287.5,Up,00:22:00
784.75,2018-09-19,09:54:00,784.75,Sell,JKCEMENT,,775.5,,,,,,,,,,794.0,09:50:00,2312.5,Stoploss Hit,1to5 Trail,792.15,790.3,788.45,786.6,784.75,782.9,781.05,779.2,777.35,1.85,250,Wed,Sep,11326.65,11278.9,Up,00:04:00
782.5,2018-09-27,14:34:00,782.5,Sell,JKCEMENT,,735.5,,,,,,,,,,782.5,13:03:00,0.0,Stoploss Hit,Breakeven,777.8,773.1,768.4,763.7,759.0,754.3,749.6,744.9,740.2,4.7,250,Thu,Sep,11079.8,11053.8,Up,01:31:00
744.35,2018-10-01,15:03:00,744.35,Sell,JKCEMENT,,691.85,,,,,,,,,,744.35,14:22:00,0.0,Stoploss Hit,Breakeven,739.1,733.85,728.6,723.35,718.1,712.85,707.6,702.35,697.1,5.25,250,Mon,Oct,10930.9,10930.45,Up,00:41:00
740.2,2018-10-03,09:59:00,740.2,Sell,JKCEMENT,,736.9,,,,,,,,,,739.9,09:59:00,-75.0,Stoploss Hit,,739.6,739.3,739.0,738.7,738.4,738.1,737.8,737.5,737.2,0.3,250,Wed,Oct,10514.1,10599.25,Down,00:00:00
732.0,2018-10-04,10:11:00,732.0,Sell,JKCEMENT,,711.5,,,,,,,,,,732.0,10:06:00,0.0,Stoploss Hit,Breakeven,729.95,727.9,725.85,723.8,721.75,719.7,717.65,715.6,713.55,2.05,250,Thu,Oct,10982.7,11008.3,Down,00:05:00
703.7,2018-10-09,11:04:00,703.7,Sell,JKCEMENT,,696.55,,,,,,,,,,703.05,11:03:00,-162.5,Stoploss Hit,,702.4,701.75,701.1,700.45,699.8,699.15,698.5,697.85,697.2,0.65,250,Tue,Oct,10514.1,10599.25,Down,00:01:00
678.0,2018-10-11,09:51:00,678.0,Sell,JKCEMENT,,656.55,,,,,,,,,,676.05,09:51:00,-487.5,Stoploss Hit,,674.1,672.15,670.2,668.25,666.3,664.35,662.4,660.45,658.5,1.95,250,Thu,Oct,10331.85,10301.05,Up,00:00:00
696.95,2018-10-15,10:50:00,693.65,Buy,JKCEMENT,3.3,729.95,700.25,703.55,706.85,710.15,713.45,716.75,720.05,723.35,726.65,693.65,11:32:00,-825.0,Stoploss Hit,,,,,,,,,,,,250,Mon,Oct,10331.55,10234.65,Up,00:42:00
714.0,2018-10-16,09:49:00,713.5,Buy,JKCEMENT,0.5,719.0,714.5,715.0,715.5,716.0,716.5,717.0,717.5,718.0,718.5,713.5,09:49:00,-125.0,Stoploss Hit,,,,,,,,,,,,250,Tue,Oct,10339.7,10453.05,Down,00:00:00
669.5,2018-10-24,10:01:00,669.5,Sell,JKCEMENT,,665.1,,,,,,,,,,669.1,10:01:00,-100.0,Stoploss Hit,,668.7,668.3,667.9,667.5,667.1,666.7,666.3,665.9,665.5,0.4,250,Wed,Oct,10339.7,10453.05,Down,00:00:00
687.75,2018-11-06,09:46:00,687.75,Sell,JKCEMENT,,670.95,,,,,,,,,,691.95,09:53:00,1050.0,Stoploss Hit,1to2 Trail,689.85,687.75,685.65,683.55,681.45,679.35,677.25,675.15,673.05,2.1,250,Tue,Nov,10780.9,10754.0,Up,1899-12-29 23:53:00
2722.6,2023-02-13,09:46:00,2722.6,Sell,JKCEMENT,,2698.0,,,,,,,,,,2780.0,09:57:00,14350.0,Stoploss Hit,1to7 Trail,2771.8,2763.6,2755.4,2747.2,2739.0,2730.8,2722.6,2714.4,2706.2,8.2,250,Mon,Feb,11023.5,11069.4,Down,1899-12-29 23:49:00
2722.6,2023-02-13,09:46:00,2722.6,Sell,JKCEMENT,,2698.0,,,,,,,,,,2780.0,09:57:00,14350.0,Stoploss Hit,1to7 Trail,2771.8,2763.6,2755.4,2747.2,2739.0,2730.8,2722.6,2714.4,2706.2,8.2,250,Mon,Feb,13393.85,13355.75,Up,1899-12-29 23:49:00
