buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
326.25,2018-08-02,10:01:00,330.3,Buy,JSWSTEEL,1.35,339.75,327.6,328.95,330.3,331.65,333.0,334.35,335.7,337.05,338.4,333.5,15:00:00,9787.5,Market Exit,1to3 trail,,,,,,,,,,,1350,Thu,Aug,11328.9,11346.2,Down,04:59:00
336.0,2018-08-03,10:26:00,336.7,Buy,JSWSTEEL,0.1,337.0,336.1,336.2,336.3,336.4,336.5,336.6,336.7,336.8,336.9,336.7,10:33:00,945.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1350,Fri,Aug,11297.8,11244.7,Up,00:07:00
348.3,2018-08-14,10:25:00,348.3,Buy,JSWSTEEL,1.05,358.8,349.35,350.4,351.45,352.5,353.55,354.6,355.65,356.7,357.75,348.3,10:37:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1350,Tue,Aug,11381.7,11355.75,Up,00:12:00
343.3,2018-08-21,12:48:00,342.55,Buy,JSWSTEEL,0.75,350.8,344.05,344.8,345.55,346.3,347.05,347.8,348.55,349.3,350.05,342.55,12:56:00,-1012.5,Stoploss Hit,,,,,,,,,,,,1350,Tue,Aug,11576.2,11551.75,Up,00:08:00
340.2,2018-08-23,10:19:00,340.2,Sell,JSWSTEEL,,336.2,,,,,,,,,,340.2,09:57:00,0.0,Stoploss Hit,Breakeven,339.8,339.4,339.0,338.6,338.2,337.8,337.4,337.0,336.6,0.4,1350,Thu,Aug,11566.6,11582.75,Down,00:22:00
356.7,2018-08-27,10:12:00,356.7,Sell,JSWSTEEL,,350.2,,,,,,,,,,358.2,11:59:00,2025.0,Stoploss Hit,Breakeven,357.4,356.6,355.8,355.0,354.2,353.4,352.6,351.8,351.0,0.8,1350,Mon,Aug,11744.95,11738.5,Up,1899-12-29 22:13:00
379.6,2018-08-29,09:58:00,391.35,Buy,JSWSTEEL,2.35,403.1,381.95,384.3,386.65,389.0,391.35,393.7,396.05,398.4,400.75,397.65,15:00:00,24367.5,Market Exit,1to5 trail,,,,,,,,,,,1350,Wed,Aug,11751.8,11680.5,Up,05:02:00
397.6,2018-08-31,10:30:00,397.6,Sell,JSWSTEEL,,382.2,,,,,,,,,,396.2,10:18:00,-1890.0,Stoploss Hit,,394.8,393.4,392.0,390.6,389.2,387.8,386.4,385.0,383.6,1.4,1350,Fri,Aug,11598.75,11582.35,Up,00:12:00
399.5,2018-09-03,10:02:00,397.0,Buy,JSWSTEEL,2.5,424.5,402.0,404.5,407.0,409.5,412.0,414.5,417.0,419.5,422.0,397.0,10:06:00,-3375.0,Stoploss Hit,,,,,,,,,,,,1350,Mon,Sep,11514.85,11520.3,Down,00:04:00
396.0,2018-09-12,13:05:00,396.0,Buy,JSWSTEEL,1.9,415.0,397.9,399.8,401.7,403.6,405.5,407.4,409.3,411.2,413.1,396.0,13:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1350,Wed,Sep,11340.1,11287.5,Up,00:25:00
421.55,2018-09-21,12:00:00,421.55,Sell,JSWSTEEL,,407.25,,,,,,,,,,420.25,11:53:00,-1755.0,Stoploss Hit,,418.95,417.65,416.35,415.05,413.75,412.45,411.15,409.85,408.55,1.3,1350,Fri,Sep,11145.55,11067.45,Up,00:07:00
406.7,2018-09-24,10:16:00,406.7,Sell,JSWSTEEL,,395.15,,,,,,,,,,405.65,10:15:00,-1417.5,Stoploss Hit,,404.6,403.55,402.5,401.45,400.4,399.35,398.3,397.25,396.2,1.05,1350,Mon,Sep,11326.65,11278.9,Up,00:01:00
398.0,2018-09-25,10:19:00,398.0,Buy,JSWSTEEL,1.4,412.0,399.4,400.8,402.2,403.6,405.0,406.4,407.8,409.2,410.6,398.0,11:27:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1350,Tue,Sep,11164.4,11143.1,Up,01:08:00
405.3,2018-09-26,10:48:00,405.3,Sell,JSWSTEEL,,385.5,,,,,,,,,,403.5,10:21:00,-2430.0,Stoploss Hit,,401.7,399.9,398.1,396.3,394.5,392.7,390.9,389.1,387.3,1.8,1350,Wed,Sep,11145.55,11067.45,Up,00:27:00
382.3,2018-10-03,09:46:00,379.6,Buy,JSWSTEEL,2.7,409.3,385.0,387.7,390.4,393.1,395.8,398.5,401.2,403.9,406.6,379.6,09:55:00,-3645.0,Stoploss Hit,,,,,,,,,,,,1350,Wed,Oct,10930.9,10930.45,Up,00:09:00
362.55,2018-10-11,10:42:00,362.55,Sell,JSWSTEEL,,336.05,,,,,,,,,,362.55,09:54:00,0.0,Stoploss Hit,Breakeven,359.9,357.25,354.6,351.95,349.3,346.65,344.0,341.35,338.7,2.65,1350,Thu,Oct,10390.3,10348.05,Up,00:48:00
336.55,2018-10-30,12:04:00,336.55,Sell,JSWSTEEL,,327.05,,,,,,,,,,336.55,11:14:00,0.0,Stoploss Hit,Breakeven,335.6,334.65,333.7,332.75,331.8,330.85,329.9,328.95,328.0,0.95,1350,Tue,Oct,10441.7,10386.6,Up,00:50:00
352.0,2018-11-05,09:48:00,351.0,Buy,JSWSTEEL,1.0,362.0,353.0,354.0,355.0,356.0,357.0,358.0,359.0,360.0,361.0,351.0,09:51:00,-1350.0,Stoploss Hit,,,,,,,,,,,,1350,Mon,Nov,10462.3,10380.45,Up,00:03:00
345.9,2018-11-09,11:45:00,345.9,Sell,JSWSTEEL,,338.4,,,,,,,,,,345.9,09:52:00,0.0,Stoploss Hit,Breakeven,345.15,344.4,343.65,342.9,342.15,341.4,340.65,339.9,339.15,0.75,1350,Fri,Nov,10552.0,10524.0,Up,01:53:00
346.75,2018-11-13,09:46:00,345.3,Buy,JSWSTEEL,1.45,361.25,348.2,349.65,351.1,352.55,354.0,355.45,356.9,358.35,359.8,345.3,10:00:00,-1957.5,Stoploss Hit,,,,,,,,,,,,1350,Tue,Nov,10451.9,10482.2,Down,00:14:00
327.6,2018-11-21,10:01:00,326.1,Buy,JSWSTEEL,1.5,342.6,329.1,330.6,332.1,333.6,335.1,336.6,338.1,339.6,341.1,326.1,11:11:00,-2025.0,Stoploss Hit,,,,,,,,,,,,1350,Wed,Nov,11751.8,11680.5,Up,01:10:00
