buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
278.34,2018-08-01,10:40:00,278.34,Sell,JUBLFOOD,,269.94,,,,,,,,,,278.34,09:47:00,0.0,Stoploss Hit,Breakeven,277.5,276.66,275.82,274.98,274.14,273.3,272.46,271.62,270.78,0.84,1250,Wed,Aug,11359.8,11356.5,Up,00:53:00
293.24,2018-08-06,11:15:00,293.24,Buy,JUBLFOOD,0.79,301.14,294.03,294.82,295.61,296.4,297.19,297.98,298.77,299.56,300.35,294.8,15:00:00,1950.0,Market Exit,Breakeven,,,,,,,,,,,1250,Mon,Aug,11401.5,11360.8,Up,03:45:00
299.92,2018-08-08,10:03:00,299.92,Buy,JUBLFOOD,0.7,306.92,300.62,301.32,302.02,302.72,303.42,304.12,304.82,305.52,306.22,299.92,10:40:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1250,Wed,Aug,11412.5,11389.45,Up,00:37:00
300.44,2018-08-13,10:15:00,300.44,Sell,JUBLFOOD,,293.4,,,,,,,,,,299.8,09:54:00,-800.0,Stoploss Hit,,299.16,298.52,297.88,297.24,296.6,295.96,295.32,294.68,294.04,0.64,1250,Mon,Aug,11474.95,11470.7,Up,00:21:00
301.34,2018-08-14,10:47:00,300.3,Buy,JUBLFOOD,1.04,311.74,302.38,303.42,304.46,305.5,306.54,307.58,308.62,309.66,310.7,300.3,11:46:00,-1300.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Aug,11381.7,11355.75,Up,00:59:00
311.53,2018-08-28,09:58:00,311.53,Sell,JUBLFOOD,,300.64,,,,,,,,,,310.54,09:46:00,-1237.5,Stoploss Hit,,309.55,308.56,307.57,306.58,305.59,304.6,303.61,302.62,301.63,0.99,1250,Tue,Aug,11694.75,11691.9,Up,00:12:00
308.74,2018-08-29,14:38:00,308.74,Sell,JUBLFOOD,,300.16,,,,,,,,,,307.96,14:24:00,-975.0,Stoploss Hit,,307.18,306.4,305.62,304.84,304.06,303.28,302.5,301.72,300.94,0.78,1250,Wed,Aug,11694.75,11691.9,Up,00:14:00
308.15,2018-08-30,09:52:00,308.15,Buy,JUBLFOOD,1.03,318.45,309.18,310.21,311.24,312.27,313.3,314.33,315.36,316.39,317.42,308.15,11:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1250,Thu,Aug,11694.75,11691.9,Up,01:39:00
268.79,2018-09-11,09:47:00,268.79,Sell,JUBLFOOD,,259.53,,,,,,,,,,271.73,14:05:00,3675.0,Stoploss Hit,Breakeven,270.51,269.29,268.07,266.85,265.63,264.41,263.19,261.97,260.75,1.22,1250,Tue,Sep,11464.95,11515.2,Down,1899-12-29 19:42:00
252.73,2018-09-21,13:13:00,252.73,Sell,JUBLFOOD,,248.05,,,,,,,,,,263.65,10:20:00,13650.0,Stoploss Hit,1to7 Trail,262.09,260.53,258.97,257.41,255.85,254.29,252.73,251.17,249.61,1.56,1250,Fri,Sep,11326.65,11278.9,Up,02:53:00
243.14,2018-10-03,11:04:00,243.14,Sell,JUBLFOOD,,232.44,,,,,,,,,,243.14,10:26:00,0.0,Stoploss Hit,Breakeven,242.07,241.0,239.93,238.86,237.79,236.72,235.65,234.58,233.51,1.07,1250,Wed,Oct,11328.9,11346.2,Down,00:38:00
244.76,2018-10-17,10:04:00,244.76,Sell,JUBLFOOD,,225.26,,,,,,,,,,244.76,10:00:00,0.0,Stoploss Hit,Breakeven,242.81,240.86,238.91,236.96,235.01,233.06,231.11,229.16,227.21,1.95,1250,Wed,Oct,10405.85,10303.55,Up,00:04:00
245.53,2018-10-19,10:05:00,243.54,Buy,JUBLFOOD,1.99,265.43,247.52,249.51,251.5,253.49,255.48,257.47,259.46,261.45,263.44,243.54,11:11:00,-2487.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Oct,10550.15,10512.5,Up,01:06:00
247.12,2018-10-23,09:51:00,245.7,Buy,JUBLFOOD,1.42,261.32,248.54,249.96,251.38,252.8,254.22,255.64,257.06,258.48,259.9,245.7,10:09:00,-1775.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Oct,10152.6,10245.25,Down,00:18:00
212.72,2018-10-26,12:50:00,210.41,Buy,JUBLFOOD,2.31,235.82,215.03,217.34,219.65,221.96,224.27,226.58,228.89,231.2,233.51,210.41,13:02:00,-2887.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Oct,10122.35,10124.9,Down,00:12:00
214.79,2018-10-30,11:00:00,214.79,Sell,JUBLFOOD,,202.91,,,,,,,,,,213.71,10:28:00,-1350.0,Stoploss Hit,,212.63,211.55,210.47,209.39,208.31,207.23,206.15,205.07,203.99,1.08,1250,Tue,Oct,10239.4,10250.85,Down,00:32:00
210.34,2018-11-05,09:46:00,210.34,Sell,JUBLFOOD,,197.25,,,,,,,,,,209.15,13:10:00,-1487.5,Stoploss Hit,,207.96,206.77,205.58,204.39,203.2,202.01,200.82,199.63,198.44,1.19,1250,Mon,Nov,10552.0,10524.0,Up,1899-12-29 20:36:00
211.22,2018-11-06,09:56:00,211.22,Sell,JUBLFOOD,,194.94,,,,,,,,,,209.74,09:51:00,-1850.0,Stoploss Hit,,208.26,206.78,205.3,203.82,202.34,200.86,199.38,197.9,196.42,1.48,1250,Tue,Nov,10552.0,10524.0,Up,00:05:00
458.05,2023-02-13,10:14:00,458.05,Sell,JUBLFOOD,,447.05,,,,,,,,,,457.05,10:00:00,-1250.0,Stoploss Hit,,456.05,455.05,454.05,453.05,452.05,451.05,450.05,449.05,448.05,1.0,1250,Mon,Feb,10612.65,10600.05,Up,00:14:00
217.35,2018-11-12,11:30:00,217.35,Sell,JUBLFOOD,,199.31,,,,,,,,,,215.71,10:04:00,-2050.0,Stoploss Hit,,214.07,212.43,210.79,209.15,207.51,205.87,204.23,202.59,200.95,1.64,1250,Mon,Nov,10634.9,10582.5,Up,01:26:00
234.04,2018-11-15,09:51:00,234.04,Buy,JUBLFOOD,1.19,245.94,235.23,236.42,237.61,238.8,239.99,241.18,242.37,243.56,244.75,236.18,15:00:00,2675.0,Market Exit,Breakeven,,,,,,,,,,,1250,Thu,Nov,10740.1,10763.4,Down,05:09:00
243.44,2018-11-20,09:52:00,242.54,Buy,JUBLFOOD,0.9,252.44,244.34,245.24,246.14,247.04,247.94,248.84,249.74,250.64,251.54,242.54,10:08:00,-1125.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Nov,10612.65,10600.05,Up,00:16:00
243.44,2018-11-22,13:51:00,241.64,Buy,JUBLFOOD,1.8,261.44,245.24,247.04,248.84,250.64,252.44,254.24,256.04,257.84,259.64,241.64,14:18:00,-2250.0,Stoploss Hit,,,,,,,,,,,,1250,Thu,Nov,10612.65,10600.05,Up,00:27:00
242.53,2018-11-26,11:57:00,242.53,Sell,JUBLFOOD,,233.18,,,,,,,,,,241.68,11:29:00,-1062.5,Stoploss Hit,,240.83,239.98,239.13,238.28,237.43,236.58,235.73,234.88,234.03,0.85,1250,Mon,Nov,10670.95,10656.2,Up,00:28:00
247.91,2018-12-12,09:46:00,247.91,Sell,JUBLFOOD,,238.91,,,,,,,,,,248.91,09:52:00,1250.0,Stoploss Hit,1to1 Trail,247.91,246.91,245.91,244.91,243.91,242.91,241.91,240.91,239.91,1.0,1250,Wed,Dec,10853.2,10805.45,Up,1899-12-29 23:54:00
251.8,2018-12-17,09:50:00,250.98,Buy,JUBLFOOD,0.82,260.0,252.62,253.44,254.26,255.08,255.9,256.72,257.54,258.36,259.18,250.98,09:50:00,-1025.0,Stoploss Hit,,,,,,,,,,,,1250,Mon,Dec,10780.9,10754.0,Up,00:00:00
