buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1294.1,2018-08-03,11:36:00,1294.1,Sell,KOTAKBANK,,1265.5,,,,,,,,,,1291.5,10:55:00,-1040.0,Stoploss Hit,,1288.9,1286.3,1283.7,1281.1,1278.5,1275.9,1273.3,1270.7,1268.1,2.6,400,Fri,Aug,11297.8,11244.7,Up,00:41:00
1289.75,2018-08-08,10:39:00,1291.65,Buy,KOTAKBANK,1.9,1308.75,1291.65,1293.55,1295.45,1297.35,1299.25,1301.15,1303.05,1304.95,1306.85,1291.65,13:37:00,760.0,Stoploss Hit,1to1 trail,,,,,,,,,,,400,Wed,Aug,11423.15,11387.1,Up,02:58:00
1282.45,2018-08-09,09:51:00,1282.45,Sell,KOTAKBANK,,1267.6,,,,,,,,,,1281.1,09:50:00,-540.0,Stoploss Hit,,1279.75,1278.4,1277.05,1275.7,1274.35,1273.0,1271.65,1270.3,1268.95,1.35,400,Thu,Aug,11493.25,11450.0,Up,00:01:00
1290.0,2018-08-13,12:56:00,1288.9,Buy,KOTAKBANK,1.1,1301.0,1291.1,1292.2,1293.3,1294.4,1295.5,1296.6,1297.7,1298.8,1299.9,1288.9,13:13:00,-440.0,Stoploss Hit,,,,,,,,,,,,400,Mon,Aug,11381.7,11355.75,Up,00:17:00
1267.25,2018-08-21,09:56:00,1267.25,Sell,KOTAKBANK,,1251.3,,,,,,,,,,1265.8,09:52:00,-580.0,Stoploss Hit,,1264.35,1262.9,1261.45,1260.0,1258.55,1257.1,1255.65,1254.2,1252.75,1.45,400,Tue,Aug,11576.2,11551.75,Up,00:04:00
1277.95,2018-08-30,09:48:00,1277.95,Sell,KOTAKBANK,,1261.45,,,,,,,,,,1276.45,09:48:00,-600.0,Stoploss Hit,,1274.95,1273.45,1271.95,1270.45,1268.95,1267.45,1265.95,1264.45,1262.95,1.5,400,Thu,Aug,11694.75,11691.9,Up,00:00:00
1262.75,2018-09-03,09:46:00,1262.75,Sell,KOTAKBANK,,1255.55,,,,,,,,,,1279.55,09:53:00,6720.0,Stoploss Hit,1to7 Trail,1277.15,1274.75,1272.35,1269.95,1267.55,1265.15,1262.75,1260.35,1257.95,2.4,400,Mon,Sep,10634.9,10582.5,Up,1899-12-29 23:53:00
1773.9,2023-02-13,10:36:00,1773.9,Sell,KOTAKBANK,,1722.75,,,,,,,,,,1769.25,10:07:00,-1860.0,Stoploss Hit,,1764.6,1759.95,1755.3,1750.65,1746.0,1741.35,1736.7,1732.05,1727.4,4.65,400,Mon,Feb,10580.6,10576.3,Up,00:29:00
1171.85,2018-11-20,09:53:00,1170.05,Buy,KOTAKBANK,1.8,1189.85,1173.65,1175.45,1177.25,1179.05,1180.85,1182.65,1184.45,1186.25,1188.05,1170.05,09:54:00,-720.0,Stoploss Hit,,,,,,,,,,,,400,Tue,Nov,10740.1,10763.4,Down,00:01:00
1178.8,2018-11-22,09:47:00,1176.3,Buy,KOTAKBANK,2.5,1203.8,1181.3,1183.8,1186.3,1188.8,1191.3,1193.8,1196.3,1198.8,1201.3,1176.3,10:05:00,-1000.0,Stoploss Hit,,,,,,,,,,,,400,Thu,Nov,10568.3,10526.75,Up,00:18:00
1175.05,2018-11-29,10:58:00,1205.0,Buy,KOTAKBANK,2.05,1195.55,1177.1,1179.15,1181.2,1183.25,1185.3,1187.35,1189.4,1191.45,1193.5,1205.0,12:20:00,11980.0,Stoploss Hit,Breakeven,,,,,,,,,,,400,Thu,Nov,10644.8,10601.15,Up,01:22:00
1266.75,2018-12-06,10:34:00,1266.75,Sell,KOTAKBANK,,1299.0,,,,,,,,,,1191.5,12:21:00,-30100.0,Stoploss Hit,1to7 Trail,1202.25,1213.0,1223.75,1234.5,1245.25,1256.0,1266.75,1277.5,1288.25,-10.75,400,Thu,Dec,10718.15,10782.9,Down,1899-12-29 22:13:00
1247.7,2018-12-13,11:12:00,1244.0,Buy,KOTAKBANK,3.7,1284.7,1251.4,1255.1,1258.8,1262.5,1266.2,1269.9,1273.6,1277.3,1281.0,1244.0,11:39:00,-1480.0,Stoploss Hit,,,,,,,,,,,,400,Thu,Dec,10786.25,10771.8,Up,00:27:00
1264.4,2018-12-14,10:22:00,1260.3,Buy,KOTAKBANK,4.1,1305.4,1268.5,1272.6,1276.7,1280.8,1284.9,1289.0,1293.1,1297.2,1301.3,1260.3,10:32:00,-1640.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Dec,10885.2,10967.3,Down,00:10:00
1230.0,2018-12-18,14:28:00,1230.0,Buy,KOTAKBANK,2.15,1251.5,1232.15,1234.3,1236.45,1238.6,1240.75,1242.9,1245.05,1247.2,1249.35,1235.3,15:00:00,2120.0,Market Exit,Breakeven,,,,,,,,,,,400,Tue,Dec,10850.9,10888.35,Down,00:32:00
1224.85,2018-12-20,11:03:00,1224.85,Buy,KOTAKBANK,4.25,1267.35,1229.1,1233.35,1237.6,1241.85,1246.1,1250.35,1254.6,1258.85,1263.1,1236.3,15:00:00,4580.0,Market Exit,Breakeven,,,,,,,,,,,400,Thu,Dec,10885.2,10967.3,Down,03:57:00
1228.95,2018-12-24,11:33:00,1228.95,Sell,KOTAKBANK,,1177.25,,,,,,,,,,1224.25,10:29:00,-1880.0,Stoploss Hit,,1219.55,1214.85,1210.15,1205.45,1200.75,1196.05,1191.35,1186.65,1181.95,4.7,400,Mon,Dec,10796.8,10792.5,Up,01:04:00
1235.25,2019-01-04,10:14:00,1235.25,Sell,KOTAKBANK,,1217.25,,,,,,,,,,1235.25,09:50:00,0.0,Stoploss Hit,Breakeven,1233.45,1231.65,1229.85,1228.05,1226.25,1224.45,1222.65,1220.85,1219.05,1.8,400,Fri,Jan,10834.75,10821.6,Up,00:24:00
1215.05,2019-01-14,10:21:00,1215.05,Sell,KOTAKBANK,,1206.55,,,,,,,,,,1215.05,10:17:00,0.0,Stoploss Hit,Breakeven,1214.2,1213.35,1212.5,1211.65,1210.8,1209.95,1209.1,1208.25,1207.4,0.85,400,Mon,Jan,10786.25,10771.8,Up,00:04:00
1215.05,2019-01-15,13:47:00,1215.05,Sell,KOTAKBANK,,1202.55,,,,,,,,,,1215.05,10:49:00,0.0,Stoploss Hit,Breakeven,1213.8,1212.55,1211.3,1210.05,1208.8,1207.55,1206.3,1205.05,1203.8,1.25,400,Tue,Jan,10859.35,10855.15,Up,02:58:00
1240.7,2019-01-21,12:41:00,1240.7,Buy,KOTAKBANK,9.7,1337.7,1250.4,1260.1,1269.8,1279.5,1289.2,1298.9,1308.6,1318.3,1328.0,1264.75,15:00:00,9620.0,Market Exit,Breakeven,,,,,,,,,,,400,Mon,Jan,10919.35,10906.95,Up,02:19:00
1283.25,2019-01-25,10:01:00,1280.25,Buy,KOTAKBANK,3.0,1313.25,1286.25,1289.25,1292.25,1295.25,1298.25,1301.25,1304.25,1307.25,1310.25,1280.25,10:54:00,-1200.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Jan,10859.75,10849.8,Up,00:53:00
1225.0,2019-01-31,09:59:00,1236.7,Buy,KOTAKBANK,5.85,1283.5,1230.85,1236.7,1242.55,1248.4,1254.25,1260.1,1265.95,1271.8,1277.65,1251.15,15:00:00,10460.0,Market Exit,1to2 trail,,,,,,,,,,,400,Thu,Jan,10690.55,10651.8,Up,05:01:00
1286.45,2019-02-06,09:50:00,1283.3,Buy,KOTAKBANK,3.15,1317.95,1289.6,1292.75,1295.9,1299.05,1302.2,1305.35,1308.5,1311.65,1314.8,1283.3,10:04:00,-1260.0,Stoploss Hit,,,,,,,,,,,,400,Wed,Feb,11038.85,11058.2,Down,00:14:00
1284.0,2019-02-07,10:24:00,1282.45,Buy,KOTAKBANK,1.55,1299.5,1285.55,1287.1,1288.65,1290.2,1291.75,1293.3,1294.85,1296.4,1297.95,1282.45,10:29:00,-620.0,Stoploss Hit,,,,,,,,,,,,400,Thu,Feb,11023.5,11069.4,Down,00:05:00
1287.0,2019-02-08,10:23:00,1297.25,Buy,KOTAKBANK,2.05,1307.5,1289.05,1291.1,1293.15,1295.2,1297.25,1299.3,1301.35,1303.4,1305.45,1297.25,15:15:00,4100.0,Stoploss Hit,1to5 trail,,,,,,,,,,,400,Fri,Feb,10780.25,10746.05,Up,04:52:00
1773.9,2023-02-13,10:36:00,1773.9,Sell,KOTAKBANK,,1722.75,,,,,,,,,,1769.25,10:07:00,-1860.0,Stoploss Hit,,1764.6,1759.95,1755.3,1750.65,1746.0,1741.35,1736.7,1732.05,1727.4,4.65,400,Mon,Feb,10813.25,10791.65,Up,00:29:00
1276.7,2019-02-19,10:01:00,1276.7,Sell,KOTAKBANK,,1244.25,,,,,,,,,,1273.75,09:57:00,-1180.0,Stoploss Hit,,1270.8,1267.85,1264.9,1261.95,1259.0,1256.05,1253.1,1250.15,1247.2,2.95,400,Tue,Feb,10738.65,10724.4,Up,00:04:00
1223.95,2019-03-01,10:22:00,1222.2,Buy,KOTAKBANK,1.75,1241.45,1225.7,1227.45,1229.2,1230.95,1232.7,1234.45,1236.2,1237.95,1239.7,1222.2,10:26:00,-700.0,Stoploss Hit,,,,,,,,,,,,400,Fri,Mar,11024.85,10987.45,Up,00:04:00
