buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
176.4,2018-08-08,12:33:00,176.4,Sell,L&TFH,,171.9,,,,,,,,,,176.4,11:12:00,0.0,Stoploss Hit,Breakeven,175.95,175.5,175.05,174.6,174.15,173.7,173.25,172.8,172.35,0.45,8924,Wed,Aug,11412.5,11389.45,Up,01:21:00
180.25,2018-08-10,10:48:00,180.25,Sell,L&TFH,,172.25,,,,,,,,,,180.25,09:55:00,0.0,Stoploss Hit,Breakeven,179.45,178.65,177.85,177.05,176.25,175.45,174.65,173.85,173.05,0.8,8924,Fri,Aug,11474.95,11470.7,Up,00:53:00
174.85,2018-08-14,11:17:00,174.85,Sell,L&TFH,,169.35,,,,,,,,,,174.35,11:14:00,-4462.0,Stoploss Hit,,173.85,173.35,172.85,172.35,171.85,171.35,170.85,170.35,169.85,0.5,8924,Tue,Aug,11381.7,11355.75,Up,00:03:00
175.9,2018-08-16,13:16:00,175.9,Sell,L&TFH,,172.4,,,,,,,,,,175.9,13:08:00,0.0,Stoploss Hit,Breakeven,175.55,175.2,174.85,174.5,174.15,173.8,173.45,173.1,172.75,0.35,8924,Thu,Aug,11397.15,11435.1,Down,00:08:00
168.0,2018-09-05,09:46:00,168.0,Sell,L&TFH,,159.0,,,,,,,,,,168.0,11:35:00,0.0,Stoploss Hit,Breakeven,167.1,166.2,165.3,164.4,163.5,162.6,161.7,160.8,159.9,0.9,8924,Wed,Sep,11570.25,11589.1,Down,1899-12-29 22:11:00
167.95,2018-09-06,09:47:00,168.1,Buy,L&TFH,0.15,169.45,168.1,168.25,168.4,168.55,168.7,168.85,169.0,169.15,169.3,168.1,09:49:00,1338.6,Stoploss Hit,1to1 trail,,,,,,,,,,,8924,Thu,Sep,11514.15,11476.95,Up,00:02:00
159.3,2018-09-10,09:47:00,159.3,Sell,L&TFH,,151.75,,,,,,,,,,164.25,10:34:00,44173.8,Stoploss Hit,Breakeven,163.0,161.75,160.5,159.25,158.0,156.75,155.5,154.25,153.0,1.25,8924,Mon,Sep,11340.1,11287.5,Up,1899-12-29 23:13:00
155.95,2018-09-12,10:19:00,155.95,Sell,L&TFH,,148.8,,,,,,,,,,155.3,09:54:00,-5800.6,Stoploss Hit,,154.65,154.0,153.35,152.7,152.05,151.4,150.75,150.1,149.45,0.65,8924,Wed,Sep,11476.85,11438.1,Up,00:25:00
157.7,2018-09-14,12:06:00,157.7,Sell,L&TFH,,154.7,,,,,,,,,,157.7,11:40:00,0.0,Stoploss Hit,Breakeven,157.4,157.1,156.8,156.5,156.2,155.9,155.6,155.3,155.0,0.3,8924,Fri,Sep,11443.5,11369.9,Up,00:26:00
132.0,2018-10-03,09:49:00,131.25,Buy,L&TFH,0.75,139.5,132.75,133.5,134.25,135.0,135.75,136.5,137.25,138.0,138.75,131.25,09:53:00,-6693.0,Stoploss Hit,,,,,,,,,,,,8924,Wed,Oct,10982.7,11008.3,Down,00:04:00
