buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
938.0,2018-08-01,11:22:00,938.0,Sell,LALPATHLAB,,863.2,,,,,,,,,,931.2,11:22:00,-1700.0,Stoploss Hit,,924.4,917.6,910.8,904.0,897.2,890.4,883.6,876.8,870.0,6.8,250,Wed,Aug,11328.9,11346.2,Down,00:00:00
937.4,2018-08-02,09:47:00,931.5,Buy,LALPATHLAB,5.9,996.4,943.3,949.2,955.1,961.0,966.9,972.8,978.7,984.6,990.5,931.5,14:54:00,-1475.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Aug,11328.9,11346.2,Down,05:07:00
957.0,2018-08-10,14:24:00,953.05,Buy,LALPATHLAB,3.95,996.5,960.95,964.9,968.85,972.8,976.75,980.7,984.65,988.6,992.55,953.05,14:25:00,-987.5,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11474.95,11470.7,Up,00:01:00
969.95,2018-08-16,09:59:00,968.0,Buy,LALPATHLAB,1.95,989.45,971.9,973.85,975.8,977.75,979.7,981.65,983.6,985.55,987.5,968.0,13:39:00,-487.5,Stoploss Hit,,,,,,,,,,,,250,Thu,Aug,11145.55,11067.45,Up,03:40:00
990.0,2018-08-17,13:28:00,988.6,Buy,LALPATHLAB,1.4,1004.0,991.4,992.8,994.2,995.6,997.0,998.4,999.8,1001.2,1002.6,988.6,13:28:00,-350.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11502.1,11470.75,Up,00:00:00
1051.8,2018-08-20,09:48:00,1051.8,Buy,LALPATHLAB,3.8,1089.8,1055.6,1059.4,1063.2,1067.0,1070.8,1074.6,1078.4,1082.2,1086.0,1051.8,09:51:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Mon,Aug,10550.15,10512.5,Up,00:03:00
1027.15,2018-08-23,11:43:00,1027.15,Sell,LALPATHLAB,,992.05,,,,,,,,,,1031.05,10:06:00,975.0,Stoploss Hit,1to1 Trail,1027.15,1023.25,1019.35,1015.45,1011.55,1007.65,1003.75,999.85,995.95,3.9,250,Thu,Aug,11620.7,11570.9,Up,01:37:00
1047.95,2018-08-31,10:02:00,1047.95,Sell,LALPATHLAB,,986.35,,,,,,,,,,1042.35,09:56:00,-1400.0,Stoploss Hit,,1036.75,1031.15,1025.55,1019.95,1014.35,1008.75,1003.15,997.55,991.95,5.6,250,Fri,Aug,11598.75,11582.35,Up,00:06:00
993.45,2018-09-14,12:57:00,993.45,Sell,LALPATHLAB,,955.5,,,,,,,,,,990.0,11:53:00,-862.5,Stoploss Hit,,986.55,983.1,979.65,976.2,972.75,969.3,965.85,962.4,958.95,3.45,250,Fri,Sep,11381.55,11377.75,Up,01:04:00
956.25,2018-10-01,10:04:00,951.25,Buy,LALPATHLAB,5.0,1006.25,961.25,966.25,971.25,976.25,981.25,986.25,991.25,996.25,1001.25,951.25,10:05:00,-1250.0,Stoploss Hit,,,,,,,,,,,,250,Mon,Oct,10754.7,10858.25,Down,00:01:00
