buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
91.6,2018-08-01,10:10:00,91.4,Buy,LAURUSLABS,0.2,93.6,91.8,92.0,92.2,92.4,92.6,92.8,93.0,93.2,93.4,91.4,10:16:00,-220.0,Stoploss Hit,,,,,,,,,,,,1100,Wed,Aug,11328.9,11346.2,Down,00:06:00
86.07,2018-08-06,10:37:00,86.07,Sell,LAURUSLABS,,83.9,,,,,,,,,,87.0,10:14:00,1023.0,Stoploss Hit,1to3 Trail,86.69,86.38,86.07,85.76,85.45,85.14,84.83,84.52,84.21,0.31,1100,Mon,Aug,11401.5,11360.8,Up,00:23:00
88.48,2018-08-14,10:19:00,88.4,Buy,LAURUSLABS,0.08,89.28,88.56,88.64,88.72,88.8,88.88,88.96,89.04,89.12,89.2,88.4,10:22:00,-88.0,Stoploss Hit,,,,,,,,,,,,1100,Tue,Aug,10390.3,10348.05,Up,00:03:00
88.8,2018-08-23,10:52:00,88.8,Sell,LAURUSLABS,,87.6,,,,,,,,,,90.6,10:00:00,1980.0,Stoploss Hit,1to6 Trail,90.3,90.0,89.7,89.4,89.1,88.8,88.5,88.2,87.9,0.3,1100,Thu,Aug,11620.7,11570.9,Up,00:52:00
86.87,2018-09-07,10:02:00,86.87,Buy,LAURUSLABS,0.31,89.97,87.18,87.49,87.8,88.11,88.42,88.73,89.04,89.35,89.66,86.87,10:26:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1100,Fri,Sep,11558.25,11536.9,Up,00:24:00
88.96,2018-09-17,09:54:00,88.61,Buy,LAURUSLABS,0.35,92.46,89.31,89.66,90.01,90.36,90.71,91.06,91.41,91.76,92.11,88.61,10:33:00,-385.0,Stoploss Hit,,,,,,,,,,,,1100,Mon,Sep,11570.25,11589.1,Down,00:39:00
87.51,2018-09-21,10:18:00,87.51,Sell,LAURUSLABS,,83.0,,,,,,,,,,87.1,10:13:00,-451.0,Stoploss Hit,,86.69,86.28,85.87,85.46,85.05,84.64,84.23,83.82,83.41,0.41,1100,Fri,Sep,11381.55,11377.75,Up,00:05:00
87.34,2018-09-27,11:16:00,87.34,Sell,LAURUSLABS,,84.04,,,,,,,,,,87.04,11:01:00,-330.0,Stoploss Hit,,86.74,86.44,86.14,85.84,85.54,85.24,84.94,84.64,84.34,0.3,1100,Thu,Sep,11271.3,11234.35,Up,00:15:00
86.2,2018-10-03,09:49:00,86.2,Buy,LAURUSLABS,0.2,88.2,86.4,86.6,86.8,87.0,87.2,87.4,87.6,87.8,88.0,86.2,11:29:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1100,Wed,Oct,11145.55,11067.45,Up,01:40:00
84.4,2018-10-04,11:24:00,84.48,Buy,LAURUSLABS,0.04,84.8,84.44,84.48,84.52,84.56,84.6,84.64,84.68,84.72,84.76,84.48,11:27:00,88.0,Stoploss Hit,1to2 trail,,,,,,,,,,,1100,Thu,Oct,11008.1,10977.55,Up,00:03:00
83.53,2018-10-05,09:48:00,83.53,Buy,LAURUSLABS,0.2,85.53,83.73,83.93,84.13,84.33,84.53,84.73,84.93,85.13,85.33,83.53,10:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1100,Fri,Oct,10514.1,10599.25,Down,00:14:00
81.76,2018-10-08,11:33:00,81.58,Buy,LAURUSLABS,0.18,83.56,81.94,82.12,82.3,82.48,82.66,82.84,83.02,83.2,83.38,81.58,11:33:00,-198.0,Stoploss Hit,,,,,,,,,,,,1100,Mon,Oct,10754.7,10858.25,Down,00:00:00
84.3,2018-10-12,11:23:00,84.3,Sell,LAURUSLABS,,81.22,,,,,,,,,,84.02,11:10:00,-308.0,Stoploss Hit,,83.74,83.46,83.18,82.9,82.62,82.34,82.06,81.78,81.5,0.28,1100,Fri,Oct,10390.3,10348.05,Up,00:13:00
81.82,2018-10-16,11:26:00,81.82,Sell,LAURUSLABS,,79.42,,,,,,,,,,81.82,11:19:00,0.0,Stoploss Hit,Breakeven,81.58,81.34,81.1,80.86,80.62,80.38,80.14,79.9,79.66,0.24,1100,Tue,Oct,10169.8,10460.1,Down,00:07:00
82.52,2018-10-17,09:49:00,82.35,Buy,LAURUSLABS,0.17,84.22,82.69,82.86,83.03,83.2,83.37,83.54,83.71,83.88,84.05,82.35,09:54:00,-187.0,Stoploss Hit,,,,,,,,,,,,1100,Wed,Oct,10688.7,10584.75,Up,00:05:00
77.5,2018-10-19,09:46:00,77.5,Sell,LAURUSLABS,,76.69,,,,,,,,,,79.39,09:50:00,2079.0,Stoploss Hit,1to7 Trail,79.12,78.85,78.58,78.31,78.04,77.77,77.5,77.23,76.96,0.27,1100,Fri,Oct,10558.75,10553.0,Up,1899-12-29 23:56:00
80.0,2018-11-20,09:51:00,79.49,Buy,LAURUSLABS,0.51,85.1,80.51,81.02,81.53,82.04,82.55,83.06,83.57,84.08,84.59,79.49,11:44:00,-561.0,Stoploss Hit,,,,,,,,,,,,1100,Tue,Nov,10580.6,10576.3,Up,01:53:00
76.64,2019-01-02,12:02:00,76.64,Sell,LAURUSLABS,,74.11,,,,,,,,,,76.41,11:04:00,-253.0,Stoploss Hit,,76.18,75.95,75.72,75.49,75.26,75.03,74.8,74.57,74.34,0.23,1100,Wed,Jan,10850.9,10888.35,Down,00:58:00
76.0,2019-01-03,14:28:00,76.0,Sell,LAURUSLABS,,76.0,,,,,,,,,,76.0,13:39:00,0.0,Stoploss Hit,1to7 Trail,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,1100,Thu,Jan,10796.8,10792.5,Up,00:49:00
76.18,2019-01-04,11:16:00,76.18,Buy,LAURUSLABS,0.18,77.98,76.36,76.54,76.72,76.9,77.08,77.26,77.44,77.62,77.8,76.18,13:51:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1100,Fri,Jan,10885.2,10967.3,Down,02:35:00
77.16,2019-01-14,12:51:00,75.82,Buy,LAURUSLABS,1.34,90.56,78.5,79.84,81.18,82.52,83.86,85.2,86.54,87.88,89.22,75.82,13:22:00,-1474.0,Stoploss Hit,,,,,,,,,,,,1100,Mon,Jan,10817.9,10729.85,Up,00:31:00
75.61,2019-01-21,11:29:00,75.68,Buy,LAURUSLABS,0.01,75.71,75.62,75.63,75.64,75.65,75.66,75.67,75.68,75.69,75.7,75.68,11:58:00,77.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1100,Mon,Jan,10807.0,10794.95,Up,00:29:00
74.58,2019-01-28,10:09:00,74.21,Buy,LAURUSLABS,0.37,78.28,74.95,75.32,75.69,76.06,76.43,76.8,77.17,77.54,77.91,74.21,10:24:00,-407.0,Stoploss Hit,,,,,,,,,,,,1100,Mon,Jan,10920.85,10890.3,Up,00:15:00
71.85,2019-02-04,11:05:00,71.85,Sell,LAURUSLABS,,69.1,,,,,,,,,,71.6,09:46:00,-275.0,Stoploss Hit,,71.35,71.1,70.85,70.6,70.35,70.1,69.85,69.6,69.35,0.25,1100,Mon,Feb,10851.35,10830.95,Up,01:19:00
67.04,2019-02-13,13:42:00,67.04,Sell,LAURUSLABS,,64.4,,,,,,,,,,66.8,11:35:00,-264.0,Stoploss Hit,,66.56,66.32,66.08,65.84,65.6,65.36,65.12,64.88,64.64,0.24,1100,Wed,Feb,10876.75,10893.65,Down,02:07:00
66.39,2019-02-20,09:46:00,66.3,Buy,LAURUSLABS,0.09,67.29,66.48,66.57,66.66,66.75,66.84,66.93,67.02,67.11,67.2,66.3,09:46:00,-99.0,Stoploss Hit,,,,,,,,,,,,1100,Wed,Feb,10655.45,10604.35,Up,00:00:00
67.36,2019-02-22,13:10:00,67.36,Buy,LAURUSLABS,0.0,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,13:10:00,0.0,Stoploss Hit,,,,,,,,,,,,1100,Fri,Feb,11473.85,11426.85,Up,00:00:00
