buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
526.15,2018-08-02,10:16:00,526.15,Buy,LICHSGFIN,3.2,558.15,529.35,532.55,535.75,538.95,542.15,545.35,548.55,551.75,554.95,533.35,15:00:00,14400.0,Market Exit,Breakeven,,,,,,,,,,,2000,Thu,Aug,11328.9,11346.2,Down,04:44:00
551.7,2018-08-09,11:46:00,551.7,Sell,LICHSGFIN,,534.1,,,,,,,,,,550.1,11:02:00,-3200.0,Stoploss Hit,,548.5,546.9,545.3,543.7,542.1,540.5,538.9,537.3,535.7,1.6,2000,Thu,Aug,11493.25,11450.0,Up,00:44:00
577.1,2018-08-24,09:52:00,577.1,Buy,LICHSGFIN,2.35,600.6,579.45,581.8,584.15,586.5,588.85,591.2,593.55,595.9,598.25,577.1,12:15:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Fri,Aug,11566.6,11582.75,Down,02:23:00
500.0,2018-09-05,10:07:00,497.5,Buy,LICHSGFIN,2.5,525.0,502.5,505.0,507.5,510.0,512.5,515.0,517.5,520.0,522.5,497.5,12:13:00,-5000.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Sep,11514.85,11520.3,Down,02:06:00
498.05,2018-09-07,10:06:00,496.5,Buy,LICHSGFIN,1.55,513.55,499.6,501.15,502.7,504.25,505.8,507.35,508.9,510.45,512.0,496.5,10:33:00,-3100.0,Stoploss Hit,,,,,,,,,,,,2000,Fri,Sep,11340.1,11287.5,Up,00:27:00
472.25,2018-09-10,09:46:00,472.25,Sell,LICHSGFIN,,462.5,,,,,,,,,,495.0,10:27:00,45500.0,Stoploss Hit,1to7 Trail,491.75,488.5,485.25,482.0,478.75,475.5,472.25,469.0,465.75,3.25,2000,Mon,Sep,11570.25,11589.1,Down,1899-12-29 23:19:00
484.25,2019-01-02,10:42:00,483.35,Buy,LICHSGFIN,0.9,493.25,485.15,486.05,486.95,487.85,488.75,489.65,490.55,491.45,492.35,483.35,10:54:00,-1800.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Jan,10868.85,10910.1,Down,00:12:00
480.1,2019-01-14,10:59:00,480.1,Sell,LICHSGFIN,,475.7,,,,,,,,,,479.7,10:59:00,-800.0,Stoploss Hit,,479.3,478.9,478.5,478.1,477.7,477.3,476.9,476.5,476.1,0.4,2000,Mon,Jan,10914.85,10905.2,Up,00:00:00
490.65,2019-01-16,09:46:00,489.6,Buy,LICHSGFIN,1.05,501.15,491.7,492.75,493.8,494.85,495.9,496.95,498.0,499.05,500.1,489.6,10:07:00,-2100.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Jan,10919.35,10906.95,Up,00:21:00
489.45,2019-01-17,10:16:00,489.45,Buy,LICHSGFIN,0.8,497.45,490.25,491.05,491.85,492.65,493.45,494.25,495.05,495.85,496.65,489.45,12:04:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Thu,Jan,10919.35,10906.95,Up,01:48:00
478.75,2019-01-18,09:46:00,478.75,Sell,LICHSGFIN,,472.0,,,,,,,,,,485.5,10:09:00,13500.0,Stoploss Hit,1to5 Trail,484.15,482.8,481.45,480.1,478.75,477.4,476.05,474.7,473.35,1.35,2000,Fri,Jan,10914.85,10905.2,Up,1899-12-29 23:37:00
453.2,2019-02-01,11:23:00,453.2,Sell,LICHSGFIN,,422.4,,,,,,,,,,450.4,11:10:00,-5600.0,Stoploss Hit,,447.6,444.8,442.0,439.2,436.4,433.6,430.8,428.0,425.2,2.8,2000,Fri,Feb,10876.75,10893.65,Down,00:13:00
461.0,2019-02-04,10:29:00,459.45,Buy,LICHSGFIN,1.55,476.5,462.55,464.1,465.65,467.2,468.75,470.3,471.85,473.4,474.95,459.45,10:39:00,-3100.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Feb,10965.1,10934.35,Up,00:10:00
448.1,2019-02-12,09:58:00,448.1,Sell,LICHSGFIN,,437.1,,,,,,,,,,447.1,09:54:00,-2000.0,Stoploss Hit,,446.1,445.1,444.1,443.1,442.1,441.1,440.1,439.1,438.1,1.0,2000,Tue,Feb,10879.7,10888.8,Down,00:04:00
446.9,2019-02-14,14:03:00,445.2,Buy,LICHSGFIN,1.7,463.9,448.6,450.3,452.0,453.7,455.4,457.1,458.8,460.5,462.2,445.2,14:56:00,-3400.0,Stoploss Hit,,,,,,,,,,,,2000,Thu,Feb,10655.45,10604.35,Up,00:53:00
479.55,2019-03-05,10:41:00,478.55,Buy,LICHSGFIN,1.0,489.55,480.55,481.55,482.55,483.55,484.55,485.55,486.55,487.55,488.55,478.55,10:54:00,-2000.0,Stoploss Hit,,,,,,,,,,,,2000,Tue,Mar,11382.5,11341.7,Up,00:13:00
521.0,2019-03-25,13:52:00,521.0,Sell,LICHSGFIN,,501.75,,,,,,,,,,519.25,11:12:00,-3500.0,Stoploss Hit,,517.5,515.75,514.0,512.25,510.5,508.75,507.0,505.25,503.5,1.75,2000,Mon,Mar,11531.45,11483.25,Up,02:40:00
542.0,2019-04-05,09:50:00,541.6,Buy,LICHSGFIN,0.4,546.0,542.4,542.8,543.2,543.6,544.0,544.4,544.8,545.2,545.6,541.6,09:50:00,-800.0,Stoploss Hit,,,,,,,,,,,,2000,Fri,Apr,11638.4,11598.0,Up,00:00:00
