buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1289.35,2018-08-02,10:14:00,1289.35,Sell,LT,,1253.6,,,,,,,,,,1286.1,10:11:00,-975.0,Stoploss Hit,,1282.85,1279.6,1276.35,1273.1,1269.85,1266.6,1263.35,1260.1,1256.85,3.25,300,Thu,Aug,11328.9,11346.2,Down,00:03:00
1297.65,2018-08-08,09:53:00,1297.65,Buy,LT,2.65,1324.15,1300.3,1302.95,1305.6,1308.25,1310.9,1313.55,1316.2,1318.85,1321.5,1297.65,10:22:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Wed,Aug,11412.5,11389.45,Up,00:29:00
1300.95,2018-08-20,09:50:00,1300.95,Buy,LT,1.95,1320.45,1302.9,1304.85,1306.8,1308.75,1310.7,1312.65,1314.6,1316.55,1318.5,1300.95,09:52:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Mon,Aug,11437.15,11385.05,Up,00:02:00
1321.8,2018-08-21,11:57:00,1321.8,Sell,LT,,1287.7,,,,,,,,,,1318.7,11:19:00,-930.0,Stoploss Hit,,1315.6,1312.5,1309.4,1306.3,1303.2,1300.1,1297.0,1293.9,1290.8,3.1,300,Tue,Aug,11620.7,11570.9,Up,00:38:00
1355.0,2018-08-27,09:47:00,1352.9,Buy,LT,2.1,1376.0,1357.1,1359.2,1361.3,1363.4,1365.5,1367.6,1369.7,1371.8,1373.9,1352.9,10:01:00,-630.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Aug,11605.85,11557.1,Up,00:14:00
1359.55,2018-08-30,10:17:00,1357.0,Buy,LT,2.55,1385.05,1362.1,1364.65,1367.2,1369.75,1372.3,1374.85,1377.4,1379.95,1382.5,1357.0,10:23:00,-765.0,Stoploss Hit,,,,,,,,,,,,300,Thu,Aug,11694.75,11691.9,Up,00:06:00
1362.9,2018-09-05,10:08:00,1359.0,Buy,LT,3.9,1401.9,1366.8,1370.7,1374.6,1378.5,1382.4,1386.3,1390.2,1394.1,1398.0,1359.0,10:27:00,-1170.0,Stoploss Hit,,,,,,,,,,,,300,Wed,Sep,11514.15,11476.95,Up,00:19:00
1356.0,2018-09-14,12:05:00,1356.0,Sell,LT,,1335.0,,,,,,,,,,1356.0,10:55:00,0.0,Stoploss Hit,Breakeven,1353.9,1351.8,1349.7,1347.6,1345.5,1343.4,1341.3,1339.2,1337.1,2.1,300,Fri,Sep,11443.5,11369.9,Up,01:10:00
1349.9,2018-09-18,10:03:00,1347.95,Buy,LT,1.95,1369.4,1351.85,1353.8,1355.75,1357.7,1359.65,1361.6,1363.55,1365.5,1367.45,1347.95,10:08:00,-585.0,Stoploss Hit,,,,,,,,,,,,300,Tue,Sep,11326.65,11278.9,Up,00:05:00
1325.2,2018-09-24,10:17:00,1325.2,Sell,LT,,1303.6,,,,,,,,,,1327.6,10:05:00,720.0,Stoploss Hit,1to1 Trail,1325.2,1322.8,1320.4,1318.0,1315.6,1313.2,1310.8,1308.4,1306.0,2.4,300,Mon,Sep,11164.4,11143.1,Up,00:12:00
