buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1700.45,2018-08-03,09:46:00,1700.45,Sell,LTIM,,1638.5,,,,,,,,,,1727.0,09:57:00,3982.5,Stoploss Hit,1to3 Trail,1718.15,1709.3,1700.45,1691.6,1682.75,1673.9,1665.05,1656.2,1647.35,8.85,150,Fri,Aug,11401.5,11360.8,Up,1899-12-29 23:49:00
1725.25,2018-08-13,13:41:00,1725.25,Buy,LTIM,2.25,1747.75,1727.5,1729.75,1732.0,1734.25,1736.5,1738.75,1741.0,1743.25,1745.5,1725.25,13:44:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Mon,Aug,11474.95,11470.7,Up,00:03:00
1854.0,2018-08-23,09:50:00,1854.0,Sell,LTIM,,1766.0,,,,,,,,,,1846.0,09:48:00,-1200.0,Stoploss Hit,,1838.0,1830.0,1822.0,1814.0,1806.0,1798.0,1790.0,1782.0,1774.0,8.0,150,Thu,Aug,11620.7,11570.9,Up,00:02:00
1826.95,2018-09-05,09:54:00,1846.85,Buy,LTIM,9.95,1926.45,1836.9,1846.85,1856.8,1866.75,1876.7,1886.65,1896.6,1906.55,1916.5,1874.75,15:00:00,7170.0,Market Exit,1to2 trail,,,,,,,,,,,150,Wed,Sep,11514.15,11476.95,Up,05:06:00
1890.0,2018-09-07,11:39:00,1890.0,Buy,LTIM,8.0,1970.0,1898.0,1906.0,1914.0,1922.0,1930.0,1938.0,1946.0,1954.0,1962.0,1890.0,12:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Fri,Sep,11558.25,11536.9,Up,01:17:00
1849.45,2018-09-27,15:05:00,1849.45,Sell,LTIM,,1806.65,,,,,,,,,,1860.15,09:56:00,1605.0,Stoploss Hit,1to2 Trail,1854.8,1849.45,1844.1,1838.75,1833.4,1828.05,1822.7,1817.35,1812.0,5.35,150,Thu,Sep,10969.95,10967.4,Up,05:09:00
1913.0,2018-10-01,12:12:00,1901.0,Buy,LTIM,12.0,2033.0,1925.0,1937.0,1949.0,1961.0,1973.0,1985.0,1997.0,2009.0,2021.0,1901.0,12:15:00,-1800.0,Stoploss Hit,,,,,,,,,,,,150,Mon,Oct,11079.8,11053.8,Up,00:03:00
1786.6,2018-10-10,10:54:00,1790.7,Buy,LTIM,2.05,1807.1,1788.65,1790.7,1792.75,1794.8,1796.85,1798.9,1800.95,1803.0,1805.05,1790.7,11:10:00,615.0,Stoploss Hit,1to2 trail,,,,,,,,,,,150,Wed,Oct,10331.85,10301.05,Up,00:16:00
1729.5,2018-10-11,12:52:00,1729.5,Sell,LTIM,,1665.5,,,,,,,,,,1729.5,10:31:00,0.0,Stoploss Hit,Breakeven,1723.1,1716.7,1710.3,1703.9,1697.5,1691.1,1684.7,1678.3,1671.9,6.4,150,Thu,Oct,10754.7,10858.25,Down,02:21:00
1821.5,2018-10-16,09:56:00,1821.5,Sell,LTIM,,1710.95,,,,,,,,,,1811.45,09:50:00,-1507.5,Stoploss Hit,,1801.4,1791.35,1781.3,1771.25,1761.2,1751.15,1741.1,1731.05,1721.0,10.05,150,Tue,Oct,10169.8,10460.1,Down,00:06:00
1833.0,2018-10-17,10:09:00,1833.0,Buy,LTIM,10.6,1939.0,1843.6,1854.2,1864.8,1875.4,1886.0,1896.6,1907.2,1917.8,1928.4,1833.0,13:10:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Wed,Oct,10688.7,10584.75,Up,03:01:00
1752.3,2018-10-19,11:51:00,1752.3,Sell,LTIM,,1672.8,,,,,,,,,,1752.3,10:24:00,0.0,Stoploss Hit,Breakeven,1744.35,1736.4,1728.45,1720.5,1712.55,1704.6,1696.65,1688.7,1680.75,7.95,150,Fri,Oct,10339.7,10453.05,Down,01:27:00
1659.0,2018-10-30,11:04:00,1659.0,Sell,LTIM,,1648.0,,,,,,,,,,1670.0,10:27:00,1650.0,Stoploss Hit,1to5 Trail,1667.8,1665.6,1663.4,1661.2,1659.0,1656.8,1654.6,1652.4,1650.2,2.2,150,Tue,Oct,10239.4,10250.85,Down,00:37:00
1745.0,2018-10-31,12:52:00,1741.5,Buy,LTIM,3.5,1780.0,1748.5,1752.0,1755.5,1759.0,1762.5,1766.0,1769.5,1773.0,1776.5,1741.5,12:52:00,-525.0,Stoploss Hit,,,,,,,,,,,,150,Wed,Oct,10209.55,10198.4,Up,00:00:00
1761.85,2018-11-01,10:04:00,1761.85,Sell,LTIM,,1670.35,,,,,,,,,,1761.85,09:56:00,0.0,Stoploss Hit,Breakeven,1752.7,1743.55,1734.4,1725.25,1716.1,1706.95,1697.8,1688.65,1679.5,9.15,150,Thu,Nov,10441.7,10386.6,Up,00:08:00
1712.9,2018-11-05,09:46:00,1697.9,Buy,LTIM,15.0,1862.9,1727.9,1742.9,1757.9,1772.9,1787.9,1802.9,1817.9,1832.9,1847.9,1697.9,11:06:00,-2250.0,Stoploss Hit,,,,,,,,,,,,150,Mon,Nov,10558.75,10553.0,Up,01:20:00
1628.95,2018-11-16,13:34:00,1624.95,Buy,LTIM,4.0,1668.95,1632.95,1636.95,1640.95,1644.95,1648.95,1652.95,1656.95,1660.95,1664.95,1624.95,13:52:00,-600.0,Stoploss Hit,,,,,,,,,,,,150,Fri,Nov,10740.1,10763.4,Down,00:18:00
1655.0,2018-11-19,12:06:00,1650.15,Buy,LTIM,4.85,1703.5,1659.85,1664.7,1669.55,1674.4,1679.25,1684.1,1688.95,1693.8,1698.65,1650.15,12:45:00,-727.5,Stoploss Hit,,,,,,,,,,,,150,Mon,Nov,10731.25,10682.2,Up,00:39:00
1569.2,2018-11-30,12:08:00,1569.2,Sell,LTIM,,1566.0,,,,,,,,,,1570.0,12:06:00,120.0,Stoploss Hit,1to2 Trail,1569.6,1569.2,1568.8,1568.4,1568.0,1567.6,1567.2,1566.8,1566.4,0.4,150,Fri,Nov,10708.75,10685.6,Up,00:02:00
1578.0,2018-12-03,12:35:00,1578.0,Buy,LTIM,4.7,1625.0,1582.7,1587.4,1592.1,1596.8,1601.5,1606.2,1610.9,1615.6,1620.3,1578.0,13:09:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Mon,Dec,10740.1,10763.4,Down,00:34:00
1575.0,2018-12-04,10:03:00,1572.0,Buy,LTIM,3.0,1605.0,1578.0,1581.0,1584.0,1587.0,1590.0,1593.0,1596.0,1599.0,1602.0,1572.0,10:04:00,-450.0,Stoploss Hit,,,,,,,,,,,,150,Tue,Dec,10930.7,10876.75,Up,00:01:00
1504.6,2018-12-06,15:21:00,1504.6,Sell,LTIM,,1458.4,,,,,,,,,,1524.4,09:52:00,2970.0,Stoploss Hit,1to3 Trail,1517.8,1511.2,1504.6,1498.0,1491.4,1484.8,1478.2,1471.6,1465.0,6.6,150,Thu,Dec,10718.15,10782.9,Down,05:29:00
1442.65,2018-12-10,09:56:00,1442.65,Sell,LTIM,,1391.5,,,,,,,,,,1438.0,09:56:00,-697.5,Stoploss Hit,,1433.35,1428.7,1424.05,1419.4,1414.75,1410.1,1405.45,1400.8,1396.15,4.65,150,Mon,Dec,10508.7,10693.7,Down,00:00:00
1476.25,2018-12-11,09:46:00,1496.55,Buy,LTIM,10.15,1577.75,1486.4,1496.55,1506.7,1516.85,1527.0,1537.15,1547.3,1557.45,1567.6,1521.05,15:00:00,6720.0,Market Exit,1to2 trail,,,,,,,,,,,150,Tue,Dec,10859.75,10849.8,Up,05:14:00
1705.4,2018-12-20,11:14:00,1695.0,Buy,LTIM,10.4,1809.4,1715.8,1726.2,1736.6,1747.0,1757.4,1767.8,1778.2,1788.6,1799.0,1695.0,11:27:00,-1560.0,Stoploss Hit,,,,,,,,,,,,150,Thu,Dec,10850.9,10888.35,Down,00:13:00
1698.45,2018-12-24,13:50:00,1698.45,Buy,LTIM,3.7,1735.45,1702.15,1705.85,1709.55,1713.25,1716.95,1720.65,1724.35,1728.05,1731.75,1698.45,13:54:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Mon,Dec,10817.9,10729.85,Up,00:04:00
1683.75,2018-12-27,12:33:00,1683.75,Sell,LTIM,,1672.5,,,,,,,,,,1685.0,12:31:00,187.5,Stoploss Hit,1to1 Trail,1683.75,1682.5,1681.25,1680.0,1678.75,1677.5,1676.25,1675.0,1673.75,1.25,150,Thu,Dec,10817.9,10729.85,Up,00:02:00
1724.1,2018-12-31,13:06:00,1724.1,Sell,LTIM,,1684.1,,,,,,,,,,1724.1,13:00:00,0.0,Stoploss Hit,Breakeven,1720.1,1716.1,1712.1,1708.1,1704.1,1700.1,1696.1,1692.1,1688.1,4.0,150,Mon,Dec,10913.2,10859.9,Up,00:06:00
1740.1,2019-01-15,10:37:00,1735.0,Buy,LTIM,5.1,1791.1,1745.2,1750.3,1755.4,1760.5,1765.6,1770.7,1775.8,1780.9,1786.0,1735.0,11:16:00,-765.0,Stoploss Hit,,,,,,,,,,,,150,Tue,Jan,10859.35,10855.15,Up,00:39:00
1745.95,2019-01-16,12:12:00,1753.3,Buy,LTIM,1.05,1756.45,1747.0,1748.05,1749.1,1750.15,1751.2,1752.25,1753.3,1754.35,1755.4,1753.3,12:28:00,1102.5,Stoploss Hit,1to7 trail,,,,,,,,,,,150,Wed,Jan,10899.65,10886.8,Up,00:16:00
1782.95,2019-01-23,13:18:00,1782.95,Sell,LTIM,,1756.55,,,,,,,,,,1780.55,13:18:00,-360.0,Stoploss Hit,,1778.15,1775.75,1773.35,1770.95,1768.55,1766.15,1763.75,1761.35,1758.95,2.4,150,Wed,Jan,10931.05,10922.75,Up,00:00:00
1754.95,2019-01-24,11:53:00,1754.95,Sell,LTIM,,1744.5,,,,,,,,,,1754.0,11:53:00,-142.5,Stoploss Hit,,1753.05,1752.1,1751.15,1750.2,1749.25,1748.3,1747.35,1746.4,1745.45,0.95,150,Thu,Jan,10949.8,10961.85,Down,00:00:00
1707.25,2019-01-28,13:49:00,1707.25,Sell,LTIM,,1619.75,,,,,,,,,,1707.25,13:23:00,0.0,Stoploss Hit,Breakeven,1698.5,1689.75,1681.0,1672.25,1663.5,1654.75,1646.0,1637.25,1628.5,8.75,150,Mon,Jan,10844.05,10831.5,Up,00:26:00
1731.85,2019-01-30,12:31:00,1727.95,Buy,LTIM,3.9,1770.85,1735.75,1739.65,1743.55,1747.45,1751.35,1755.25,1759.15,1763.05,1766.95,1737.05,15:00:00,780.0,Market Exit,,,,,,,,,,,,150,Wed,Jan,10786.1,10793.65,Down,02:29:00
1805.25,2019-02-11,11:11:00,1805.25,Sell,LTIM,,1757.75,,,,,,,,,,1805.25,10:27:00,0.0,Stoploss Hit,Breakeven,1800.5,1795.75,1791.0,1786.25,1781.5,1776.75,1772.0,1767.25,1762.5,4.75,150,Mon,Feb,10879.7,10888.8,Down,00:44:00
1797.8,2019-02-12,10:29:00,1797.8,Sell,LTIM,,1712.0,,,,,,,,,,1790.0,10:29:00,-1170.0,Stoploss Hit,,1782.2,1774.4,1766.6,1758.8,1751.0,1743.2,1735.4,1727.6,1719.8,7.8,150,Tue,Feb,10870.55,10831.4,Up,00:00:00
1800.0,2019-02-13,10:21:00,1800.0,Sell,LTIM,,1690.0,,,,,,,,,,1790.0,09:51:00,-1500.0,Stoploss Hit,,1780.0,1770.0,1760.0,1750.0,1740.0,1730.0,1720.0,1710.0,1700.0,10.0,150,Wed,Feb,10870.55,10831.4,Up,00:30:00
1763.95,2019-02-18,09:56:00,1763.95,Sell,LTIM,,1635.25,,,,,,,,,,1752.25,09:50:00,-1755.0,Stoploss Hit,,1740.55,1728.85,1717.15,1705.45,1693.75,1682.05,1670.35,1658.65,1646.95,11.7,150,Mon,Feb,11068.75,11035.4,Up,00:06:00
