buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1510.0,2018-08-01,09:48:00,1512.95,Buy,LTTS,2.95,1539.5,1512.95,1515.9,1518.85,1521.8,1524.75,1527.7,1530.65,1533.6,1536.55,1512.95,09:55:00,590.0,Stoploss Hit,1to1 trail,,,,,,,,,,,200,Wed,Aug,11164.4,11143.1,Up,00:07:00
1428.75,2018-08-08,12:32:00,1426.2,Buy,LTTS,2.55,1454.25,1431.3,1433.85,1436.4,1438.95,1441.5,1444.05,1446.6,1449.15,1451.7,1426.2,12:32:00,-510.0,Stoploss Hit,,,,,,,,,,,,200,Wed,Aug,11493.25,11450.0,Up,00:00:00
1426.95,2018-08-09,11:14:00,1426.95,Sell,LTTS,,1394.5,,,,,,,,,,1424.0,11:07:00,-590.0,Stoploss Hit,,1421.05,1418.1,1415.15,1412.2,1409.25,1406.3,1403.35,1400.4,1397.45,2.95,200,Thu,Aug,10930.9,10930.45,Up,00:07:00
1504.4,2018-08-14,10:10:00,1504.4,Sell,LTTS,,1478.0,,,,,,,,,,1502.0,10:10:00,-480.0,Stoploss Hit,,1499.6,1497.2,1494.8,1492.4,1490.0,1487.6,1485.2,1482.8,1480.4,2.4,200,Tue,Aug,11381.7,11355.75,Up,00:00:00
1582.0,2018-08-17,13:38:00,1593.0,Buy,LTTS,11.0,1692.0,1593.0,1604.0,1615.0,1626.0,1637.0,1648.0,1659.0,1670.0,1681.0,1618.9,15:00:00,7380.0,Market Exit,1to1 trail,,,,,,,,,,,200,Fri,Aug,11437.15,11385.05,Up,01:22:00
1618.4,2018-08-28,10:11:00,1642.2,Buy,LTTS,3.4,1652.4,1621.8,1625.2,1628.6,1632.0,1635.4,1638.8,1642.2,1645.6,1649.0,1642.2,09:46:00,4760.0,Stoploss Hit,1to7 trail,,,,,,,,,,,200,Tue,Aug,11476.85,11438.1,Up,1899-12-29 23:35:00
1664.9,2018-09-17,11:06:00,1664.9,Buy,LTTS,7.9,1743.9,1672.8,1680.7,1688.6,1696.5,1704.4,1712.3,1720.2,1728.1,1736.0,1664.9,14:34:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Mon,Sep,11464.95,11515.2,Down,03:28:00
1665.0,2018-09-24,12:08:00,1649.8,Buy,LTTS,15.2,1817.0,1680.2,1695.4,1710.6,1725.8,1741.0,1756.2,1771.4,1786.6,1801.8,1649.8,12:12:00,-3040.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Sep,11381.55,11377.75,Up,00:04:00
1754.95,2018-09-26,10:53:00,1754.95,Buy,LTTS,7.75,1832.45,1762.7,1770.45,1778.2,1785.95,1793.7,1801.45,1809.2,1816.95,1824.7,1754.95,10:57:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Wed,Sep,11164.4,11143.1,Up,00:04:00
1743.45,2018-09-28,10:20:00,1727.75,Buy,LTTS,15.7,1900.45,1759.15,1774.85,1790.55,1806.25,1821.95,1837.65,1853.35,1869.05,1884.75,1727.75,10:20:00,-3140.0,Stoploss Hit,,,,,,,,,,,,200,Fri,Sep,10740.1,10763.4,Down,00:00:00
1621.1,2018-10-04,09:47:00,1621.1,Sell,LTTS,,1499.25,,,,,,,,,,1691.25,10:02:00,14030.0,Stoploss Hit,Breakeven,1672.05,1652.85,1633.65,1614.45,1595.25,1576.05,1556.85,1537.65,1518.45,19.2,200,Thu,Oct,10688.7,10584.75,Up,1899-12-29 23:45:00
1504.75,2018-10-23,10:41:00,1492.7,Buy,LTTS,12.05,1625.25,1516.8,1528.85,1540.9,1552.95,1565.0,1577.05,1589.1,1601.15,1613.2,1492.7,11:04:00,-2410.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Oct,10078.1,10030.0,Up,00:23:00
1480.0,2018-10-25,11:57:00,1480.0,Buy,LTTS,4.2,1522.0,1484.2,1488.4,1492.6,1496.8,1501.0,1505.2,1509.4,1513.6,1517.8,1480.0,12:18:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Thu,Oct,10135.05,10224.75,Down,00:21:00
1759.8,2018-11-01,10:46:00,1750.0,Buy,LTTS,9.8,1857.8,1769.6,1779.4,1789.2,1799.0,1808.8,1818.6,1828.4,1838.2,1848.0,1750.0,10:48:00,-1960.0,Stoploss Hit,,,,,,,,,,,,200,Thu,Nov,10552.0,10524.0,Up,00:02:00
1672.4,2018-11-12,10:31:00,1672.4,Sell,LTTS,,1635.0,,,,,,,,,,1669.0,10:29:00,-680.0,Stoploss Hit,,1665.6,1662.2,1658.8,1655.4,1652.0,1648.6,1645.2,1641.8,1638.4,3.4,200,Mon,Nov,10614.7,10598.4,Up,00:02:00
1570.7,2018-11-15,11:15:00,1570.7,Sell,LTTS,,1508.0,,,,,,,,,,1565.0,10:29:00,-1140.0,Stoploss Hit,,1559.3,1553.6,1547.9,1542.2,1536.5,1530.8,1525.1,1519.4,1513.7,5.7,200,Thu,Nov,10644.0,10616.7,Up,00:46:00
1510.3,2018-11-16,13:21:00,1510.3,Sell,LTTS,,1428.3,,,,,,,,,,1510.3,12:55:00,0.0,Stoploss Hit,Breakeven,1502.1,1493.9,1485.7,1477.5,1469.3,1461.1,1452.9,1444.7,1436.5,8.2,200,Fri,Nov,10580.6,10576.3,Up,00:26:00
1540.0,2018-11-26,11:21:00,1533.65,Buy,LTTS,6.35,1603.5,1546.35,1552.7,1559.05,1565.4,1571.75,1578.1,1584.45,1590.8,1597.15,1533.65,11:23:00,-1270.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Nov,10808.7,10728.85,Up,00:02:00
1518.75,2018-11-27,11:36:00,1518.75,Sell,LTTS,,1455.5,,,,,,,,,,1513.0,11:27:00,-1150.0,Stoploss Hit,,1507.25,1501.5,1495.75,1490.0,1484.25,1478.5,1472.75,1467.0,1461.25,5.75,200,Tue,Nov,10877.1,10883.75,Down,00:09:00
1550.4,2018-12-04,10:45:00,1550.4,Sell,LTTS,,1438.2,,,,,,,,,,1540.2,10:44:00,-2040.0,Stoploss Hit,,1530.0,1519.8,1509.6,1499.4,1489.2,1479.0,1468.8,1458.6,1448.4,10.2,200,Tue,Dec,10784.5,10791.55,Down,00:01:00
1563.85,2018-12-11,09:54:00,1557.85,Buy,LTTS,6.0,1623.85,1569.85,1575.85,1581.85,1587.85,1593.85,1599.85,1605.85,1611.85,1617.85,1557.85,10:11:00,-1200.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Dec,10930.55,10908.7,Up,00:17:00
1559.0,2018-12-12,10:04:00,1559.0,Sell,LTTS,,1509.5,,,,,,,,,,1554.5,09:59:00,-900.0,Stoploss Hit,,1550.0,1545.5,1541.0,1536.5,1532.0,1527.5,1523.0,1518.5,1514.0,4.5,200,Wed,Dec,10885.2,10967.3,Down,00:05:00
1585.75,2018-12-13,10:29:00,1585.75,Buy,LTTS,10.5,1690.75,1596.25,1606.75,1617.25,1627.75,1638.25,1648.75,1659.25,1669.75,1680.25,1598.7,15:00:00,2590.0,Market Exit,Breakeven,,,,,,,,,,,200,Thu,Dec,10784.5,10791.55,Down,04:31:00
1611.0,2018-12-19,14:19:00,1611.0,Sell,LTTS,,1558.5,,,,,,,,,,1611.0,11:18:00,0.0,Stoploss Hit,Breakeven,1605.75,1600.5,1595.25,1590.0,1584.75,1579.5,1574.25,1569.0,1563.75,5.25,200,Wed,Dec,10881.7,10862.55,Up,03:01:00
1636.2,2018-12-21,10:46:00,1636.2,Sell,LTTS,,1592.1,,,,,,,,,,1641.1,09:46:00,980.0,Stoploss Hit,1to1 Trail,1636.2,1631.3,1626.4,1621.5,1616.6,1611.7,1606.8,1601.9,1597.0,4.9,200,Fri,Dec,10944.25,10951.7,Down,01:00:00
1689.5,2018-12-27,10:07:00,1689.5,Sell,LTTS,,1667.0,,,,,,,,,,1692.0,10:05:00,500.0,Stoploss Hit,1to1 Trail,1689.5,1687.0,1684.5,1682.0,1679.5,1677.0,1674.5,1672.0,1669.5,2.5,200,Thu,Dec,10807.0,10794.95,Up,00:02:00
1671.8,2018-12-28,10:03:00,1671.8,Sell,LTTS,,1581.6,,,,,,,,,,1663.6,10:02:00,-1640.0,Stoploss Hit,,1655.4,1647.2,1639.0,1630.8,1622.6,1614.4,1606.2,1598.0,1589.8,8.2,200,Fri,Dec,10786.25,10771.8,Up,00:01:00
1716.9,2019-01-01,10:46:00,1710.0,Buy,LTTS,6.9,1785.9,1723.8,1730.7,1737.6,1744.5,1751.4,1758.3,1765.2,1772.1,1779.0,1710.0,11:42:00,-1380.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Jan,10813.25,10791.65,Up,00:56:00
1719.9,2019-01-02,10:07:00,1719.9,Buy,LTTS,3.8,1757.9,1723.7,1727.5,1731.3,1735.1,1738.9,1742.7,1746.5,1750.3,1754.1,1719.9,12:42:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Wed,Jan,10807.0,10794.95,Up,02:35:00
1669.8,2019-01-03,13:48:00,1669.8,Sell,LTTS,,1663.8,,,,,,,,,,1683.8,10:33:00,2800.0,Stoploss Hit,1to7 Trail,1681.8,1679.8,1677.8,1675.8,1673.8,1671.8,1669.8,1667.8,1665.8,2.0,200,Thu,Jan,10931.05,10922.75,Up,03:15:00
1589.3,2019-02-07,10:01:00,1589.3,Sell,LTTS,,1487.0,,,,,,,,,,1580.0,09:46:00,-1860.0,Stoploss Hit,,1570.7,1561.4,1552.1,1542.8,1533.5,1524.2,1514.9,1505.6,1496.3,9.3,200,Thu,Feb,10636.7,10640.95,Down,00:15:00
1525.45,2019-02-11,10:50:00,1525.45,Sell,LTTS,,1494.25,,,,,,,,,,1546.25,09:47:00,4160.0,Stoploss Hit,1to4 Trail,1541.05,1535.85,1530.65,1525.45,1520.25,1515.05,1509.85,1504.65,1499.45,5.2,200,Mon,Feb,10636.7,10640.95,Down,01:03:00
1550.0,2019-02-12,09:48:00,1550.0,Buy,LTTS,4.3,1593.0,1554.3,1558.6,1562.9,1567.2,1571.5,1575.8,1580.1,1584.4,1588.7,1550.0,10:27:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Tue,Feb,10872.8,10817.6,Up,00:39:00
1427.65,2019-02-20,09:46:00,1427.65,Buy,LTTS,6.3,1490.65,1433.95,1440.25,1446.55,1452.85,1459.15,1465.45,1471.75,1478.05,1484.35,1427.65,09:50:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Wed,Feb,10655.45,10604.35,Up,00:04:00
