buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
871.1,2018-08-03,09:47:00,878.5,Buy,LUPIN,3.7,908.1,874.8,878.5,882.2,885.9,889.6,893.3,897.0,900.7,904.4,886.95,15:00:00,13472.5,Market Exit,1to2 trail,,,,,,,,,,,850,Fri,Aug,11297.8,11244.7,Up,05:13:00
815.4,2018-08-10,09:46:00,815.4,Sell,LUPIN,,780.75,,,,,,,,,,812.25,11:00:00,-2677.5,Stoploss Hit,,809.1,805.95,802.8,799.65,796.5,793.35,790.2,787.05,783.9,3.15,850,Fri,Aug,11381.7,11355.75,Up,1899-12-29 22:46:00
814.6,2018-08-14,12:30:00,814.6,Sell,LUPIN,,769.5,,,,,,,,,,810.5,09:54:00,-3485.0,Stoploss Hit,,806.4,802.3,798.2,794.1,790.0,785.9,781.8,777.7,773.6,4.1,850,Tue,Aug,11369.6,11429.5,Down,02:36:00
912.7,2018-08-27,11:03:00,912.7,Sell,LUPIN,,885.75,,,,,,,,,,910.25,09:46:00,-2082.5,Stoploss Hit,,907.8,905.35,902.9,900.45,898.0,895.55,893.1,890.65,888.2,2.45,850,Mon,Aug,11694.75,11691.9,Up,01:17:00
885.0,2018-08-30,10:15:00,885.0,Sell,LUPIN,,855.85,,,,,,,,,,882.35,09:56:00,-2252.5,Stoploss Hit,,879.7,877.05,874.4,871.75,869.1,866.45,863.8,861.15,858.5,2.65,850,Thu,Aug,11694.75,11691.9,Up,00:19:00
915.8,2018-09-05,09:50:00,915.8,Sell,LUPIN,,891.05,,,,,,,,,,913.55,09:50:00,-1912.5,Stoploss Hit,,911.3,909.05,906.8,904.55,902.3,900.05,897.8,895.55,893.3,2.25,850,Wed,Sep,11514.85,11520.3,Down,00:00:00
920.0,2018-09-07,10:00:00,945.4,Buy,LUPIN,6.35,983.5,926.35,932.7,939.05,945.4,951.75,958.1,964.45,970.8,977.15,960.1,15:00:00,34085.0,Market Exit,1to4 trail,,,,,,,,,,,850,Fri,Sep,11558.25,11536.9,Up,05:00:00
946.5,2018-09-11,10:47:00,946.5,Sell,LUPIN,,910.75,,,,,,,,,,943.25,10:26:00,-2762.5,Stoploss Hit,,940.0,936.75,933.5,930.25,927.0,923.75,920.5,917.25,914.0,3.25,850,Tue,Sep,11476.85,11438.1,Up,00:21:00
942.95,2018-09-12,10:29:00,947.2,Buy,LUPIN,4.25,985.45,947.2,951.45,955.7,959.95,964.2,968.45,972.7,976.95,981.2,955.65,15:00:00,10795.0,Market Exit,1to1 trail,,,,,,,,,,,850,Wed,Sep,11340.1,11287.5,Up,04:31:00
934.05,2018-09-18,09:46:00,934.05,Sell,LUPIN,,926.7,,,,,,,,,,951.2,10:57:00,14577.5,Stoploss Hit,1to7 Trail,948.75,946.3,943.85,941.4,938.95,936.5,934.05,931.6,929.15,2.45,850,Tue,Sep,9863.25,9881.15,Down,1899-12-29 22:49:00
924.95,2020-06-11,10:26:00,924.95,Buy,LUPIN,2.6,950.95,927.55,930.15,932.75,935.35,937.95,940.55,943.15,945.75,948.35,924.95,11:04:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Thu,Jun,9919.35,9972.9,Down,00:38:00
936.7,2020-06-16,12:42:00,936.7,Sell,LUPIN,,907.55,,,,,,,,,,934.05,12:16:00,-2252.5,Stoploss Hit,,931.4,928.75,926.1,923.45,920.8,918.15,915.5,912.85,910.2,2.65,850,Tue,Jun,10378.9,10288.9,Up,00:26:00
928.0,2020-06-17,11:54:00,928.0,Sell,LUPIN,,908.0,,,,,,,,,,928.0,10:25:00,0.0,Stoploss Hit,Breakeven,926.0,924.0,922.0,920.0,918.0,916.0,914.0,912.0,910.0,2.0,850,Wed,Jun,10181.15,10167.45,Up,01:29:00
927.8,2020-06-24,09:46:00,927.8,Sell,LUPIN,,905.75,,,,,,,,,,937.25,10:42:00,8032.5,Stoploss Hit,1to3 Trail,934.1,930.95,927.8,924.65,921.5,918.35,915.2,912.05,908.9,3.15,850,Wed,Jun,10323.8,10302.1,Up,1899-12-29 23:04:00
941.45,2020-06-26,10:07:00,939.6,Buy,LUPIN,1.85,959.95,943.3,945.15,947.0,948.85,950.7,952.55,954.4,956.25,958.1,939.6,10:15:00,-1572.5,Stoploss Hit,,,,,,,,,,,,850,Fri,Jun,10750.85,10802.7,Down,00:08:00
909.9,2020-07-02,13:32:00,906.45,Buy,LUPIN,3.45,944.4,913.35,916.8,920.25,923.7,927.15,930.6,934.05,937.5,940.95,906.45,14:06:00,-2932.5,Stoploss Hit,,,,,,,,,,,,850,Thu,Jul,10318.75,10244.4,Up,00:34:00
868.85,2020-07-13,11:32:00,868.85,Buy,LUPIN,2.55,894.35,871.4,873.95,876.5,879.05,881.6,884.15,886.7,889.25,891.8,868.85,12:22:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Mon,Jul,10851.85,10768.05,Up,00:50:00
877.0,2020-07-14,09:47:00,873.1,Buy,LUPIN,3.9,916.0,880.9,884.8,888.7,892.6,896.5,900.4,904.3,908.2,912.1,873.1,11:07:00,-3315.0,Stoploss Hit,,,,,,,,,,,,850,Tue,Jul,10701.0,10607.35,Up,01:20:00
858.3,2020-07-15,10:40:00,858.3,Sell,LUPIN,,857.5,,,,,,,,,,869.5,13:04:00,9520.0,Stoploss Hit,Breakeven,868.3,867.1,865.9,864.7,863.5,862.3,861.1,859.9,858.7,1.2,850,Wed,Jul,10764.1,10813.45,Down,1899-12-29 21:36:00
850.8,2020-07-29,09:47:00,848.0,Buy,LUPIN,2.8,878.8,853.6,856.4,859.2,862.0,864.8,867.6,870.4,873.2,876.0,848.0,09:54:00,-2380.0,Stoploss Hit,,,,,,,,,,,,850,Wed,Jul,11276.9,11300.55,Down,00:07:00
931.05,2020-08-03,10:31:00,931.05,Buy,LUPIN,5.0,981.05,936.05,941.05,946.05,951.05,956.05,961.05,966.05,971.05,976.05,931.05,13:17:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Mon,Aug,11231.2,11162.25,Up,02:46:00
880.3,2020-08-07,11:21:00,880.3,Sell,LUPIN,,852.8,,,,,,,,,,877.8,11:21:00,-2125.0,Stoploss Hit,,875.3,872.8,870.3,867.8,865.3,862.8,860.3,857.8,855.3,2.5,850,Fri,Aug,11289.0,11322.5,Down,00:00:00
902.0,2020-08-10,09:54:00,926.5,Buy,LUPIN,3.5,937.0,905.5,909.0,912.5,916.0,919.5,923.0,926.5,930.0,933.5,926.5,09:46:00,20825.0,Stoploss Hit,1to7 trail,,,,,,,,,,,850,Mon,Aug,11777.55,11647.6,Up,1899-12-29 23:52:00
991.05,2020-08-18,09:46:00,991.05,Sell,LUPIN,,952.05,,,,,,,,,,991.05,11:46:00,0.0,Stoploss Hit,Breakeven,987.15,983.25,979.35,975.45,971.55,967.65,963.75,959.85,955.95,3.9,850,Tue,Aug,11259.8,11247.1,Up,1899-12-29 22:00:00
998.7,2020-08-21,09:52:00,994.3,Buy,LUPIN,4.4,1042.7,1003.1,1007.5,1011.9,1016.3,1020.7,1025.1,1029.5,1033.9,1038.3,994.3,10:13:00,-3740.0,Stoploss Hit,,,,,,,,,,,,850,Fri,Aug,11409.65,11312.2,Up,00:21:00
983.4,2020-08-25,10:27:00,983.4,Sell,LUPIN,,944.4,,,,,,,,,,983.4,09:47:00,0.0,Stoploss Hit,Breakeven,979.5,975.6,971.7,967.8,963.9,960.0,956.1,952.2,948.3,3.9,850,Tue,Aug,11354.4,11527.45,Down,00:40:00
972.15,2020-08-26,10:20:00,972.15,Sell,LUPIN,,949.65,,,,,,,,,,972.15,09:46:00,0.0,Stoploss Hit,Breakeven,969.9,967.65,965.4,963.15,960.9,958.65,956.4,954.15,951.9,2.25,850,Wed,Aug,11317.45,11408.4,Down,00:34:00
983.45,2020-08-31,09:59:00,983.45,Buy,LUPIN,2.75,1010.95,986.2,988.95,991.7,994.45,997.2,999.95,1002.7,1005.45,1008.2,983.45,10:09:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Mon,Aug,11452.15,11385.35,Up,00:10:00
954.25,2020-09-02,09:49:00,948.3,Buy,LUPIN,5.95,1013.75,960.2,966.15,972.1,978.05,984.0,989.95,995.9,1001.85,1007.8,948.3,10:32:00,-5057.5,Stoploss Hit,,,,,,,,,,,,850,Wed,Sep,11777.55,11647.6,Up,00:43:00
931.0,2020-09-08,09:46:00,931.0,Sell,LUPIN,,889.75,,,,,,,,,,927.25,09:46:00,-3187.5,Stoploss Hit,,923.5,919.75,916.0,912.25,908.5,904.75,901.0,897.25,893.5,3.75,850,Tue,Sep,11378.55,11355.05,Up,00:00:00
926.95,2020-09-09,11:46:00,924.05,Buy,LUPIN,2.9,955.95,929.85,932.75,935.65,938.55,941.45,944.35,947.25,950.15,953.05,924.05,12:09:00,-2465.0,Stoploss Hit,,,,,,,,,,,,850,Wed,Sep,11539.4,11604.55,Down,00:23:00
1107.25,2020-09-18,10:17:00,1100.0,Buy,LUPIN,7.25,1179.75,1114.5,1121.75,1129.0,1136.25,1143.5,1150.75,1158.0,1165.25,1172.5,1100.0,10:41:00,-6162.5,Stoploss Hit,,,,,,,,,,,,850,Fri,Sep,11538.45,11521.8,Up,00:24:00
1003.4,2020-09-29,12:21:00,1003.4,Sell,LUPIN,,953.9,,,,,,,,,,998.9,10:16:00,-3825.0,Stoploss Hit,,994.4,989.9,985.4,980.9,976.4,971.9,967.4,962.9,958.4,4.5,850,Tue,Sep,11679.25,11662.4,Up,02:05:00
1031.95,2020-10-05,11:20:00,1028.8,Buy,LUPIN,3.15,1063.45,1035.1,1038.25,1041.4,1044.55,1047.7,1050.85,1054.0,1057.15,1060.3,1028.8,11:28:00,-2677.5,Stoploss Hit,,,,,,,,,,,,850,Mon,Oct,11917.4,11934.5,Down,00:08:00
1039.5,2020-10-06,11:08:00,1039.5,Sell,LUPIN,,1017.5,,,,,,,,,,1037.5,11:01:00,-1700.0,Stoploss Hit,,1035.5,1033.5,1031.5,1029.5,1027.5,1025.5,1023.5,1021.5,1019.5,2.0,850,Tue,Oct,11852.05,11834.6,Up,00:07:00
1025.0,2020-10-07,12:44:00,1025.0,Sell,LUPIN,,1000.0,,,,,,,,,,1025.0,11:14:00,0.0,Stoploss Hit,Breakeven,1022.5,1020.0,1017.5,1015.0,1012.5,1010.0,1007.5,1005.0,1002.5,2.5,850,Wed,Oct,12156.65,12120.3,Up,01:30:00
1006.9,2020-10-23,09:48:00,1001.75,Buy,LUPIN,5.15,1058.4,1012.05,1017.2,1022.35,1027.5,1032.65,1037.8,1042.95,1048.1,1053.25,1001.75,10:02:00,-4377.5,Stoploss Hit,,,,,,,,,,,,850,Fri,Oct,12023.45,11971.05,Up,00:14:00
940.5,2020-10-29,09:51:00,936.6,Buy,LUPIN,3.9,979.5,944.4,948.3,952.2,956.1,960.0,963.9,967.8,971.7,975.6,936.6,10:40:00,-3315.0,Stoploss Hit,,,,,,,,,,,,850,Thu,Oct,11633.3,11729.6,Down,00:49:00
952.0,2020-11-04,09:46:00,948.9,Buy,LUPIN,3.1,983.0,955.1,958.2,961.3,964.4,967.5,970.6,973.7,976.8,979.9,948.9,09:50:00,-2635.0,Stoploss Hit,,,,,,,,,,,,850,Wed,Nov,11678.45,11670.8,Up,00:04:00
891.75,2020-11-10,10:43:00,891.75,Sell,LUPIN,,886.5,,,,,,,,,,904.0,10:34:00,10412.5,Stoploss Hit,1to7 Trail,902.25,900.5,898.75,897.0,895.25,893.5,891.75,890.0,888.25,1.75,850,Tue,Nov,12556.4,12461.05,Up,00:09:00
937.5,2020-12-07,09:48:00,937.5,Sell,LUPIN,,893.5,,,,,,,,,,933.5,09:46:00,-3400.0,Stoploss Hit,,929.5,925.5,921.5,917.5,913.5,909.5,905.5,901.5,897.5,4.0,850,Mon,Dec,13264.85,13258.55,Up,00:02:00
965.65,2020-12-24,09:48:00,965.65,Sell,LUPIN,,936.5,,,,,,,,,,963.0,09:46:00,-2252.5,Stoploss Hit,,960.35,957.7,955.05,952.4,949.75,947.1,944.45,941.8,939.15,2.65,850,Thu,Dec,13672.15,13601.1,Up,00:02:00
979.7,2020-12-28,11:00:00,979.7,Sell,LUPIN,,961.7,,,,,,,,,,979.7,10:06:00,0.0,Stoploss Hit,Breakeven,977.9,976.1,974.3,972.5,970.7,968.9,967.1,965.3,963.5,1.8,850,Mon,Dec,14104.35,14018.5,Up,00:54:00
1070.25,2021-01-12,10:26:00,1070.25,Sell,LUPIN,,1052.65,,,,,,,,,,1068.65,10:15:00,-1360.0,Stoploss Hit,,1067.05,1065.45,1063.85,1062.25,1060.65,1059.05,1057.45,1055.85,1054.25,1.6,850,Tue,Jan,14474.05,14347.25,Up,00:11:00
1089.45,2021-01-15,09:49:00,1089.45,Sell,LUPIN,,1067.95,,,,,,,,,,1089.45,09:46:00,0.0,Stoploss Hit,Breakeven,1087.3,1085.15,1083.0,1080.85,1078.7,1076.55,1074.4,1072.25,1070.1,2.15,850,Fri,Jan,13758.6,13634.6,Up,00:03:00
683.2,2023-02-13,09:46:00,683.2,Sell,LUPIN,,653.8,,,,,,,,,,695.8,10:00:00,10710.0,Stoploss Hit,1to3 Trail,691.6,687.4,683.2,679.0,674.8,670.6,666.4,662.2,658.0,4.2,850,Mon,Feb,13758.6,13634.6,Up,1899-12-29 23:46:00
1077.1,2021-01-21,10:03:00,1077.1,Sell,LUPIN,,1060.05,,,,,,,,,,1075.55,09:51:00,-1317.5,Stoploss Hit,,1074.0,1072.45,1070.9,1069.35,1067.8,1066.25,1064.7,1063.15,1061.6,1.55,850,Thu,Jan,14952.6,14895.65,Up,00:12:00
1072.0,2021-01-28,10:53:00,1072.0,Buy,LUPIN,2.15,1093.5,1074.15,1076.3,1078.45,1080.6,1082.75,1084.9,1087.05,1089.2,1091.35,1072.0,11:14:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Thu,Jan,13758.6,13634.6,Up,00:21:00
1046.7,2021-02-05,10:28:00,1046.7,Sell,LUPIN,,1026.35,,,,,,,,,,1044.85,10:27:00,-1572.5,Stoploss Hit,,1043.0,1041.15,1039.3,1037.45,1035.6,1033.75,1031.9,1030.05,1028.2,1.85,850,Fri,Feb,15119.05,15109.3,Up,00:01:00
1064.95,2021-02-16,10:57:00,1064.95,Buy,LUPIN,2.5,1089.95,1067.45,1069.95,1072.45,1074.95,1077.45,1079.95,1082.45,1084.95,1087.45,1064.95,11:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Tue,Feb,14888.6,15097.35,Down,00:33:00
1055.0,2021-02-18,12:57:00,1055.0,Sell,LUPIN,,1026.5,,,,,,,,,,1055.0,11:36:00,0.0,Stoploss Hit,Breakeven,1052.15,1049.3,1046.45,1043.6,1040.75,1037.9,1035.05,1032.2,1029.35,2.85,850,Thu,Feb,13946.6,13817.55,Up,01:21:00
1031.25,2021-02-25,09:47:00,1029.1,Buy,LUPIN,2.15,1052.75,1033.4,1035.55,1037.7,1039.85,1042.0,1044.15,1046.3,1048.45,1050.6,1029.1,09:47:00,-1827.5,Stoploss Hit,,,,,,,,,,,,850,Thu,Feb,15049.9,14956.2,Up,00:00:00
1031.65,2021-03-01,10:50:00,1028.0,Buy,LUPIN,3.65,1068.15,1035.3,1038.95,1042.6,1046.25,1049.9,1053.55,1057.2,1060.85,1064.5,1028.0,11:31:00,-3102.5,Stoploss Hit,,,,,,,,,,,,850,Mon,Mar,15238.7,15208.9,Up,00:41:00
1056.35,2021-03-12,11:14:00,1056.35,Sell,LUPIN,,1019.5,,,,,,,,,,1053.0,10:04:00,-2847.5,Stoploss Hit,,1049.65,1046.3,1042.95,1039.6,1036.25,1032.9,1029.55,1026.2,1022.85,3.35,850,Fri,Mar,15321.15,15174.8,Up,01:10:00
1023.9,2021-04-01,11:00:00,1023.9,Sell,LUPIN,,1005.9,,,,,,,,,,1023.9,10:18:00,0.0,Stoploss Hit,Breakeven,1022.1,1020.3,1018.5,1016.7,1014.9,1013.1,1011.3,1009.5,1007.7,1.8,850,Thu,Apr,14875.65,14819.05,Up,00:42:00
1056.45,2021-04-16,11:41:00,1054.0,Buy,LUPIN,2.45,1080.95,1058.9,1061.35,1063.8,1066.25,1068.7,1071.15,1073.6,1076.05,1078.5,1054.0,11:51:00,-2082.5,Stoploss Hit,,,,,,,,,,,,850,Fri,Apr,14306.6,14617.85,Down,00:10:00
1093.85,2021-04-22,10:51:00,1093.85,Sell,LUPIN,,1062.5,,,,,,,,,,1091.0,10:46:00,-2422.5,Stoploss Hit,,1088.15,1085.3,1082.45,1079.6,1076.75,1073.9,1071.05,1068.2,1065.35,2.85,850,Thu,Apr,14882.65,14873.8,Up,00:05:00
1075.0,2021-04-26,10:20:00,1071.2,Buy,LUPIN,3.8,1113.0,1078.8,1082.6,1086.4,1090.2,1094.0,1097.8,1101.6,1105.4,1109.2,1071.2,10:36:00,-3230.0,Stoploss Hit,,,,,,,,,,,,850,Mon,Apr,14837.7,14867.35,Down,00:16:00
1187.0,2021-05-18,09:54:00,1187.0,Sell,LUPIN,,1179.5,,,,,,,,,,1187.0,09:52:00,0.0,Stoploss Hit,Breakeven,1186.25,1185.5,1184.75,1184.0,1183.25,1182.5,1181.75,1181.0,1180.25,0.75,850,Tue,May,15067.2,14923.15,Up,00:02:00
1197.25,2021-05-19,10:05:00,1197.25,Buy,LUPIN,3.05,1227.75,1200.3,1203.35,1206.4,1209.45,1212.5,1215.55,1218.6,1221.65,1224.7,1197.25,12:00:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,850,Wed,May,14816.85,14724.8,Up,01:55:00
1215.9,2021-05-21,09:47:00,1212.05,Buy,LUPIN,3.85,1254.4,1219.75,1223.6,1227.45,1231.3,1235.15,1239.0,1242.85,1246.7,1250.55,1212.05,10:00:00,-3272.5,Stoploss Hit,,,,,,,,,,,,850,Fri,May,15520.35,15574.85,Down,00:13:00
1213.65,2021-06-01,09:46:00,1213.65,Sell,LUPIN,,1186.65,,,,,,,,,,1213.65,09:54:00,0.0,Stoploss Hit,Breakeven,1210.95,1208.25,1205.55,1202.85,1200.15,1197.45,1194.75,1192.05,1189.35,2.7,850,Tue,Jun,15058.6,15108.1,Down,1899-12-29 23:52:00
1240.0,2021-06-03,09:46:00,1240.0,Sell,LUPIN,,1219.65,,,,,,,,,,1238.15,09:46:00,-1572.5,Stoploss Hit,,1236.3,1234.45,1232.6,1230.75,1228.9,1227.05,1225.2,1223.35,1221.5,1.85,850,Thu,Jun,15692.1,15635.35,Up,00:00:00
1236.65,2021-06-07,09:46:00,1234.45,Buy,LUPIN,2.2,1258.65,1238.85,1241.05,1243.25,1245.45,1247.65,1249.85,1252.05,1254.25,1256.45,1234.45,09:47:00,-1870.0,Stoploss Hit,,,,,,,,,,,,850,Mon,Jun,15712.5,15690.35,Up,00:01:00
1235.6,2021-06-11,09:54:00,1233.7,Buy,LUPIN,1.9,1254.6,1237.5,1239.4,1241.3,1243.2,1245.1,1247.0,1248.9,1250.8,1252.7,1233.7,09:55:00,-1615.0,Stoploss Hit,,,,,,,,,,,,850,Fri,Jun,15862.8,15772.75,Up,00:01:00
1162.85,2021-06-30,09:46:00,1158.8,Buy,LUPIN,4.05,1203.35,1166.9,1170.95,1175.0,1179.05,1183.1,1187.15,1191.2,1195.25,1199.3,1158.8,09:52:00,-3442.5,Stoploss Hit,,,,,,,,,,,,850,Wed,Jun,15915.35,15860.35,Up,00:06:00
