buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
923.4,2018-08-03,09:46:00,921.4,Buy,M&M,2.0,943.4,925.4,927.4,929.4,931.4,933.4,935.4,937.4,939.4,941.4,921.4,10:04:00,-1400.0,Stoploss Hit,,,,,,,,,,,,700,Fri,Aug,11359.8,11356.5,Up,00:18:00
931.75,2018-08-09,09:49:00,929.9,Buy,M&M,1.85,950.25,933.6,935.45,937.3,939.15,941.0,942.85,944.7,946.55,948.4,929.9,10:50:00,-1295.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Aug,11423.15,11387.1,Up,01:01:00
951.3,2018-08-14,10:01:00,951.3,Sell,M&M,,937.0,,,,,,,,,,950.0,09:50:00,-910.0,Stoploss Hit,,948.7,947.4,946.1,944.8,943.5,942.2,940.9,939.6,938.3,1.3,700,Tue,Aug,11474.95,11470.7,Up,00:11:00
958.9,2018-08-17,10:01:00,953.7,Buy,M&M,5.2,1010.9,964.1,969.3,974.5,979.7,984.9,990.1,995.3,1000.5,1005.7,961.3,15:00:00,1680.0,Market Exit,,,,,,,,,,,,700,Fri,Aug,11381.7,11355.75,Up,04:59:00
962.0,2018-08-21,09:46:00,962.0,Sell,M&M,,959.0,,,,,,,,,,969.0,10:41:00,4900.0,Stoploss Hit,1to7 Trail,968.0,967.0,966.0,965.0,964.0,963.0,962.0,961.0,960.0,1.0,700,Tue,Aug,11576.2,11551.75,Up,1899-12-29 23:05:00
967.35,2018-08-23,10:06:00,965.35,Buy,M&M,2.0,987.35,969.35,971.35,973.35,975.35,977.35,979.35,981.35,983.35,985.35,965.35,10:33:00,-1400.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Aug,11620.7,11570.9,Up,00:27:00
939.85,2018-09-03,09:46:00,939.85,Sell,M&M,,924.05,,,,,,,,,,963.55,11:11:00,16590.0,Stoploss Hit,1to6 Trail,959.6,955.65,951.7,947.75,943.8,939.85,935.9,931.95,928.0,3.95,700,Mon,Sep,11079.8,11053.8,Up,1899-12-29 22:35:00
952.65,2018-09-11,09:50:00,952.65,Buy,M&M,4.0,992.65,956.65,960.65,964.65,968.65,972.65,976.65,980.65,984.65,988.65,952.65,11:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Tue,Sep,11476.85,11438.1,Up,01:48:00
906.55,2018-09-26,09:50:00,906.55,Buy,M&M,3.85,945.05,910.4,914.25,918.1,921.95,925.8,929.65,933.5,937.35,941.2,906.55,10:34:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Wed,Sep,11145.55,11067.45,Up,00:44:00
807.6,2018-10-03,09:46:00,807.6,Sell,M&M,,798.0,,,,,,,,,,830.0,09:56:00,15680.0,Stoploss Hit,1to7 Trail,826.8,823.6,820.4,817.2,814.0,810.8,807.6,804.4,801.2,3.2,700,Wed,Oct,10614.7,10598.4,Up,1899-12-29 23:50:00
