buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
485.3,2018-08-08,09:55:00,485.3,Sell,M&MFIN,,473.75,,,,,,,,,,484.25,09:51:00,-4200.0,Stoploss Hit,,483.2,482.15,481.1,480.05,479.0,477.95,476.9,475.85,474.8,1.05,4000,Wed,Aug,11412.5,11389.45,Up,00:04:00
479.55,2018-08-28,10:27:00,479.0,Buy,M&MFIN,0.55,485.05,480.1,480.65,481.2,481.75,482.3,482.85,483.4,483.95,484.5,479.0,10:27:00,-2200.0,Stoploss Hit,,,,,,,,,,,,4000,Tue,Aug,11605.85,11557.1,Up,00:00:00
484.4,2018-08-31,12:01:00,484.4,Sell,M&MFIN,,466.4,,,,,,,,,,484.4,10:18:00,0.0,Stoploss Hit,Breakeven,482.6,480.8,479.0,477.2,475.4,473.6,471.8,470.0,468.2,1.8,4000,Fri,Aug,11675.85,11676.8,Down,01:43:00
466.25,2018-09-04,09:46:00,466.25,Sell,M&MFIN,,456.65,,,,,,,,,,480.65,09:46:00,57600.0,Stoploss Hit,1to6 Trail,478.25,475.85,473.45,471.05,468.65,466.25,463.85,461.45,459.05,2.4,4000,Tue,Sep,10817.9,10729.85,Up,00:00:00
475.2,2018-12-19,10:51:00,473.0,Buy,M&MFIN,2.2,497.2,477.4,479.6,481.8,484.0,486.2,488.4,490.6,492.8,495.0,473.0,11:48:00,-8800.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,Dec,11598.75,11582.35,Up,00:57:00
464.75,2018-12-21,09:46:00,464.75,Sell,M&MFIN,,453.35,,,,,,,,,,472.35,10:11:00,30400.0,Stoploss Hit,1to4 Trail,470.45,468.55,466.65,464.75,462.85,460.95,459.05,457.15,455.25,1.9,4000,Fri,Dec,10868.85,10910.1,Down,1899-12-29 23:35:00
469.9,2018-12-24,10:46:00,469.9,Buy,M&MFIN,2.25,492.4,472.15,474.4,476.65,478.9,481.15,483.4,485.65,487.9,490.15,471.8,15:00:00,7600.0,Market Exit,Breakeven,,,,,,,,,,,4000,Mon,Dec,10868.85,10910.1,Down,04:14:00
473.0,2019-01-02,09:54:00,472.3,Buy,M&MFIN,0.7,480.0,473.7,474.4,475.1,475.8,476.5,477.2,477.9,478.6,479.3,472.3,09:55:00,-2800.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,Jan,10868.85,10910.1,Down,00:01:00
465.0,2019-01-09,10:51:00,462.7,Buy,M&MFIN,2.3,488.0,467.3,469.6,471.9,474.2,476.5,478.8,481.1,483.4,485.7,462.7,11:06:00,-9200.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,Jan,10862.4,10802.15,Up,00:15:00
460.0,2019-01-10,09:58:00,458.05,Buy,M&MFIN,1.95,479.5,461.95,463.9,465.85,467.8,469.75,471.7,473.65,475.6,477.55,458.05,09:58:00,-7800.0,Stoploss Hit,,,,,,,,,,,,4000,Thu,Jan,10899.65,10886.8,Up,00:00:00
446.1,2019-01-16,09:58:00,446.1,Buy,M&MFIN,1.05,456.6,447.15,448.2,449.25,450.3,451.35,452.4,453.45,454.5,455.55,446.1,10:28:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4000,Wed,Jan,10702.25,10652.2,Up,00:30:00
450.5,2019-01-18,09:48:00,449.6,Buy,M&MFIN,0.9,459.5,451.4,452.3,453.2,454.1,455.0,455.9,456.8,457.7,458.6,449.6,09:54:00,-3600.0,Stoploss Hit,,,,,,,,,,,,4000,Fri,Jan,10876.75,10893.65,Down,00:06:00
432.6,2019-01-24,10:45:00,432.6,Sell,M&MFIN,,400.15,,,,,,,,,,429.65,10:19:00,-11800.0,Stoploss Hit,,426.7,423.75,420.8,417.85,414.9,411.95,409.0,406.05,403.1,2.95,4000,Thu,Jan,11070.45,11062.45,Up,00:26:00
384.0,2019-02-13,09:46:00,384.0,Sell,M&MFIN,,375.75,,,,,,,,,,383.25,09:46:00,-3000.0,Stoploss Hit,,382.5,381.75,381.0,380.25,379.5,378.75,378.0,377.25,376.5,0.75,4000,Wed,Feb,10636.7,10640.95,Down,00:00:00
259.7,2023-02-13,11:33:00,259.7,Sell,M&MFIN,,255.3,,,,,,,,,,259.3,11:32:00,-1600.0,Stoploss Hit,,258.9,258.5,258.1,257.7,257.3,256.9,256.5,256.1,255.7,0.4,4000,Mon,Feb,11382.5,11341.7,Up,00:01:00
374.25,2019-02-18,10:23:00,374.25,Sell,M&MFIN,,366.0,,,,,,,,,,373.5,09:56:00,-3000.0,Stoploss Hit,,372.75,372.0,371.25,370.5,369.75,369.0,368.25,367.5,366.75,0.75,4000,Mon,Feb,10782.7,10789.85,Down,00:27:00
375.8,2019-02-19,10:17:00,375.8,Buy,M&MFIN,2.1,396.8,377.9,380.0,382.1,384.2,386.3,388.4,390.5,392.6,394.7,375.8,14:24:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4000,Tue,Feb,10636.7,10640.95,Down,04:07:00
381.75,2019-02-21,10:37:00,381.75,Sell,M&MFIN,,366.35,,,,,,,,,,380.35,10:19:00,-5600.0,Stoploss Hit,,378.95,377.55,376.15,374.75,373.35,371.95,370.55,369.15,367.75,1.4,4000,Thu,Feb,11068.75,11035.4,Up,00:18:00
398.4,2019-02-25,11:28:00,398.4,Sell,M&MFIN,,381.9,,,,,,,,,,396.9,11:18:00,-6000.0,Stoploss Hit,,395.4,393.9,392.4,390.9,389.4,387.9,386.4,384.9,383.4,1.5,4000,Mon,Feb,11473.85,11426.85,Up,00:10:00
396.5,2019-02-27,09:47:00,396.5,Buy,M&MFIN,0.5,401.5,397.0,397.5,398.0,398.5,399.0,399.5,400.0,400.5,401.0,396.5,09:50:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4000,Wed,Feb,11024.85,10987.45,Up,00:03:00
430.5,2019-04-01,10:39:00,428.7,Buy,M&MFIN,1.8,448.5,432.3,434.1,435.9,437.7,439.5,441.3,443.1,444.9,446.7,428.7,10:45:00,-7200.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,Apr,11667.0,11643.45,Up,00:06:00
417.5,2019-04-02,14:54:00,417.5,Sell,M&MFIN,,404.5,,,,,,,,,,417.5,13:25:00,0.0,Stoploss Hit,Breakeven,416.2,414.9,413.6,412.3,411.0,409.7,408.4,407.1,405.8,1.3,4000,Tue,Apr,11748.75,11754.65,Down,01:29:00
421.3,2019-04-03,09:46:00,421.3,Buy,M&MFIN,1.25,433.8,422.55,423.8,425.05,426.3,427.55,428.8,430.05,431.3,432.55,421.3,14:17:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4000,Wed,Apr,11725.55,11748.15,Down,04:31:00
418.95,2019-04-05,09:57:00,417.5,Buy,M&MFIN,1.45,433.45,420.4,421.85,423.3,424.75,426.2,427.65,429.1,430.55,432.0,417.5,10:06:00,-5800.0,Stoploss Hit,,,,,,,,,,,,4000,Fri,Apr,11725.55,11748.15,Down,00:09:00
414.4,2019-04-11,10:53:00,417.1,Buy,M&MFIN,0.9,423.4,415.3,416.2,417.1,418.0,418.9,419.8,420.7,421.6,422.5,417.1,10:55:00,10800.0,Stoploss Hit,1to3 trail,,,,,,,,,,,4000,Thu,Apr,11601.5,11575.95,Up,00:02:00
416.75,2019-04-12,10:17:00,416.75,Sell,M&MFIN,,399.7,,,,,,,,,,415.2,10:00:00,-6200.0,Stoploss Hit,,413.65,412.1,410.55,409.0,407.45,405.9,404.35,402.8,401.25,1.55,4000,Fri,Apr,11612.85,11596.7,Up,00:17:00
420.0,2019-04-16,11:24:00,420.0,Sell,M&MFIN,,402.05,,,,,,,,,,420.55,14:28:00,2200.0,Stoploss Hit,Breakeven,418.7,416.85,415.0,413.15,411.3,409.45,407.6,405.75,403.9,1.85,4000,Tue,Apr,11151.65,11148.2,Up,1899-12-29 20:56:00
417.6,2019-04-22,11:15:00,416.8,Buy,M&MFIN,0.8,425.6,418.4,419.2,420.0,420.8,421.6,422.4,423.2,424.0,424.8,416.8,11:18:00,-3200.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,Apr,11151.65,11148.2,Up,00:03:00
431.7,2019-04-24,11:31:00,429.25,Buy,M&MFIN,2.45,456.2,434.15,436.6,439.05,441.5,443.95,446.4,448.85,451.3,453.75,429.25,11:56:00,-9800.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,Apr,11601.5,11575.95,Up,00:25:00
402.75,2019-05-03,09:56:00,401.75,Buy,M&MFIN,1.0,412.75,403.75,404.75,405.75,406.75,407.75,408.75,409.75,410.75,411.75,401.75,09:59:00,-4000.0,Stoploss Hit,,,,,,,,,,,,4000,Fri,May,11271.7,11222.05,Up,00:03:00
397.95,2019-05-06,09:56:00,396.95,Buy,M&MFIN,1.0,407.95,398.95,399.95,400.95,401.95,402.95,403.95,404.95,405.95,406.95,396.95,10:07:00,-4000.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,May,11258.7,11278.9,Down,00:11:00
382.9,2019-05-08,10:35:00,382.9,Sell,M&MFIN,,368.6,,,,,,,,,,381.6,10:18:00,-5200.0,Stoploss Hit,,380.3,379.0,377.7,376.4,375.1,373.8,372.5,371.2,369.9,1.3,4000,Wed,May,11863.65,11828.25,Up,00:17:00
375.55,2019-05-15,10:08:00,374.5,Buy,M&MFIN,1.05,386.05,376.6,377.65,378.7,379.75,380.8,381.85,382.9,383.95,385.0,374.5,10:39:00,-4200.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,May,11999.8,11945.9,Up,00:31:00
407.8,2019-05-20,09:49:00,405.0,Buy,M&MFIN,2.8,435.8,410.6,413.4,416.2,419.0,421.8,424.6,427.4,430.2,433.0,405.0,10:45:00,-11200.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,May,11844.0,11823.3,Up,00:56:00
409.45,2019-05-28,10:20:00,409.45,Sell,M&MFIN,,394.6,,,,,,,,,,408.1,10:15:00,-5400.0,Stoploss Hit,,406.75,405.4,404.05,402.7,401.35,400.0,398.65,397.3,395.95,1.35,4000,Tue,May,11677.05,11672.15,Up,00:05:00
420.65,2019-06-11,09:53:00,420.65,Buy,M&MFIN,1.05,431.15,421.7,422.75,423.8,424.85,425.9,426.95,428.0,429.05,430.1,420.65,10:35:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4000,Tue,Jun,11744.45,11691.5,Up,00:42:00
383.6,2019-06-19,10:11:00,383.6,Sell,M&MFIN,,363.0,,,,,,,,,,398.5,09:50:00,59600.0,Stoploss Hit,Breakeven,394.95,391.4,387.85,384.3,380.75,377.2,373.65,370.1,366.55,3.55,4000,Wed,Jun,11536.15,11555.9,Down,00:21:00
396.7,2019-06-27,14:42:00,396.7,Sell,M&MFIN,,382.4,,,,,,,,,,395.4,14:05:00,-5200.0,Stoploss Hit,,394.1,392.8,391.5,390.2,388.9,387.6,386.3,385.0,383.7,1.3,4000,Thu,Jun,11596.65,11588.35,Up,00:37:00
388.1,2019-07-10,14:21:00,388.1,Sell,M&MFIN,,376.55,,,,,,,,,,387.05,14:18:00,-4200.0,Stoploss Hit,,386.0,384.95,383.9,382.85,381.8,380.75,379.7,378.65,377.6,1.05,4000,Wed,Jul,11536.15,11555.9,Down,00:03:00
383.45,2019-07-12,10:13:00,382.5,Buy,M&MFIN,0.95,392.95,384.4,385.35,386.3,387.25,388.2,389.15,390.1,391.05,392.0,382.5,10:14:00,-3800.0,Stoploss Hit,,,,,,,,,,,,4000,Fri,Jul,11601.15,11582.9,Up,00:01:00
301.4,2019-07-26,11:05:00,301.4,Sell,M&MFIN,,293.75,,,,,,,,,,302.25,10:18:00,3400.0,Stoploss Hit,1to1 Trail,301.4,300.55,299.7,298.85,298.0,297.15,296.3,295.45,294.6,0.85,4000,Fri,Jul,11003.25,10925.85,Up,00:47:00
303.55,2019-08-14,10:07:00,303.55,Sell,M&MFIN,,279.9,,,,,,,,,,301.4,10:01:00,-8600.0,Stoploss Hit,,299.25,297.1,294.95,292.8,290.65,288.5,286.35,284.2,282.05,2.15,4000,Wed,Aug,11101.3,11105.35,Down,00:06:00
313.35,2019-08-22,11:16:00,313.35,Sell,M&MFIN,,289.15,,,,,,,,,,311.15,09:46:00,-8800.0,Stoploss Hit,,308.95,306.75,304.55,302.35,300.15,297.95,295.75,293.55,291.35,2.2,4000,Thu,Aug,10860.95,10844.65,Up,01:30:00
337.85,2019-08-27,10:53:00,336.65,Buy,M&MFIN,1.2,349.85,339.05,340.25,341.45,342.65,343.85,345.05,346.25,347.45,348.65,336.65,11:06:00,-4800.0,Stoploss Hit,,,,,,,,,,,,4000,Tue,Aug,11106.55,11057.85,Up,00:13:00
316.5,2019-09-03,10:12:00,315.55,Buy,M&MFIN,0.95,326.0,317.45,318.4,319.35,320.3,321.25,322.2,323.15,324.1,325.05,315.55,10:24:00,-3800.0,Stoploss Hit,,,,,,,,,,,,4000,Tue,Sep,10746.8,10704.8,Up,00:12:00
322.0,2019-09-09,10:06:00,320.05,Buy,M&MFIN,1.95,341.5,323.95,325.9,327.85,329.8,331.75,333.7,335.65,337.6,339.55,320.05,10:46:00,-7800.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,Sep,11590.7,11600.2,Down,00:40:00
335.3,2019-09-11,12:58:00,334.0,Buy,M&MFIN,1.3,348.3,336.6,337.9,339.2,340.5,341.8,343.1,344.4,345.7,347.0,334.0,13:11:00,-5200.0,Stoploss Hit,,,,,,,,,,,,4000,Wed,Sep,10746.8,10704.8,Up,00:13:00
337.95,2019-09-16,10:14:00,336.4,Buy,M&MFIN,1.55,353.45,339.5,341.05,342.6,344.15,345.7,347.25,348.8,350.35,351.9,336.4,10:33:00,-6200.0,Stoploss Hit,,,,,,,,,,,,4000,Mon,Sep,11564.85,11588.2,Down,00:19:00
354.95,2019-09-24,10:48:00,354.95,Sell,M&MFIN,,342.85,,,,,,,,,,353.85,10:47:00,-4400.0,Stoploss Hit,,352.75,351.65,350.55,349.45,348.35,347.25,346.15,345.05,343.95,1.1,4000,Tue,Sep,11590.7,11600.2,Down,00:01:00
326.5,2019-10-01,10:50:00,326.5,Sell,M&MFIN,,304.0,,,,,,,,,,326.5,09:46:00,0.0,Stoploss Hit,Breakeven,324.25,322.0,319.75,317.5,315.25,313.0,310.75,308.5,306.25,2.25,4000,Tue,Oct,11890.45,11844.1,Up,01:04:00
