buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
106.65,2018-08-02,10:52:00,106.3,Buy,MANAPPURAM,0.35,110.15,107.0,107.35,107.7,108.05,108.4,108.75,109.1,109.45,109.8,106.3,11:04:00,-2100.0,Stoploss Hit,,,,,,,,,,,,6000,Thu,Aug,11328.9,11346.2,Down,00:12:00
111.85,2018-08-07,10:16:00,111.85,Sell,MANAPPURAM,,109.1,,,,,,,,,,111.6,10:14:00,-1500.0,Stoploss Hit,,111.35,111.1,110.85,110.6,110.35,110.1,109.85,109.6,109.35,0.25,6000,Tue,Aug,11493.25,11450.0,Up,00:02:00
113.0,2018-08-09,09:52:00,112.4,Buy,MANAPPURAM,0.6,119.0,113.6,114.2,114.8,115.4,116.0,116.6,117.2,117.8,118.4,112.4,10:37:00,-3600.0,Stoploss Hit,,,,,,,,,,,,6000,Thu,Aug,11369.6,11429.5,Down,00:45:00
102.95,2018-08-16,11:15:00,102.7,Buy,MANAPPURAM,0.25,105.45,103.2,103.45,103.7,103.95,104.2,104.45,104.7,104.95,105.2,102.7,12:41:00,-1500.0,Stoploss Hit,,,,,,,,,,,,6000,Thu,Aug,11397.15,11435.1,Down,01:26:00
101.5,2018-08-21,10:02:00,101.95,Buy,MANAPPURAM,0.45,106.0,101.95,102.4,102.85,103.3,103.75,104.2,104.65,105.1,105.55,103.0,15:00:00,9000.0,Market Exit,1to1 trail,,,,,,,,,,,6000,Tue,Aug,11576.2,11551.75,Up,04:58:00
100.85,2018-08-29,10:03:00,100.9,Buy,MANAPPURAM,0.05,101.35,100.9,100.95,101.0,101.05,101.1,101.15,101.2,101.25,101.3,100.9,10:05:00,300.0,Stoploss Hit,1to1 trail,,,,,,,,,,,6000,Wed,Aug,11694.75,11691.9,Up,00:02:00
99.8,2018-09-03,11:10:00,99.8,Sell,MANAPPURAM,,98.7,,,,,,,,,,99.7,11:02:00,-600.0,Stoploss Hit,,99.6,99.5,99.4,99.3,99.2,99.1,99.0,98.9,98.8,0.1,6000,Mon,Sep,11751.8,11680.5,Up,00:08:00
95.95,2018-09-07,12:10:00,95.95,Sell,MANAPPURAM,,89.9,,,,,,,,,,95.4,11:44:00,-3300.0,Stoploss Hit,,94.85,94.3,93.75,93.2,92.65,92.1,91.55,91.0,90.45,0.55,6000,Fri,Sep,11558.25,11536.9,Up,00:26:00
89.7,2018-09-11,11:18:00,89.7,Sell,MANAPPURAM,,86.7,,,,,,,,,,89.7,09:46:00,0.0,Stoploss Hit,Breakeven,89.4,89.1,88.8,88.5,88.2,87.9,87.6,87.3,87.0,0.3,6000,Tue,Sep,11731.95,11691.95,Up,01:32:00
85.1,2018-09-12,13:05:00,85.1,Sell,MANAPPURAM,,81.6,,,,,,,,,,85.1,10:00:00,0.0,Stoploss Hit,Breakeven,84.75,84.4,84.05,83.7,83.35,83.0,82.65,82.3,81.95,0.35,6000,Wed,Sep,11464.95,11515.2,Down,03:05:00
84.3,2018-09-21,10:45:00,84.3,Sell,MANAPPURAM,,78.8,,,,,,,,,,83.8,10:21:00,-3000.0,Stoploss Hit,,83.3,82.8,82.3,81.8,81.3,80.8,80.3,79.8,79.3,0.5,6000,Fri,Sep,11271.3,11234.35,Up,00:24:00
77.75,2018-09-24,10:19:00,77.75,Sell,MANAPPURAM,,75.05,,,,,,,,,,79.55,09:49:00,10800.0,Stoploss Hit,1to4 Trail,79.1,78.65,78.2,77.75,77.3,76.85,76.4,75.95,75.5,0.45,6000,Mon,Sep,11164.4,11143.1,Up,00:30:00
