buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
367.4,2018-08-01,11:54:00,367.4,Sell,MARICO,,346.5,,,,,,,,,,365.5,10:04:00,-2280.0,Stoploss Hit,,363.6,361.7,359.8,357.9,356.0,354.1,352.2,350.3,348.4,1.9,1200,Wed,Aug,11359.8,11356.5,Up,01:50:00
366.25,2018-08-02,12:31:00,366.25,Sell,MARICO,,336.55,,,,,,,,,,363.55,11:28:00,-3240.0,Stoploss Hit,,360.85,358.15,355.45,352.75,350.05,347.35,344.65,341.95,339.25,2.7,1200,Thu,Aug,11328.9,11346.2,Down,01:03:00
351.45,2018-08-03,10:07:00,351.45,Buy,MARICO,1.7,368.45,353.15,354.85,356.55,358.25,359.95,361.65,363.35,365.05,366.75,351.45,13:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1200,Fri,Aug,11297.8,11244.7,Up,03:48:00
361.1,2018-08-08,09:52:00,361.1,Sell,MARICO,,352.3,,,,,,,,,,360.3,09:48:00,-960.0,Stoploss Hit,,359.5,358.7,357.9,357.1,356.3,355.5,354.7,353.9,353.1,0.8,1200,Wed,Aug,11493.25,11450.0,Up,00:04:00
363.8,2018-08-13,10:02:00,364.15,Buy,MARICO,0.35,367.3,364.15,364.5,364.85,365.2,365.55,365.9,366.25,366.6,366.95,364.15,10:10:00,420.0,Stoploss Hit,1to1 trail,,,,,,,,,,,1200,Mon,Aug,11474.95,11470.7,Up,00:08:00
363.15,2018-08-14,10:01:00,362.25,Buy,MARICO,0.9,372.15,364.05,364.95,365.85,366.75,367.65,368.55,369.45,370.35,371.25,362.25,10:37:00,-1080.0,Stoploss Hit,,,,,,,,,,,,1200,Tue,Aug,11381.7,11355.75,Up,00:36:00
351.8,2018-09-05,10:17:00,351.8,Sell,MARICO,,338.05,,,,,,,,,,350.55,09:52:00,-1500.0,Stoploss Hit,,349.3,348.05,346.8,345.55,344.3,343.05,341.8,340.55,339.3,1.25,1200,Wed,Sep,11164.4,11143.1,Up,00:25:00
348.55,2018-09-18,09:59:00,348.55,Buy,MARICO,1.0,358.55,349.55,350.55,351.55,352.55,353.55,354.55,355.55,356.55,357.55,348.55,10:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1200,Tue,Sep,11464.95,11515.2,Down,00:32:00
339.9,2018-09-27,10:14:00,338.9,Buy,MARICO,1.0,349.9,340.9,341.9,342.9,343.9,344.9,345.9,346.9,347.9,348.9,338.9,11:17:00,-1200.0,Stoploss Hit,,,,,,,,,,,,1200,Thu,Sep,11145.55,11067.45,Up,01:03:00
339.0,2018-09-28,10:40:00,339.0,Buy,MARICO,0.55,344.5,339.55,340.1,340.65,341.2,341.75,342.3,342.85,343.4,343.95,339.0,10:47:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1200,Fri,Sep,11008.1,10977.55,Up,00:07:00
