buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
9505.3,2018-08-01,10:22:00,9505.3,Sell,MARUTI,,9355.0,,,,,,,,,,9522.0,10:11:00,1670.0,Stoploss Hit,1to1 Trail,9505.3,9488.6,9471.9,9455.2,9438.5,9421.8,9405.1,9388.4,9371.7,16.7,100,Wed,Aug,11359.8,11356.5,Up,00:11:00
9194.0,2018-08-10,13:38:00,9194.0,Buy,MARUTI,6.95,9263.5,9200.95,9207.9,9214.85,9221.8,9228.75,9235.7,9242.65,9249.6,9256.55,9194.0,13:40:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,100,Fri,Aug,11474.95,11470.7,Up,00:02:00
9119.45,2018-08-13,10:15:00,9119.45,Buy,MARUTI,25.45,9373.95,9144.9,9170.35,9195.8,9221.25,9246.7,9272.15,9297.6,9323.05,9348.5,9119.45,14:01:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,100,Mon,Aug,11369.6,11429.5,Down,03:46:00
9112.0,2018-08-14,09:57:00,9098.0,Buy,MARUTI,14.0,9252.0,9126.0,9140.0,9154.0,9168.0,9182.0,9196.0,9210.0,9224.0,9238.0,9098.0,10:35:00,-1400.0,Stoploss Hit,,,,,,,,,,,,100,Tue,Aug,11381.7,11355.75,Up,00:38:00
9164.85,2018-08-16,10:01:00,9180.95,Buy,MARUTI,8.05,9245.35,9172.9,9180.95,9189.0,9197.05,9205.1,9213.15,9221.2,9229.25,9237.3,9180.95,12:12:00,1610.0,Stoploss Hit,1to2 trail,,,,,,,,,,,100,Thu,Aug,11437.15,11385.05,Up,02:11:00
9170.7,2018-08-17,10:02:00,9170.7,Sell,MARUTI,,8960.0,,,,,,,,,,9225.0,11:30:00,5430.0,Stoploss Hit,Breakeven,9198.5,9172.0,9145.5,9119.0,9092.5,9066.0,9039.5,9013.0,8986.5,26.5,100,Fri,Aug,11437.15,11385.05,Up,1899-12-29 22:32:00
9170.7,2018-08-20,10:21:00,9170.7,Sell,MARUTI,,9107.7,,,,,,,,,,9170.7,10:03:00,0.0,Stoploss Hit,Breakeven,9164.4,9158.1,9151.8,9145.5,9139.2,9132.9,9126.6,9120.3,9114.0,6.3,100,Mon,Aug,11576.2,11551.75,Up,00:18:00
9085.0,2018-08-21,09:50:00,9085.0,Sell,MARUTI,,8945.0,,,,,,,,,,9085.0,09:47:00,0.0,Stoploss Hit,Breakeven,9071.0,9057.0,9043.0,9029.0,9015.0,9001.0,8987.0,8973.0,8959.0,14.0,100,Tue,Aug,11514.85,11520.3,Down,00:03:00
9245.0,2018-08-27,10:30:00,9259.4,Buy,MARUTI,7.2,9317.0,9252.2,9259.4,9266.6,9273.8,9281.0,9288.2,9295.4,9302.6,9309.8,9259.4,10:38:00,1440.0,Stoploss Hit,1to2 trail,,,,,,,,,,,100,Mon,Aug,11731.95,11691.95,Up,00:08:00
9279.1,2018-08-28,09:59:00,9368.9,Buy,MARUTI,22.45,9503.6,9301.55,9324.0,9346.45,9368.9,9391.35,9413.8,9436.25,9458.7,9481.15,9420.5,15:00:00,14140.0,Market Exit,1to4 trail,,,,,,,,,,,100,Tue,Aug,11731.95,11691.95,Up,05:01:00
8999.85,2018-09-03,12:52:00,8999.85,Sell,MARUTI,,8886.35,,,,,,,,,,8999.85,10:48:00,0.0,Stoploss Hit,Breakeven,8988.5,8977.15,8965.8,8954.45,8943.1,8931.75,8920.4,8909.05,8897.7,11.35,100,Mon,Sep,11711.55,11669.15,Up,02:04:00
8915.0,2018-09-04,09:54:00,8915.0,Buy,MARUTI,22.0,9135.0,8937.0,8959.0,8981.0,9003.0,9025.0,9047.0,9069.0,9091.0,9113.0,8915.0,13:32:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,100,Tue,Sep,11570.25,11589.1,Down,03:38:00
8714.0,2018-09-06,09:46:00,8714.0,Sell,MARUTI,,8666.0,,,,,,,,,,8826.0,11:37:00,11200.0,Stoploss Hit,1to7 Trail,8810.0,8794.0,8778.0,8762.0,8746.0,8730.0,8714.0,8698.0,8682.0,16.0,100,Thu,Sep,10670.95,10656.2,Up,1899-12-29 22:09:00
7130.75,2018-11-09,10:04:00,7234.5,Buy,MARUTI,20.75,7338.25,7151.5,7172.25,7193.0,7213.75,7234.5,7255.25,7276.0,7296.75,7317.5,7277.35,15:00:00,14660.0,Market Exit,1to5 trail,,,,,,,,,,,100,Fri,Nov,10607.8,10585.2,Up,04:56:00
7631.0,2018-11-28,12:38:00,7631.0,Sell,MARUTI,,7362.6,,,,,,,,,,7606.6,11:21:00,-2440.0,Stoploss Hit,,7582.2,7557.8,7533.4,7509.0,7484.6,7460.2,7435.8,7411.4,7387.0,24.4,100,Wed,Nov,10508.7,10693.7,Down,01:17:00
7535.35,2018-12-05,09:46:00,7535.35,Sell,MARUTI,,7402.85,,,,,,,,,,7667.85,10:41:00,13250.0,Stoploss Hit,1to5 Trail,7641.35,7614.85,7588.35,7561.85,7535.35,7508.85,7482.35,7455.85,7429.35,26.5,100,Wed,Dec,10850.9,10888.35,Down,1899-12-29 23:05:00
7599.0,2018-12-13,12:20:00,7655.4,Buy,MARUTI,9.4,7693.0,7608.4,7617.8,7627.2,7636.6,7646.0,7655.4,7664.8,7674.2,7683.6,7655.4,14:13:00,5640.0,Stoploss Hit,1to6 trail,,,,,,,,,,,100,Thu,Dec,10820.45,10869.5,Down,01:53:00
7710.0,2018-12-18,11:59:00,7710.0,Buy,MARUTI,25.85,7968.5,7735.85,7761.7,7787.55,7813.4,7839.25,7865.1,7890.95,7916.8,7942.65,7762.1,15:00:00,5210.0,Market Exit,Breakeven,,,,,,,,,,,100,Tue,Dec,10944.25,10951.7,Down,03:01:00
7880.0,2018-12-19,12:37:00,7880.0,Buy,MARUTI,22.6,8106.0,7902.6,7925.2,7947.8,7970.4,7993.0,8015.6,8038.2,8060.8,8083.4,7933.0,15:00:00,5300.0,Market Exit,Breakeven,,,,,,,,,,,100,Wed,Dec,10780.9,10754.0,Up,02:23:00
7876.85,2018-12-20,09:48:00,7876.85,Buy,MARUTI,19.3,8069.85,7896.15,7915.45,7934.75,7954.05,7973.35,7992.65,8011.95,8031.25,8050.55,7876.85,10:17:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,100,Thu,Dec,10885.2,10967.3,Down,00:29:00
7525.0,2018-12-24,10:13:00,7525.0,Sell,MARUTI,,7289.6,,,,,,,,,,7503.6,09:59:00,-2140.0,Stoploss Hit,,7482.2,7460.8,7439.4,7418.0,7396.6,7375.2,7353.8,7332.4,7311.0,21.4,100,Mon,Dec,10780.9,10754.0,Up,00:14:00
7482.2,2018-12-31,11:04:00,7482.2,Sell,MARUTI,,7315.0,,,,,,,,,,7524.0,11:33:00,4180.0,Stoploss Hit,1to2 Trail,7503.1,7482.2,7461.3,7440.4,7419.5,7398.6,7377.7,7356.8,7335.9,20.9,100,Mon,Dec,10881.7,10862.55,Up,1899-12-29 23:31:00
7460.0,2019-01-01,11:05:00,7432.25,Buy,MARUTI,27.75,7737.5,7487.75,7515.5,7543.25,7571.0,7598.75,7626.5,7654.25,7682.0,7709.75,7432.25,12:20:00,-2775.0,Stoploss Hit,,,,,,,,,,,,100,Tue,Jan,10804.85,10727.35,Up,01:15:00
7341.0,2019-01-07,10:00:00,7341.0,Buy,MARUTI,10.0,7441.0,7351.0,7361.0,7371.0,7381.0,7391.0,7401.0,7411.0,7421.0,7431.0,7341.0,11:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,100,Mon,Jan,10807.0,10794.95,Up,01:31:00
7520.0,2019-01-09,10:13:00,7507.1,Buy,MARUTI,12.9,7649.0,7532.9,7545.8,7558.7,7571.6,7584.5,7597.4,7610.3,7623.2,7636.1,7507.1,10:39:00,-1290.0,Stoploss Hit,,,,,,,,,,,,100,Wed,Jan,10786.25,10771.8,Up,00:26:00
7330.0,2019-01-14,14:04:00,7330.0,Buy,MARUTI,26.0,7590.0,7356.0,7382.0,7408.0,7434.0,7460.0,7486.0,7512.0,7538.0,7564.0,7377.4,15:00:00,4740.0,Market Exit,Breakeven,,,,,,,,,,,100,Mon,Jan,10899.65,10886.8,Up,00:56:00
7364.85,2019-01-17,09:52:00,7342.15,Buy,MARUTI,22.7,7591.85,7387.55,7410.25,7432.95,7455.65,7478.35,7501.05,7523.75,7546.45,7569.15,7342.15,12:03:00,-2270.0,Stoploss Hit,,,,,,,,,,,,100,Thu,Jan,10914.85,10905.2,Up,02:11:00
7235.0,2019-01-21,09:46:00,7235.0,Sell,MARUTI,,7175.0,,,,,,,,,,7325.0,10:20:00,9000.0,Stoploss Hit,1to6 Trail,7310.0,7295.0,7280.0,7265.0,7250.0,7235.0,7220.0,7205.0,7190.0,15.0,100,Mon,Jan,11023.5,11069.4,Down,1899-12-29 23:26:00
