buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
591.65,2018-08-01,09:57:00,589.25,Buy,MCDOWELL-N,2.4,615.65,594.05,596.45,598.85,601.25,603.65,606.05,608.45,610.85,613.25,589.25,09:59:00,-1500.0,Stoploss Hit,,,,,,,,,,,,625,Wed,Aug,11359.8,11356.5,Up,00:02:00
602.1,2018-08-03,10:16:00,602.1,Buy,MCDOWELL-N,2.9,631.1,605.0,607.9,610.8,613.7,616.6,619.5,622.4,625.3,628.2,602.1,10:46:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,625,Fri,Aug,11297.8,11244.7,Up,00:30:00
598.25,2018-08-07,10:35:00,598.25,Sell,MCDOWELL-N,,580.65,,,,,,,,,,596.65,10:32:00,-1000.0,Stoploss Hit,,595.05,593.45,591.85,590.25,588.65,587.05,585.45,583.85,582.25,1.6,625,Tue,Aug,11412.5,11389.45,Up,00:03:00
589.8,2018-08-08,10:02:00,593.25,Buy,MCDOWELL-N,3.45,624.3,593.25,596.7,600.15,603.6,607.05,610.5,613.95,617.4,620.85,602.85,15:00:00,8156.25,Market Exit,1to1 trail,,,,,,,,,,,625,Wed,Aug,11412.5,11389.45,Up,04:58:00
633.7,2018-08-17,10:05:00,628.65,Buy,MCDOWELL-N,5.05,684.2,638.75,643.8,648.85,653.9,658.95,664.0,669.05,674.1,679.15,636.45,15:00:00,1718.75,Market Exit,,,,,,,,,,,,625,Fri,Aug,11502.1,11470.75,Up,04:55:00
626.85,2018-08-21,09:46:00,626.85,Sell,MCDOWELL-N,,607.95,,,,,,,,,,628.95,12:47:00,1312.5,Stoploss Hit,1to1 Trail,626.85,624.75,622.65,620.55,618.45,616.35,614.25,612.15,610.05,2.1,625,Tue,Aug,11605.85,11557.1,Up,1899-12-29 20:59:00
600.1,2018-09-06,10:01:00,597.8,Buy,MCDOWELL-N,2.3,623.1,602.4,604.7,607.0,609.3,611.6,613.9,616.2,618.5,620.8,597.8,10:10:00,-1437.5,Stoploss Hit,,,,,,,,,,,,625,Thu,Sep,11570.25,11589.1,Down,00:09:00
607.0,2018-09-07,09:55:00,607.0,Buy,MCDOWELL-N,1.65,623.5,608.65,610.3,611.95,613.6,615.25,616.9,618.55,620.2,621.85,607.0,10:10:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,625,Fri,Sep,11558.25,11536.9,Up,00:15:00
586.4,2018-09-10,09:46:00,586.4,Sell,MCDOWELL-N,,580.55,,,,,,,,,,600.05,09:56:00,8531.25,Stoploss Hit,1to7 Trail,598.1,596.15,594.2,592.25,590.3,588.35,586.4,584.45,582.5,1.95,625,Mon,Sep,11464.95,11515.2,Down,1899-12-29 23:50:00
517.6,2018-09-27,09:47:00,517.6,Sell,MCDOWELL-N,,512.2,,,,,,,,,,530.2,10:20:00,7875.0,Stoploss Hit,1to7 Trail,528.4,526.6,524.8,523.0,521.2,519.4,517.6,515.8,514.0,1.8,625,Thu,Sep,11079.8,11053.8,Up,1899-12-29 23:27:00
