buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
876.8,2018-08-09,11:24:00,876.8,Sell,MCX,,836.65,,,,,,,,,,873.15,11:03:00,-1460.0,Stoploss Hit,,869.5,865.85,862.2,858.55,854.9,851.25,847.6,843.95,840.3,3.65,400,Thu,Aug,,11450.0,Down,00:21:00
872.6,2018-08-10,10:06:00,872.6,Sell,MCX,,847.85,,,,,,,,,,870.35,10:06:00,-900.0,Stoploss Hit,,868.1,865.85,863.6,861.35,859.1,856.85,854.6,852.35,850.1,2.25,400,Fri,Aug,11474.95,11470.7,Up,00:00:00
864.65,2018-08-17,09:56:00,864.65,Sell,MCX,,819.55,,,,,,,,,,860.55,09:52:00,-1640.0,Stoploss Hit,,856.45,852.35,848.25,844.15,840.05,835.95,831.85,827.75,823.65,4.1,400,Fri,Aug,11381.7,11355.75,Up,00:04:00
836.0,2018-08-29,09:48:00,833.85,Buy,MCX,2.15,857.5,838.15,840.3,842.45,844.6,846.75,848.9,851.05,853.2,855.35,833.85,10:07:00,-860.0,Stoploss Hit,,,,,,,,,,,,400,Wed,Aug,11605.85,11557.1,Up,00:19:00
817.4,2018-08-30,09:51:00,817.4,Sell,MCX,,797.05,,,,,,,,,,815.55,09:48:00,-740.0,Stoploss Hit,,813.7,811.85,810.0,808.15,806.3,804.45,802.6,800.75,798.9,1.85,400,Thu,Aug,11731.95,11691.95,Up,00:03:00
782.9,2018-09-05,10:12:00,782.9,Sell,MCX,,729.55,,,,,,,,,,778.05,09:51:00,-1940.0,Stoploss Hit,,773.2,768.35,763.5,758.65,753.8,748.95,744.1,739.25,734.4,4.85,400,Wed,Sep,11751.8,11680.5,Up,00:21:00
801.0,2018-09-19,11:25:00,801.0,Sell,MCX,,781.0,,,,,,,,,,801.0,10:51:00,0.0,Stoploss Hit,Breakeven,799.0,797.0,795.0,793.0,791.0,789.0,787.0,785.0,783.0,2.0,400,Wed,Sep,11271.3,11234.35,Up,00:34:00
744.55,2018-09-27,10:56:00,744.55,Sell,MCX,,714.3,,,,,,,,,,741.8,10:50:00,-1100.0,Stoploss Hit,,739.05,736.3,733.55,730.8,728.05,725.3,722.55,719.8,717.05,2.75,400,Thu,Sep,10731.25,10682.2,Up,00:06:00
711.8,2018-10-03,12:45:00,711.8,Buy,MCX,6.8,779.8,718.6,725.4,732.2,739.0,745.8,752.6,759.4,766.2,773.0,712.05,15:00:00,100.0,Market Exit,Breakeven,,,,,,,,,,,400,Wed,Oct,10982.7,11008.3,Down,02:15:00
678.1,2018-10-09,09:55:00,678.1,Sell,MCX,,666.5,,,,,,,,,,681.0,09:52:00,1160.0,Stoploss Hit,1to2 Trail,679.55,678.1,676.65,675.2,673.75,672.3,670.85,669.4,667.95,1.45,400,Tue,Oct,10310.15,10316.45,Down,00:03:00
692.4,2018-10-10,10:34:00,689.05,Buy,MCX,3.35,725.9,695.75,699.1,702.45,705.8,709.15,712.5,715.85,719.2,722.55,689.05,11:01:00,-1340.0,Stoploss Hit,,,,,,,,,,,,400,Wed,Oct,10331.85,10301.05,Up,00:27:00
736.25,2018-10-15,10:57:00,736.25,Sell,MCX,,730.55,,,,,,,,,,740.05,10:55:00,1520.0,Stoploss Hit,1to4 Trail,739.1,738.15,737.2,736.25,735.3,734.35,733.4,732.45,731.5,0.95,400,Mon,Oct,10524.2,10472.5,Up,00:02:00
742.85,2018-10-23,09:58:00,736.6,Buy,MCX,6.25,805.35,749.1,755.35,761.6,767.85,774.1,780.35,786.6,792.85,799.1,736.6,11:04:00,-2500.0,Stoploss Hit,,,,,,,,,,,,400,Tue,Oct,10152.6,10245.25,Down,01:06:00
730.2,2018-10-29,09:49:00,721.6,Buy,MCX,8.6,816.2,738.8,747.4,756.0,764.6,773.2,781.8,790.4,799.0,807.6,721.6,10:17:00,-3440.0,Stoploss Hit,,,,,,,,,,,,400,Mon,Oct,10135.05,10224.75,Down,00:28:00
709.75,2018-11-09,10:44:00,709.75,Buy,MCX,1.85,728.25,711.6,713.45,715.3,717.15,719.0,720.85,722.7,724.55,726.4,709.75,11:06:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,400,Fri,Nov,10614.7,10598.4,Up,00:22:00
706.0,2018-11-21,10:36:00,706.0,Sell,MCX,,681.0,,,,,,,,,,706.0,10:00:00,0.0,Stoploss Hit,Breakeven,703.5,701.0,698.5,696.0,693.5,691.0,688.5,686.0,683.5,2.5,400,Wed,Nov,10930.7,10876.75,Up,00:36:00
