buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
499.6,2018-08-08,10:36:00,499.6,Buy,MFSL,2.45,524.1,502.05,504.5,506.95,509.4,511.85,514.3,516.75,519.2,521.65,499.6,14:35:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Wed,Aug,11412.5,11389.45,Up,03:59:00
464.25,2018-08-14,14:15:00,464.25,Sell,MFSL,,456.0,,,,,,,,,,476.0,10:38:00,7637.5,Stoploss Hit,Breakeven,474.0,472.0,470.0,468.0,466.0,464.0,462.0,460.0,458.0,2.0,650,Tue,Aug,11502.1,11470.75,Up,03:37:00
468.0,2018-08-24,10:07:00,468.0,Sell,MFSL,,454.0,,,,,,,,,,473.0,10:03:00,3250.0,Stoploss Hit,Breakeven,471.1,469.2,467.3,465.4,463.5,461.6,459.7,457.8,455.9,1.9,650,Fri,Aug,11566.6,11582.75,Down,00:04:00
485.95,2018-08-28,10:01:00,485.95,Buy,MFSL,0.95,495.45,486.9,487.85,488.8,489.75,490.7,491.65,492.6,493.55,494.5,485.95,12:03:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Tue,Aug,11566.6,11582.75,Down,02:02:00
480.55,2018-08-29,12:18:00,480.55,Sell,MFSL,,477.4,,,,,,,,,,480.9,12:15:00,227.5,Stoploss Hit,1to1 Trail,480.55,480.2,479.85,479.5,479.15,478.8,478.45,478.1,477.75,0.35,650,Wed,Aug,11605.85,11557.1,Up,00:03:00
467.3,2018-08-30,09:46:00,467.3,Sell,MFSL,,441.3,,,,,,,,,,467.3,13:40:00,0.0,Stoploss Hit,Breakeven,464.7,462.1,459.5,456.9,454.3,451.7,449.1,446.5,443.9,2.6,650,Thu,Aug,11340.1,11287.5,Up,1899-12-29 20:06:00
440.45,2018-09-05,10:04:00,440.45,Sell,MFSL,,423.4,,,,,,,,,,438.9,10:04:00,-1007.5,Stoploss Hit,,437.35,435.8,434.25,432.7,431.15,429.6,428.05,426.5,424.95,1.55,650,Wed,Sep,11514.85,11520.3,Down,00:00:00
467.0,2018-09-14,12:02:00,467.0,Sell,MFSL,,441.5,,,,,,,,,,467.0,09:50:00,0.0,Stoploss Hit,Breakeven,464.45,461.9,459.35,456.8,454.25,451.7,449.15,446.6,444.05,2.55,650,Fri,Sep,11381.55,11377.75,Up,02:12:00
371.5,2018-10-09,10:07:00,371.5,Sell,MFSL,,310.45,,,,,,,,,,365.95,10:05:00,-3607.5,Stoploss Hit,,360.4,354.85,349.3,343.75,338.2,332.65,327.1,321.55,316.0,5.55,650,Tue,Oct,10390.3,10348.05,Up,00:02:00
377.35,2018-10-19,10:44:00,377.35,Sell,MFSL,,318.5,,,,,,,,,,372.0,10:20:00,-3477.5,Stoploss Hit,,366.65,361.3,355.95,350.6,345.25,339.9,334.55,329.2,323.85,5.35,650,Fri,Oct,10135.05,10224.75,Down,00:24:00
383.5,2018-10-22,09:53:00,383.5,Sell,MFSL,,363.7,,,,,,,,,,381.7,09:46:00,-1170.0,Stoploss Hit,,379.9,378.1,376.3,374.5,372.7,370.9,369.1,367.3,365.5,1.8,650,Mon,Oct,10591.0,10549.15,Up,00:07:00
370.6,2018-10-25,10:29:00,370.6,Sell,MFSL,,359.1,,,,,,,,,,370.6,10:20:00,0.0,Stoploss Hit,Breakeven,369.45,368.3,367.15,366.0,364.85,363.7,362.55,361.4,360.25,1.15,650,Thu,Oct,10135.05,10224.75,Down,00:09:00
423.3,2018-11-15,09:53:00,436.05,Buy,MFSL,4.25,465.8,427.55,431.8,436.05,440.3,444.55,448.8,453.05,457.3,461.55,436.05,14:15:00,8287.5,Stoploss Hit,1to3 trail,,,,,,,,,,,650,Thu,Nov,10607.8,10585.2,Up,04:22:00
431.0,2018-11-19,11:14:00,432.8,Buy,MFSL,1.8,449.0,432.8,434.6,436.4,438.2,440.0,441.8,443.6,445.4,447.2,437.05,15:00:00,3932.5,Market Exit,1to1 trail,,,,,,,,,,,650,Mon,Nov,10607.8,10585.2,Up,03:46:00
426.55,2018-11-20,11:20:00,426.55,Sell,MFSL,,415.0,,,,,,,,,,425.5,11:12:00,-682.5,Stoploss Hit,,424.45,423.4,422.35,421.3,420.25,419.2,418.15,417.1,416.05,1.05,650,Tue,Nov,10670.95,10656.2,Up,00:08:00
429.95,2018-11-22,14:06:00,429.95,Sell,MFSL,,398.05,,,,,,,,,,427.05,13:58:00,-1885.0,Stoploss Hit,,424.15,421.25,418.35,415.45,412.55,409.65,406.75,403.85,400.95,2.9,650,Thu,Nov,10644.0,10616.7,Up,00:08:00
433.6,2018-11-28,09:46:00,433.6,Buy,MFSL,1.6,449.6,435.2,436.8,438.4,440.0,441.6,443.2,444.8,446.4,448.0,433.6,14:33:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,650,Wed,Nov,10708.75,10685.6,Up,04:47:00
441.8,2018-12-03,09:49:00,441.8,Sell,MFSL,,431.35,,,,,,,,,,440.85,09:49:00,-617.5,Stoploss Hit,,439.9,438.95,438.0,437.05,436.1,435.15,434.2,433.25,432.3,0.95,650,Mon,Dec,10820.45,10869.5,Down,00:00:00
428.05,2018-12-12,13:26:00,428.05,Sell,MFSL,,412.05,,,,,,,,,,428.05,13:05:00,0.0,Stoploss Hit,Breakeven,426.45,424.85,423.25,421.65,420.05,418.45,416.85,415.25,413.65,1.6,650,Wed,Dec,10508.7,10693.7,Down,00:21:00
439.95,2018-12-21,10:09:00,439.95,Sell,MFSL,,436.1,,,,,,,,,,441.6,09:49:00,1072.5,Stoploss Hit,1to3 Trail,441.05,440.5,439.95,439.4,438.85,438.3,437.75,437.2,436.65,0.55,650,Fri,Dec,10944.25,10951.7,Down,00:20:00
434.4,2019-01-08,13:10:00,434.4,Sell,MFSL,,423.6,,,,,,,,,,437.1,10:46:00,1755.0,Stoploss Hit,1to2 Trail,435.75,434.4,433.05,431.7,430.35,429.0,427.65,426.3,424.95,1.35,650,Tue,Jan,10820.95,10779.8,Up,02:24:00
437.75,2019-01-09,10:05:00,437.75,Sell,MFSL,,423.45,,,,,,,,,,436.45,10:02:00,-845.0,Stoploss Hit,,435.15,433.85,432.55,431.25,429.95,428.65,427.35,426.05,424.75,1.3,650,Wed,Jan,10744.1,10735.45,Up,00:03:00
456.95,2019-01-11,10:12:00,456.95,Sell,MFSL,,439.35,,,,,,,,,,455.35,10:08:00,-1040.0,Stoploss Hit,,453.75,452.15,450.55,448.95,447.35,445.75,444.15,442.55,440.95,1.6,650,Fri,Jan,10792.45,10780.55,Up,00:04:00
452.5,2019-01-14,11:09:00,452.5,Sell,MFSL,,434.9,,,,,,,,,,450.9,11:09:00,-1040.0,Stoploss Hit,,449.3,447.7,446.1,444.5,442.9,441.3,439.7,438.1,436.5,1.6,650,Mon,Jan,10804.85,10727.35,Up,00:00:00
458.2,2019-01-18,15:17:00,458.2,Sell,MFSL,,434.55,,,,,,,,,,456.05,09:46:00,-1397.5,Stoploss Hit,,453.9,451.75,449.6,447.45,445.3,443.15,441.0,438.85,436.7,2.15,650,Fri,Jan,10786.25,10771.8,Up,05:31:00
434.65,2019-01-23,11:53:00,434.65,Sell,MFSL,,421.15,,,,,,,,,,434.65,10:54:00,0.0,Stoploss Hit,Breakeven,433.3,431.95,430.6,429.25,427.9,426.55,425.2,423.85,422.5,1.35,650,Wed,Jan,10777.55,10737.6,Up,00:59:00
437.8,2019-01-24,12:02:00,437.8,Sell,MFSL,,415.8,,,,,,,,,,435.8,11:08:00,-1300.0,Stoploss Hit,,433.8,431.8,429.8,427.8,425.8,423.8,421.8,419.8,417.8,2.0,650,Thu,Jan,10949.8,10961.85,Down,00:54:00
363.3,2019-02-04,11:38:00,363.3,Sell,MFSL,,360.5,,,,,,,,,,364.0,11:37:00,455.0,Stoploss Hit,1to2 Trail,363.65,363.3,362.95,362.6,362.25,361.9,361.55,361.2,360.85,0.35,650,Mon,Feb,10914.85,10905.2,Up,00:01:00
401.15,2019-02-08,09:46:00,399.2,Buy,MFSL,1.95,420.65,403.1,405.05,407.0,408.95,410.9,412.85,414.8,416.75,418.7,399.2,09:58:00,-1267.5,Stoploss Hit,,,,,,,,,,,,650,Fri,Feb,11023.5,11069.4,Down,00:12:00
739.95,2023-02-13,10:07:00,739.95,Sell,MFSL,,707.5,,,,,,,,,,737.0,09:46:00,-1917.5,Stoploss Hit,,734.05,731.1,728.15,725.2,722.25,719.3,716.35,713.4,710.45,2.95,650,Mon,Feb,11023.5,11069.4,Down,00:21:00
402.0,2019-03-01,09:47:00,400.7,Buy,MFSL,1.3,415.0,403.3,404.6,405.9,407.2,408.5,409.8,411.1,412.4,413.7,400.7,10:04:00,-845.0,Stoploss Hit,,,,,,,,,,,,650,Fri,Mar,10864.85,10863.5,Up,00:17:00
436.85,2019-03-12,10:16:00,435.9,Buy,MFSL,0.95,446.35,437.8,438.75,439.7,440.65,441.6,442.55,443.5,444.45,445.4,435.9,10:48:00,-617.5,Stoploss Hit,,,,,,,,,,,,650,Tue,Mar,11382.5,11341.7,Up,00:32:00
440.6,2019-03-15,09:51:00,440.6,Sell,MFSL,,412.55,,,,,,,,,,438.05,09:50:00,-1657.5,Stoploss Hit,,435.5,432.95,430.4,427.85,425.3,422.75,420.2,417.65,415.1,2.55,650,Fri,Mar,11376.85,11343.25,Up,00:01:00
448.8,2019-03-18,11:46:00,452.2,Buy,MFSL,0.85,457.3,449.65,450.5,451.35,452.2,453.05,453.9,454.75,455.6,456.45,452.2,14:11:00,2210.0,Stoploss Hit,1to4 trail,,,,,,,,,,,650,Mon,Mar,11038.85,11058.2,Down,02:25:00
451.0,2019-03-20,09:46:00,451.7,Buy,MFSL,0.1,452.0,451.1,451.2,451.3,451.4,451.5,451.6,451.7,451.8,451.9,451.7,09:47:00,455.0,Stoploss Hit,1to7 trail,,,,,,,,,,,650,Wed,Mar,11660.2,11643.95,Up,00:01:00
438.95,2019-03-27,10:14:00,438.95,Sell,MFSL,,428.5,,,,,,,,,,438.0,10:07:00,-617.5,Stoploss Hit,,437.05,436.1,435.15,434.2,433.25,432.3,431.35,430.4,429.45,0.95,650,Wed,Mar,11382.5,11341.7,Up,00:07:00
451.0,2019-04-02,09:46:00,449.5,Buy,MFSL,1.5,466.0,452.5,454.0,455.5,457.0,458.5,460.0,461.5,463.0,464.5,449.5,10:19:00,-975.0,Stoploss Hit,,,,,,,,,,,,650,Tue,Apr,11711.55,11669.15,Up,00:33:00
