buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
978.2,2018-08-03,11:02:00,975.45,Buy,MGL,2.75,1005.7,980.95,983.7,986.45,989.2,991.95,994.7,997.45,1000.2,1002.95,975.45,11:49:00,-2200.0,Stoploss Hit,,,,,,,,,,,,800,Fri,Aug,11297.8,11244.7,Up,00:47:00
962.65,2018-08-07,11:35:00,962.65,Sell,MGL,,950.15,,,,,,,,,,962.65,09:53:00,0.0,Stoploss Hit,Breakeven,961.4,960.15,958.9,957.65,956.4,955.15,953.9,952.65,951.4,1.25,800,Tue,Aug,11423.15,11387.1,Up,01:42:00
950.0,2018-08-09,10:51:00,950.0,Sell,MGL,,939.0,,,,,,,,,,950.0,10:25:00,0.0,Stoploss Hit,Breakeven,948.9,947.8,946.7,945.6,944.5,943.4,942.3,941.2,940.1,1.1,800,Thu,Aug,11493.25,11450.0,Up,00:26:00
940.95,2018-08-14,14:11:00,940.95,Sell,MGL,,930.45,,,,,,,,,,940.95,13:51:00,0.0,Stoploss Hit,Breakeven,939.9,938.85,937.8,936.75,935.7,934.65,933.6,932.55,931.5,1.05,800,Tue,Aug,11381.7,11355.75,Up,00:20:00
949.85,2018-08-16,10:13:00,949.85,Buy,MGL,2.75,977.35,952.6,955.35,958.1,960.85,963.6,966.35,969.1,971.85,974.6,949.85,10:42:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,800,Thu,Aug,11397.15,11435.1,Down,00:29:00
847.0,2018-08-24,09:47:00,844.8,Buy,MGL,2.2,869.0,849.2,851.4,853.6,855.8,858.0,860.2,862.4,864.6,866.8,844.8,10:20:00,-1760.0,Stoploss Hit,,,,,,,,,,,,800,Fri,Aug,11620.7,11570.9,Up,00:33:00
836.1,2018-08-29,09:46:00,836.1,Buy,MGL,2.45,860.6,838.55,841.0,843.45,845.9,848.35,850.8,853.25,855.7,858.15,841.4,15:00:00,4240.0,Market Exit,Breakeven,,,,,,,,,,,800,Wed,Aug,11731.95,11691.95,Up,05:14:00
856.65,2018-08-31,09:52:00,855.5,Buy,MGL,1.15,868.15,857.8,858.95,860.1,861.25,862.4,863.55,864.7,865.85,867.0,855.5,09:54:00,-920.0,Stoploss Hit,,,,,,,,,,,,800,Fri,Aug,11675.85,11676.8,Down,00:02:00
851.05,2018-09-06,10:33:00,851.05,Sell,MGL,,829.6,,,,,,,,,,849.1,10:01:00,-1560.0,Stoploss Hit,,847.15,845.2,843.25,841.3,839.35,837.4,835.45,833.5,831.55,1.95,800,Thu,Sep,11514.85,11520.3,Down,00:32:00
840.8,2018-09-11,14:09:00,840.8,Sell,MGL,,829.8,,,,,,,,,,839.8,14:09:00,-800.0,Stoploss Hit,,838.8,837.8,836.8,835.8,834.8,833.8,832.8,831.8,830.8,1.0,800,Tue,Sep,11570.25,11589.1,Down,00:00:00
845.65,2018-09-14,14:06:00,845.65,Sell,MGL,,840.7,,,,,,,,,,846.2,14:05:00,440.0,Stoploss Hit,1to1 Trail,845.65,845.1,844.55,844.0,843.45,842.9,842.35,841.8,841.25,0.55,800,Fri,Sep,11443.5,11369.9,Up,00:01:00
836.5,2018-09-19,09:52:00,836.5,Sell,MGL,,815.05,,,,,,,,,,834.55,09:49:00,-1560.0,Stoploss Hit,,832.6,830.65,828.7,826.75,824.8,822.85,820.9,818.95,817.0,1.95,800,Wed,Sep,11381.55,11377.75,Up,00:03:00
836.8,2018-09-21,11:04:00,836.8,Sell,MGL,,812.05,,,,,,,,,,834.55,10:14:00,-1800.0,Stoploss Hit,,832.3,830.05,827.8,825.55,823.3,821.05,818.8,816.55,814.3,2.25,800,Fri,Sep,11271.3,11234.35,Up,00:50:00
810.9,2018-09-24,10:16:00,810.9,Sell,MGL,,798.65,,,,,,,,,,816.15,09:54:00,4200.0,Stoploss Hit,1to3 Trail,814.4,812.65,810.9,809.15,807.4,805.65,803.9,802.15,800.4,1.75,800,Mon,Sep,10969.95,10967.4,Up,00:22:00
832.0,2018-09-26,14:15:00,828.65,Buy,MGL,3.35,865.5,835.35,838.7,842.05,845.4,848.75,852.1,855.45,858.8,862.15,828.65,14:35:00,-2680.0,Stoploss Hit,,,,,,,,,,,,800,Wed,Sep,11145.55,11067.45,Up,00:20:00
820.0,2018-10-01,09:47:00,816.8,Buy,MGL,3.2,852.0,823.2,826.4,829.6,832.8,836.0,839.2,842.4,845.6,848.8,816.8,09:51:00,-2560.0,Stoploss Hit,,,,,,,,,,,,800,Mon,Oct,10930.9,10930.45,Up,00:04:00
795.8,2018-10-04,15:11:00,795.8,Sell,MGL,,770.3,,,,,,,,,,795.8,12:42:00,0.0,Stoploss Hit,Breakeven,793.25,790.7,788.15,785.6,783.05,780.5,777.95,775.4,772.85,2.55,800,Thu,Oct,10754.7,10858.25,Down,02:29:00
793.8,2018-10-05,09:47:00,786.0,Buy,MGL,7.8,871.8,801.6,809.4,817.2,825.0,832.8,840.6,848.4,856.2,864.0,786.0,10:33:00,-6240.0,Stoploss Hit,,,,,,,,,,,,800,Fri,Oct,10514.1,10599.25,Down,00:46:00
782.2,2018-10-08,09:52:00,782.2,Buy,MGL,3.75,819.7,785.95,789.7,793.45,797.2,800.95,804.7,808.45,812.2,815.95,782.2,10:35:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,800,Mon,Oct,11576.2,11551.75,Up,00:43:00
783.85,2018-10-09,11:06:00,783.85,Sell,MGL,,749.75,,,,,,,,,,780.75,10:49:00,-2480.0,Stoploss Hit,,777.65,774.55,771.45,768.35,765.25,762.15,759.05,755.95,752.85,3.1,800,Tue,Oct,10390.3,10348.05,Up,00:17:00
834.95,2018-10-16,09:46:00,833.1,Buy,MGL,1.85,853.45,836.8,838.65,840.5,842.35,844.2,846.05,847.9,849.75,851.6,833.1,10:17:00,-1480.0,Stoploss Hit,,,,,,,,,,,,800,Tue,Oct,10688.7,10584.75,Up,00:31:00
