buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
135.09,2018-08-08,09:49:00,133.16,Buy,MOTHERSON,1.93,154.39,137.02,138.95,140.88,142.81,144.74,146.67,148.6,150.53,152.46,135.22,15:00:00,877.5,Market Exit,,,,,,,,,,,,6750,Wed,Aug,11493.25,11450.0,Up,05:11:00
131.22,2018-08-14,09:49:00,130.76,Buy,MOTHERSON,0.46,135.82,131.68,132.14,132.6,133.06,133.52,133.98,134.44,134.9,135.36,130.76,10:19:00,-3105.0,Stoploss Hit,,,,,,,,,,,,6750,Tue,Aug,11474.95,11470.7,Up,00:30:00
137.73,2018-08-28,10:27:00,137.33,Buy,MOTHERSON,0.4,141.73,138.13,138.53,138.93,139.33,139.73,140.13,140.53,140.93,141.33,137.33,11:12:00,-2700.0,Stoploss Hit,,,,,,,,,,,,6750,Tue,Aug,11731.95,11691.95,Up,00:45:00
138.0,2018-08-29,09:48:00,138.0,Buy,MOTHERSON,0.38,141.8,138.38,138.76,139.14,139.52,139.9,140.28,140.66,141.04,141.42,138.0,10:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,6750,Wed,Aug,11605.85,11557.1,Up,00:42:00
135.76,2018-09-03,10:08:00,135.76,Sell,MOTHERSON,,134.46,,,,,,,,,,135.76,10:02:00,0.0,Stoploss Hit,Breakeven,135.63,135.5,135.37,135.24,135.11,134.98,134.85,134.72,134.59,0.13,6750,Mon,Sep,11694.75,11691.9,Up,00:06:00
134.33,2018-09-10,11:44:00,134.33,Sell,MOTHERSON,,128.93,,,,,,,,,,134.33,09:49:00,0.0,Stoploss Hit,Breakeven,133.79,133.25,132.71,132.17,131.63,131.09,130.55,130.01,129.47,0.54,6750,Mon,Sep,11558.25,11536.9,Up,01:55:00
131.29,2018-09-11,12:33:00,131.29,Sell,MOTHERSON,,128.39,,,,,,,,,,131.29,11:27:00,0.0,Stoploss Hit,Breakeven,131.0,130.71,130.42,130.13,129.84,129.55,129.26,128.97,128.68,0.29,6750,Tue,Sep,11476.85,11438.1,Up,01:06:00
129.91,2018-09-14,09:49:00,129.91,Sell,MOTHERSON,,127.71,,,,,,,,,,129.91,09:46:00,0.0,Stoploss Hit,Breakeven,129.69,129.47,129.25,129.03,128.81,128.59,128.37,128.15,127.93,0.22,6750,Fri,Sep,11476.85,11438.1,Up,00:03:00
127.73,2018-09-17,12:04:00,127.73,Buy,MOTHERSON,0.57,133.43,128.3,128.87,129.44,130.01,130.58,131.15,131.72,132.29,132.86,127.73,14:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,6750,Mon,Sep,10331.85,10301.05,Up,02:52:00
128.0,2018-09-18,10:31:00,127.38,Buy,MOTHERSON,0.62,134.2,128.62,129.24,129.86,130.48,131.1,131.72,132.34,132.96,133.58,127.38,10:50:00,-4185.0,Stoploss Hit,,,,,,,,,,,,6750,Tue,Sep,11340.1,11287.5,Up,00:19:00
