buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1186.0,2018-08-06,09:55:00,1186.0,Sell,MPHASIS,,1143.1,,,,,,,,,,1182.1,09:49:00,-1072.5,Stoploss Hit,,1178.2,1174.3,1170.4,1166.5,1162.6,1158.7,1154.8,1150.9,1147.0,3.9,275,Mon,Aug,11401.5,11360.8,Up,00:06:00
1162.1,2018-08-10,09:46:00,1162.1,Sell,MPHASIS,,1106.0,,,,,,,,,,1157.0,13:42:00,-1402.5,Stoploss Hit,,1151.9,1146.8,1141.7,1136.6,1131.5,1126.4,1121.3,1116.2,1111.1,5.1,275,Fri,Aug,11369.6,11429.5,Down,1899-12-29 20:04:00
1167.95,2018-08-13,10:30:00,1165.0,Buy,MPHASIS,2.95,1197.45,1170.9,1173.85,1176.8,1179.75,1182.7,1185.65,1188.6,1191.55,1194.5,1165.0,15:00:00,-811.25,Stoploss Hit,,,,,,,,,,,,275,Mon,Aug,11397.15,11435.1,Down,04:30:00
1178.25,2018-08-16,09:51:00,1176.15,Buy,MPHASIS,2.1,1199.25,1180.35,1182.45,1184.55,1186.65,1188.75,1190.85,1192.95,1195.05,1197.15,1176.15,09:54:00,-577.5,Stoploss Hit,,,,,,,,,,,,275,Thu,Aug,11397.15,11435.1,Down,00:03:00
1205.0,2018-08-21,12:16:00,1202.35,Buy,MPHASIS,2.65,1231.5,1207.65,1210.3,1212.95,1215.6,1218.25,1220.9,1223.55,1226.2,1228.85,1202.35,12:37:00,-728.75,Stoploss Hit,,,,,,,,,,,,275,Tue,Aug,11620.7,11570.9,Up,00:21:00
1267.0,2018-09-03,10:10:00,1267.0,Sell,MPHASIS,,1254.35,,,,,,,,,,1265.85,10:04:00,-316.25,Stoploss Hit,,1264.7,1263.55,1262.4,1261.25,1260.1,1258.95,1257.8,1256.65,1255.5,1.15,275,Mon,Sep,11751.8,11680.5,Up,00:06:00
1270.75,2018-09-05,10:52:00,1267.8,Buy,MPHASIS,2.95,1300.25,1273.7,1276.65,1279.6,1282.55,1285.5,1288.45,1291.4,1294.35,1297.3,1267.8,10:52:00,-811.25,Stoploss Hit,,,,,,,,,,,,275,Wed,Sep,11514.15,11476.95,Up,00:00:00
1251.5,2018-09-12,09:57:00,1251.5,Sell,MPHASIS,,1235.0,,,,,,,,,,1250.0,09:57:00,-412.5,Stoploss Hit,,1248.5,1247.0,1245.5,1244.0,1242.5,1241.0,1239.5,1238.0,1236.5,1.5,275,Wed,Sep,11340.1,11287.5,Up,00:00:00
1159.0,2018-09-27,09:46:00,1159.0,Sell,MPHASIS,,1153.0,,,,,,,,,,1168.0,09:46:00,2475.0,Stoploss Hit,1to6 Trail,1166.5,1165.0,1163.5,1162.0,1160.5,1159.0,1157.5,1156.0,1154.5,1.5,275,Thu,Sep,11079.8,11053.8,Up,00:00:00
1170.7,2018-10-01,09:46:00,1170.7,Sell,MPHASIS,,1107.45,,,,,,,,,,1164.95,09:59:00,-1581.25,Stoploss Hit,,1159.2,1153.45,1147.7,1141.95,1136.2,1130.45,1124.7,1118.95,1113.2,5.75,275,Mon,Oct,10754.7,10858.25,Down,1899-12-29 23:47:00
