buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
79999.0,2018-08-01,10:31:00,79800.05,Buy,MRF,198.95,81988.5,80197.95,80396.9,80595.85,80794.8,80993.75,81192.7,81391.65,81590.6,81789.55,79800.05,11:13:00,-1989.5,Stoploss Hit,,,,,,,,,,,,10,Wed,Aug,11359.8,11356.5,Up,00:42:00
77812.05,2018-08-03,10:08:00,77812.05,Sell,MRF,,75462.05,,,,,,,,,,78610.05,12:55:00,7980.0,Stoploss Hit,Breakeven,78295.25,77980.45,77665.65,77350.85,77036.05,76721.25,76406.45,76091.65,75776.85,314.8,10,Fri,Aug,11423.15,11387.1,Up,1899-12-29 21:13:00
78080.0,2018-08-06,12:51:00,78080.0,Sell,MRF,,75132.55,,,,,,,,,,77812.05,10:47:00,-2679.5,Stoploss Hit,,77544.1,77276.15,77008.2,76740.25,76472.3,76204.35,75936.4,75668.45,75400.5,267.95,10,Mon,Aug,11401.5,11360.8,Up,02:04:00
77100.0,2018-08-07,11:04:00,77100.0,Buy,MRF,189.0,78990.0,77289.0,77478.0,77667.0,77856.0,78045.0,78234.0,78423.0,78612.0,78801.0,77100.0,13:52:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,10,Tue,Aug,11412.5,11389.45,Up,02:48:00
77397.0,2018-08-08,10:25:00,77151.0,Buy,MRF,246.0,79857.0,77643.0,77889.0,78135.0,78381.0,78627.0,78873.0,79119.0,79365.0,79611.0,77151.0,10:32:00,-2460.0,Stoploss Hit,,,,,,,,,,,,10,Wed,Aug,11412.5,11389.45,Up,00:07:00
73849.95,2018-08-14,09:47:00,73593.1,Buy,MRF,256.85,76418.45,74106.8,74363.65,74620.5,74877.35,75134.2,75391.05,75647.9,75904.75,76161.6,73630.25,15:00:00,-2197.0,Market Exit,,,,,,,,,,,,10,Tue,Aug,11381.7,11355.75,Up,05:13:00
73300.0,2018-08-17,10:54:00,73300.0,Sell,MRF,,72200.0,,,,,,,,,,73200.0,10:45:00,-1000.0,Stoploss Hit,,73100.0,73000.0,72900.0,72800.0,72700.0,72600.0,72500.0,72400.0,72300.0,100.0,10,Fri,Aug,11397.15,11435.1,Down,00:09:00
73340.6,2018-08-29,10:36:00,73340.6,Sell,MRF,,73236.65,,,,,,,,,,73385.15,10:23:00,445.5,Stoploss Hit,1to3 Trail,73370.3,73355.45,73340.6,73325.75,73310.9,73296.05,73281.2,73266.35,73251.5,14.85,10,Wed,Aug,11744.95,11738.5,Up,00:13:00
73700.0,2018-09-03,13:29:00,73700.0,Sell,MRF,,73599.5,,,,,,,,,,73700.0,13:28:00,0.0,Stoploss Hit,Breakeven,73689.95,73679.9,73669.85,73659.8,73649.75,73639.7,73629.65,73619.6,73609.55,10.05,10,Mon,Sep,11751.8,11680.5,Up,00:01:00
70506.05,2018-09-05,09:46:00,70506.05,Sell,MRF,,69066.55,,,,,,,,,,70506.05,09:49:00,0.0,Stoploss Hit,Breakeven,70362.1,70218.15,70074.2,69930.25,69786.3,69642.35,69498.4,69354.45,69210.5,143.95,10,Wed,Sep,11514.15,11476.95,Up,1899-12-29 23:57:00
68653.3,2018-09-12,13:38:00,68653.3,Sell,MRF,,68291.05,,,,,,,,,,69015.55,12:18:00,3622.5,Stoploss Hit,1to5 Trail,68943.1,68870.65,68798.2,68725.75,68653.3,68580.85,68508.4,68435.95,68363.5,72.45,10,Wed,Sep,11340.1,11287.5,Up,01:20:00
