buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
402.9,2018-08-02,11:37:00,401.8,Buy,MUTHOOTFIN,1.1,413.9,404.0,405.1,406.2,407.3,408.4,409.5,410.6,411.7,412.8,401.8,11:37:00,-605.0,Stoploss Hit,,,,,,,,,,,,550,Thu,Aug,11328.9,11346.2,Down,00:00:00
409.45,2018-08-16,09:50:00,409.45,Buy,MUTHOOTFIN,1.45,423.95,410.9,412.35,413.8,415.25,416.7,418.15,419.6,421.05,422.5,409.45,13:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,550,Thu,Aug,11397.15,11435.1,Down,03:41:00
412.3,2018-08-29,09:52:00,410.1,Buy,MUTHOOTFIN,2.2,434.3,414.5,416.7,418.9,421.1,423.3,425.5,427.7,429.9,432.1,410.1,12:11:00,-1210.0,Stoploss Hit,,,,,,,,,,,,550,Wed,Aug,11744.95,11738.5,Up,02:19:00
454.0,2018-09-17,09:59:00,452.9,Buy,MUTHOOTFIN,1.1,465.0,455.1,456.2,457.3,458.4,459.5,460.6,461.7,462.8,463.9,452.9,10:22:00,-605.0,Stoploss Hit,,,,,,,,,,,,550,Mon,Sep,11271.3,11234.35,Up,00:23:00
453.5,2018-09-18,09:58:00,451.5,Buy,MUTHOOTFIN,2.0,473.5,455.5,457.5,459.5,461.5,463.5,465.5,467.5,469.5,471.5,451.5,10:08:00,-1100.0,Stoploss Hit,,,,,,,,,,,,550,Tue,Sep,11164.4,11143.1,Up,00:10:00
444.2,2018-09-21,13:18:00,444.2,Sell,MUTHOOTFIN,,435.65,,,,,,,,,,464.15,12:35:00,10972.5,Stoploss Hit,1to7 Trail,461.3,458.45,455.6,452.75,449.9,447.05,444.2,441.35,438.5,2.85,550,Fri,Sep,11079.8,11053.8,Up,00:43:00
436.0,2018-09-24,10:17:00,436.0,Sell,MUTHOOTFIN,,411.5,,,,,,,,,,436.0,10:05:00,0.0,Stoploss Hit,Breakeven,433.55,431.1,428.65,426.2,423.75,421.3,418.85,416.4,413.95,2.45,550,Mon,Sep,11145.55,11067.45,Up,00:12:00
431.35,2018-09-27,09:49:00,431.35,Sell,MUTHOOTFIN,,419.8,,,,,,,,,,430.3,09:49:00,-577.5,Stoploss Hit,,429.25,428.2,427.15,426.1,425.05,424.0,422.95,421.9,420.85,1.05,550,Thu,Sep,11079.8,11053.8,Up,00:00:00
411.65,2018-10-03,11:28:00,411.65,Sell,MUTHOOTFIN,,383.6,,,,,,,,,,409.1,10:36:00,-1402.5,Stoploss Hit,,406.55,404.0,401.45,398.9,396.35,393.8,391.25,388.7,386.15,2.55,550,Wed,Oct,10310.15,10316.45,Down,00:52:00
405.7,2018-10-04,09:53:00,404.3,Buy,MUTHOOTFIN,1.4,419.7,407.1,408.5,409.9,411.3,412.7,414.1,415.5,416.9,418.3,404.3,10:00:00,-770.0,Stoploss Hit,,,,,,,,,,,,550,Thu,Oct,10169.8,10460.1,Down,00:07:00
379.25,2018-10-09,10:00:00,379.25,Sell,MUTHOOTFIN,,361.65,,,,,,,,,,377.65,09:58:00,-880.0,Stoploss Hit,,376.05,374.45,372.85,371.25,369.65,368.05,366.45,364.85,363.25,1.6,550,Tue,Oct,10524.2,10472.5,Up,00:02:00
399.6,2018-10-12,10:43:00,399.6,Sell,MUTHOOTFIN,,390.0,,,,,,,,,,402.0,10:41:00,1320.0,Stoploss Hit,1to2 Trail,400.8,399.6,398.4,397.2,396.0,394.8,393.6,392.4,391.2,1.2,550,Fri,Oct,10550.15,10512.5,Up,00:02:00
403.95,2018-10-15,10:03:00,401.7,Buy,MUTHOOTFIN,2.25,426.45,406.2,408.45,410.7,412.95,415.2,417.45,419.7,421.95,424.2,401.7,10:52:00,-1237.5,Stoploss Hit,,,,,,,,,,,,550,Mon,Oct,10339.7,10453.05,Down,00:49:00
393.6,2018-10-26,09:57:00,391.3,Buy,MUTHOOTFIN,2.3,416.6,395.9,398.2,400.5,402.8,405.1,407.4,409.7,412.0,414.3,391.3,10:04:00,-1265.0,Stoploss Hit,,,,,,,,,,,,550,Fri,Oct,10122.35,10124.9,Down,00:07:00
396.4,2018-10-30,10:45:00,396.4,Sell,MUTHOOTFIN,,378.4,,,,,,,,,,396.4,09:50:00,0.0,Stoploss Hit,Breakeven,394.6,392.8,391.0,389.2,387.4,385.6,383.8,382.0,380.2,1.8,550,Tue,Oct,10614.7,10598.4,Up,00:55:00
394.15,2018-10-31,11:33:00,394.15,Sell,MUTHOOTFIN,,379.65,,,,,,,,,,394.15,09:46:00,0.0,Stoploss Hit,Breakeven,392.7,391.25,389.8,388.35,386.9,385.45,384.0,382.55,381.1,1.45,550,Wed,Oct,10552.0,10524.0,Up,01:47:00
