buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
61.95,2018-08-01,12:01:00,61.95,Sell,NATIONALUM,,58.65,,,,,,,,,,61.65,11:06:00,-2250.0,Stoploss Hit,,61.35,61.05,60.75,60.45,60.15,59.85,59.55,59.25,58.95,0.3,7500,Wed,Aug,11359.8,11356.5,Up,00:55:00
71.55,2018-08-09,10:42:00,71.55,Sell,NATIONALUM,,66.05,,,,,,,,,,71.05,09:53:00,-3750.0,Stoploss Hit,,70.55,70.05,69.55,69.05,68.55,68.05,67.55,67.05,66.55,0.5,7500,Thu,Aug,11493.25,11450.0,Up,00:49:00
69.55,2018-08-13,09:50:00,69.95,Buy,NATIONALUM,0.4,73.55,69.95,70.35,70.75,71.15,71.55,71.95,72.35,72.75,73.15,70.85,15:00:00,9750.0,Market Exit,1to1 trail,,,,,,,,,,,7500,Mon,Aug,11675.85,11676.8,Down,05:10:00
75.0,2018-08-27,11:43:00,74.65,Buy,NATIONALUM,0.35,78.5,75.35,75.7,76.05,76.4,76.75,77.1,77.45,77.8,78.15,74.65,12:03:00,-2625.0,Stoploss Hit,,,,,,,,,,,,7500,Mon,Aug,11694.75,11691.9,Up,00:20:00
76.25,2018-08-31,10:28:00,76.25,Sell,NATIONALUM,,72.95,,,,,,,,,,75.95,10:28:00,-2250.0,Stoploss Hit,,75.65,75.35,75.05,74.75,74.45,74.15,73.85,73.55,73.25,0.3,7500,Fri,Aug,11675.85,11676.8,Down,00:00:00
71.5,2018-09-11,09:59:00,71.5,Sell,NATIONALUM,,69.85,,,,,,,,,,71.35,09:49:00,-1125.0,Stoploss Hit,,71.2,71.05,70.9,70.75,70.6,70.45,70.3,70.15,70.0,0.15,7500,Tue,Sep,11476.85,11438.1,Up,00:10:00
69.25,2018-09-19,10:26:00,69.25,Buy,NATIONALUM,0.2,71.25,69.45,69.65,69.85,70.05,70.25,70.45,70.65,70.85,71.05,69.25,13:00:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,7500,Wed,Sep,11326.65,11278.9,Up,02:34:00
68.55,2018-09-21,10:39:00,68.55,Sell,NATIONALUM,,67.95,,,,,,,,,,68.95,10:37:00,3000.0,Stoploss Hit,1to4 Trail,68.85,68.75,68.65,68.55,68.45,68.35,68.25,68.15,68.05,0.1,7500,Fri,Sep,11164.4,11143.1,Up,00:02:00
69.3,2018-10-04,12:11:00,69.3,Sell,NATIONALUM,,66.0,,,,,,,,,,69.0,11:36:00,-2250.0,Stoploss Hit,,68.7,68.4,68.1,67.8,67.5,67.2,66.9,66.6,66.3,0.3,7500,Thu,Oct,10930.9,10930.45,Up,00:35:00
61.1,2018-10-08,09:56:00,61.1,Sell,NATIONALUM,,52.85,,,,,,,,,,60.35,09:47:00,-5625.0,Stoploss Hit,,59.6,58.85,58.1,57.35,56.6,55.85,55.1,54.35,53.6,0.75,7500,Mon,Oct,10331.85,10301.05,Up,00:09:00
65.45,2018-10-10,10:29:00,65.45,Buy,NATIONALUM,0.7,72.45,66.15,66.85,67.55,68.25,68.95,69.65,70.35,71.05,71.75,66.65,15:00:00,9000.0,Market Exit,Breakeven,,,,,,,,,,,7500,Wed,Oct,10169.8,10460.1,Down,04:31:00
67.9,2018-10-12,10:22:00,67.9,Sell,NATIONALUM,,65.15,,,,,,,,,,67.65,10:19:00,-1875.0,Stoploss Hit,,67.4,67.15,66.9,66.65,66.4,66.15,65.9,65.65,65.4,0.25,7500,Fri,Oct,10877.1,10883.75,Down,00:03:00
65.45,2018-10-17,09:47:00,65.45,Sell,NATIONALUM,,63.75,,,,,,,,,,67.25,09:54:00,13500.0,Stoploss Hit,Breakeven,66.9,66.55,66.2,65.85,65.5,65.15,64.8,64.45,64.1,0.35,7500,Wed,Oct,10688.7,10584.75,Up,1899-12-29 23:53:00
65.7,2018-10-19,10:23:00,65.7,Sell,NATIONALUM,,62.95,,,,,,,,,,65.45,10:21:00,-1875.0,Stoploss Hit,,65.2,64.95,64.7,64.45,64.2,63.95,63.7,63.45,63.2,0.25,7500,Fri,Oct,10339.7,10453.05,Down,00:02:00
70.2,2018-10-30,10:00:00,70.2,Sell,NATIONALUM,,68.0,,,,,,,,,,70.0,09:46:00,-1500.0,Stoploss Hit,,69.8,69.6,69.4,69.2,69.0,68.8,68.6,68.4,68.2,0.2,7500,Tue,Oct,10278.15,10146.8,Up,00:14:00
69.1,2018-11-12,10:22:00,69.1,Sell,NATIONALUM,,68.65,,,,,,,,,,70.15,09:49:00,7875.0,Stoploss Hit,1to7 Trail,70.0,69.85,69.7,69.55,69.4,69.25,69.1,68.95,68.8,0.15,7500,Mon,Nov,10670.95,10656.2,Up,00:33:00
65.75,2018-11-21,11:39:00,65.75,Sell,NATIONALUM,,64.75,,,,,,,,,,65.75,11:18:00,0.0,Stoploss Hit,Breakeven,65.65,65.55,65.45,65.35,65.25,65.15,65.05,64.95,64.85,0.1,7500,Wed,Nov,10731.25,10682.2,Up,00:21:00
66.45,2018-11-22,10:20:00,66.45,Sell,NATIONALUM,,65.35,,,,,,,,,,66.35,10:04:00,-750.0,Stoploss Hit,,66.25,66.15,66.05,65.95,65.85,65.75,65.65,65.55,65.45,0.1,7500,Thu,Nov,10612.65,10600.05,Up,00:16:00
64.8,2018-11-27,13:15:00,64.8,Sell,NATIONALUM,,62.8,,,,,,,,,,64.8,10:09:00,0.0,Stoploss Hit,Breakeven,64.6,64.4,64.2,64.0,63.8,63.6,63.4,63.2,63.0,0.2,7500,Tue,Nov,10621.45,10628.6,Down,03:06:00
62.05,2018-12-10,09:58:00,62.05,Sell,NATIONALUM,,59.3,,,,,,,,,,61.8,09:54:00,-1875.0,Stoploss Hit,,61.55,61.3,61.05,60.8,60.55,60.3,60.05,59.8,59.55,0.25,7500,Mon,Dec,10820.45,10869.5,Down,00:04:00
64.7,2018-12-17,12:14:00,64.7,Sell,NATIONALUM,,61.95,,,,,,,,,,64.45,10:49:00,-1875.0,Stoploss Hit,,64.2,63.95,63.7,63.45,63.2,62.95,62.7,62.45,62.2,0.25,7500,Mon,Dec,10868.85,10910.1,Down,01:25:00
64.75,2018-12-18,12:09:00,64.55,Buy,NATIONALUM,0.2,66.75,64.95,65.15,65.35,65.55,65.75,65.95,66.15,66.35,66.55,64.55,13:34:00,-1500.0,Stoploss Hit,,,,,,,,,,,,7500,Tue,Dec,10850.9,10888.35,Down,01:25:00
64.85,2019-01-01,10:18:00,64.85,Sell,NATIONALUM,,62.1,,,,,,,,,,64.6,10:01:00,-1875.0,Stoploss Hit,,64.35,64.1,63.85,63.6,63.35,63.1,62.85,62.6,62.35,0.25,7500,Tue,Jan,10881.7,10862.55,Up,00:17:00
62.55,2019-01-02,11:43:00,62.55,Sell,NATIONALUM,,61.6,,,,,,,,,,64.6,10:20:00,15375.0,Stoploss Hit,Breakeven,64.3,64.0,63.7,63.4,63.1,62.8,62.5,62.2,61.9,0.3,7500,Wed,Jan,10820.95,10779.8,Up,01:23:00
63.6,2019-01-04,11:44:00,62.55,Buy,NATIONALUM,-0.15,62.1,63.45,63.3,63.15,63.0,62.85,62.7,62.55,62.4,62.25,62.55,15:29:00,-7875.0,Stoploss Hit,1to7 trail,,,,,,,,,,,7500,Fri,Jan,10868.85,10910.1,Down,03:45:00
61.45,2019-01-25,14:25:00,61.45,Sell,NATIONALUM,,58.7,,,,,,,,,,61.2,14:08:00,-1875.0,Stoploss Hit,,60.95,60.7,60.45,60.2,59.95,59.7,59.45,59.2,58.95,0.25,7500,Fri,Jan,10807.0,10794.95,Up,00:17:00
59.25,2019-02-07,10:01:00,59.25,Buy,NATIONALUM,0.1,60.25,59.35,59.45,59.55,59.65,59.75,59.85,59.95,60.05,60.15,59.25,10:27:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,7500,Thu,Feb,11023.5,11069.4,Down,00:26:00
