buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1409.9,2018-08-07,10:15:00,1425.9,Buy,NAUKRI,8.0,1489.9,1417.9,1425.9,1433.9,1441.9,1449.9,1457.9,1465.9,1473.9,1481.9,1444.0,15:00:00,4262.5,Market Exit,1to2 trail,,,,,,,,,,,125,Tue,Aug,11412.5,11389.45,Up,04:45:00
1475.05,2018-08-13,10:36:00,1475.05,Sell,NAUKRI,,1421.15,,,,,,,,,,1470.15,10:36:00,-612.5,Stoploss Hit,,1465.25,1460.35,1455.45,1450.55,1445.65,1440.75,1435.85,1430.95,1426.05,4.9,125,Mon,Aug,11369.6,11429.5,Down,00:00:00
1471.8,2018-08-21,12:40:00,1471.8,Sell,NAUKRI,,1385.8,,,,,,,,,,1471.8,12:05:00,0.0,Stoploss Hit,Breakeven,1463.2,1454.6,1446.0,1437.4,1428.8,1420.2,1411.6,1403.0,1394.4,8.6,125,Tue,Aug,11605.85,11557.1,Up,00:35:00
1555.05,2018-08-30,10:26:00,1555.05,Sell,NAUKRI,,1484.55,,,,,,,,,,1555.05,09:47:00,0.0,Stoploss Hit,Breakeven,1548.0,1540.95,1533.9,1526.85,1519.8,1512.75,1505.7,1498.65,1491.6,7.05,125,Thu,Aug,11751.8,11680.5,Up,00:39:00
1674.95,2018-09-04,12:43:00,1674.95,Sell,NAUKRI,,1576.5,,,,,,,,,,1666.0,11:50:00,-1118.75,Stoploss Hit,,1657.05,1648.1,1639.15,1630.2,1621.25,1612.3,1603.35,1594.4,1585.45,8.95,125,Tue,Sep,11598.75,11582.35,Up,00:53:00
1676.3,2018-09-05,10:57:00,1676.3,Sell,NAUKRI,,1541.55,,,,,,,,,,1664.05,10:57:00,-1531.25,Stoploss Hit,,1651.8,1639.55,1627.3,1615.05,1602.8,1590.55,1578.3,1566.05,1553.8,12.25,125,Wed,Sep,11660.2,11643.95,Up,00:00:00
1620.0,2018-09-07,11:49:00,1620.0,Sell,NAUKRI,,1510.0,,,,,,,,,,1610.0,09:56:00,-1250.0,Stoploss Hit,,1600.0,1590.0,1580.0,1570.0,1560.0,1550.0,1540.0,1530.0,1520.0,10.0,125,Fri,Sep,11340.1,11287.5,Up,01:53:00
1536.5,2018-09-18,15:16:00,1536.5,Sell,NAUKRI,,1496.3,,,,,,,,,,1563.3,10:38:00,3350.0,Stoploss Hit,1to4 Trail,1556.6,1549.9,1543.2,1536.5,1529.8,1523.1,1516.4,1509.7,1503.0,6.7,125,Tue,Sep,11164.4,11143.1,Up,04:38:00
1513.75,2018-09-21,11:14:00,1507.35,Buy,NAUKRI,6.4,1577.75,1520.15,1526.55,1532.95,1539.35,1545.75,1552.15,1558.55,1564.95,1571.35,1507.35,11:14:00,-800.0,Stoploss Hit,,,,,,,,,,,,125,Fri,Sep,11271.3,11234.35,Up,00:00:00
1548.0,2018-09-24,10:23:00,1532.6,Buy,NAUKRI,15.4,1702.0,1563.4,1578.8,1594.2,1609.6,1625.0,1640.4,1655.8,1671.2,1686.6,1532.6,10:43:00,-1925.0,Stoploss Hit,,,,,,,,,,,,125,Mon,Sep,11164.4,11143.1,Up,00:20:00
