buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
665.0,2018-08-02,12:14:00,672.7,Buy,NAVINFLUOR,1.1,676.0,666.1,667.2,668.3,669.4,670.5,671.6,672.7,673.8,674.9,672.7,12:16:00,1155.0,Stoploss Hit,1to7 trail,,,,,,,,,,,150,Thu,Aug,11297.8,11244.7,Up,00:02:00
691.05,2018-08-07,10:03:00,688.9,Buy,NAVINFLUOR,2.15,712.55,693.2,695.35,697.5,699.65,701.8,703.95,706.1,708.25,710.4,688.9,10:17:00,-322.5,Stoploss Hit,,,,,,,,,,,,150,Tue,Aug,11423.15,11387.1,Up,00:14:00
671.0,2018-08-16,14:13:00,671.0,Sell,NAVINFLUOR,,660.0,,,,,,,,,,670.0,13:53:00,-150.0,Stoploss Hit,,669.0,668.0,667.0,666.0,665.0,664.0,663.0,662.0,661.0,1.0,150,Thu,Aug,11437.15,11385.05,Up,00:20:00
670.0,2018-08-20,12:12:00,670.0,Sell,NAVINFLUOR,,630.95,,,,,,,,,,666.45,11:17:00,-532.5,Stoploss Hit,,662.9,659.35,655.8,652.25,648.7,645.15,641.6,638.05,634.5,3.55,150,Mon,Aug,11502.1,11470.75,Up,00:55:00
657.9,2018-08-24,10:03:00,657.9,Sell,NAVINFLUOR,,615.0,,,,,,,,,,654.0,09:48:00,-585.0,Stoploss Hit,,650.1,646.2,642.3,638.4,634.5,630.6,626.7,622.8,618.9,3.9,150,Fri,Aug,11744.95,11738.5,Up,00:15:00
659.0,2018-08-27,09:53:00,659.0,Sell,NAVINFLUOR,,615.0,,,,,,,,,,655.0,09:53:00,-600.0,Stoploss Hit,,651.0,647.0,643.0,639.0,635.0,631.0,627.0,623.0,619.0,4.0,150,Mon,Aug,11744.95,11738.5,Up,00:00:00
647.95,2018-08-29,12:41:00,647.95,Sell,NAVINFLUOR,,578.65,,,,,,,,,,641.65,12:38:00,-945.0,Stoploss Hit,,635.35,629.05,622.75,616.45,610.15,603.85,597.55,591.25,584.95,6.3,150,Wed,Aug,11744.95,11738.5,Up,00:03:00
688.8,2018-09-03,11:28:00,688.8,Sell,NAVINFLUOR,,659.3,,,,,,,,,,688.8,10:13:00,0.0,Stoploss Hit,Breakeven,685.85,682.9,679.95,677.0,674.05,671.1,668.15,665.2,662.25,2.95,150,Mon,Sep,11558.25,11536.9,Up,01:15:00
695.9,2018-09-12,10:15:00,695.9,Sell,NAVINFLUOR,,620.0,,,,,,,,,,689.0,10:04:00,-1035.0,Stoploss Hit,,682.1,675.2,668.3,661.4,654.5,647.6,640.7,633.8,626.9,6.9,150,Wed,Sep,11443.5,11369.9,Up,00:11:00
687.0,2018-09-24,10:52:00,687.0,Sell,NAVINFLUOR,,632.0,,,,,,,,,,682.0,10:52:00,-750.0,Stoploss Hit,,677.0,672.0,667.0,662.0,657.0,652.0,647.0,642.0,637.0,5.0,150,Mon,Sep,11145.55,11067.45,Up,00:00:00
